tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
263048,264538,264539,29644,-51939,81583,0,81587.0,81588.83,0,264539,265013,265013,71421,-1502,72923,72926.43,72930.45,3210.09,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
265102,266396,266396,29652,-51939,81591,0,81587.57,81588.11,0,266396,266880,266881,71430,-1502,72932,72927.29,72928.88,3210.042,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
266971,268264,268264,29635,-51939,81574,0,81586.14,81587.9,0,268264,268748,268748,71423,-1502,72925,72925.71,72928.26,3210.025,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
268838,270327,270327,29658,-51939,81597,0,81588.14,81587.21,0,270327,270802,270803,71415,-1502,72917,72922.29,72927.26,3209.99,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
270895,272188,272188,29656,-51939,81595,0,81590.0,81587.57,0,272188,272670,272670,71429,-1502,72931,72928.43,72925.31,3209.957,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
272760,274054,274054,29652,-51939,81591,0,81589.43,81588.52,0,274054,274538,274538,71409,-1502,72911,72922.86,72926.53,3210.001,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
274628,275921,275921,29646,-51939,81585,0,81588.0,81588.88,0,275921,276405,276405,71428,-1502,72930,72924.14,72925.09,3209.979,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
276497,277790,277790,29661,-51939,81600,0,81590.43,81588.53,0,277790,278272,278273,71426,-1502,72928,72924.86,72924.72,3209.964,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
278363,279852,279853,29631,-51939,81570,0,81587.43,81589.27,0,279853,280327,280327,71393,-1502,72895,72919.57,72924.77,3209.98,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
280419,281711,281712,29658,-51939,81597,0,81590.71,81588.55,0,281712,282194,282194,71421,-1502,72923,72919.29,72922.73,3209.923,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
282285,283774,283775,29636,-51939,81575,0,81587.57,81589.4,0,283775,284248,284249,71416,-1502,72918,72919.43,72921.38,3209.912,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
284339,285829,285829,29633,-51939,81572,0,81584.29,81588.68,0,285829,286303,286303,71414,-1502,72916,72917.29,72920.62,3209.882,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
286394,287687,287688,29638,-51939,81577,0,81582.29,81586.96,0,287688,288170,288170,71443,-1502,72945,72922.14,72919.31,3209.819,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
288261,289554,289554,29658,-51939,81597,0,81584.0,81585.13,0,289554,290038,290038,71400,-1502,72902,72918.14,72920.42,3209.804,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
290128,291617,291618,29659,-51939,81598,0,81583.71,81584.69,0,291618,292092,292092,71434,-1502,72936,72919.29,72919.53,3209.776,3210,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
