tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
169309,169816,169816,-101775,-138884,37109,0,37100.14,37096.89,0,169816,170334,170335,105480,-96286,201766,201746.4,201742.4,4907.754,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
170431,170999,170999,-101788,-138884,37096,0,37100.14,37098.17,0,170999,171549,171550,105514,-96286,201800,201754.7,201744.0,4907.814,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
171645,172182,172183,-101799,-138884,37085,0,37098.57,37098.94,0,172183,172671,172671,105473,-96286,201759,201757.1,201748.2,4907.915,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
172767,173267,173268,-101795,-138884,37089,0,37097.57,37098.8,0,173268,173793,173793,105506,-96286,201792,201764.3,201751.7,4907.982,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
173888,174451,174451,-101814,-138884,37070,0,37093.86,37098.32,0,174451,175008,175008,105506,-96286,201792,201771.4,201756.6,4908.072,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
175104,175634,175634,-101799,-138884,37085,0,37092.29,37096.57,0,175634,176129,176130,105488,-96286,201774,201776.0,201762.4,4908.15,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
176227,176817,176818,-101823,-138884,37061,0,37085.0,37094.89,0,176818,177345,177345,105481,-96286,201767,201778.6,201767.7,4908.222,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
177441,178001,178001,-101818,-138884,37066,0,37078.86,37091.02,0,178001,178560,178560,105509,-96286,201795,201782.7,201772.0,4908.224,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
178657,179184,179185,-101826,-138884,37058,0,37073.43,37086.26,0,179185,179681,179682,105519,-96286,201805,201783.4,201776.2,4908.206,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
179779,180367,180368,-101822,-138884,37062,0,37070.14,37081.23,0,180368,180897,180897,105501,-96286,201787,201787.4,201779.0,4908.154,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
180994,181551,181551,-101829,-138884,37055,0,37065.29,37076.89,0,181551,182112,182112,105524,-96286,201810,201790.0,201782.3,4908.127,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
182208,182734,182735,-101829,-138884,37055,0,37063.14,37072.35,0,182735,183233,183233,105516,-96286,201802,201791.4,201785.3,4908.089,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
183330,183918,183918,-101826,-138884,37058,0,37059.29,37068.75,0,183918,184448,184449,105502,-96286,201788,201793.4,201787.7,4908.06,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
184546,185101,185101,-101840,-138884,37044,0,37056.86,37065.04,0,185101,185570,185570,105540,-96286,201826,201801.9,201789.9,4908.025,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
185666,186186,186186,-101831,-138884,37053,0,37055.0,37061.84,0,186186,186692,186692,105525,-96286,201811,201804.1,201794.6,4908.049,4908,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
