tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
228500,229793,229793,29656,-51939,81595,0,81574.71,81575.86,0,229793,230277,230277,71421,-1502,72923,72923.43,72922.87,3209.663,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
230368,231661,231661,29642,-51939,81581,0,81572.86,81575.41,0,231661,232145,232145,71430,-1502,72932,72924.86,72923.09,3209.657,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
232241,233530,233530,29661,-51939,81600,0,81577.43,81574.41,0,233530,234012,234013,71434,-1502,72936,72924.57,72923.78,3209.651,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
234104,235397,235397,29643,-51939,81582,0,81581.14,81575.59,0,235397,235880,235880,71452,-1502,72954,72931.86,72924.09,3209.682,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
235972,237264,237265,29650,-51939,81589,0,81584.43,81577.76,0,237265,237748,237748,71398,-1502,72900,72930.43,72927.13,3209.791,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
237838,239131,239131,29667,-51939,81606,0,81589.57,81580.37,0,239131,239615,239615,71441,-1502,72943,72931.86,72928.42,3209.872,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
239708,241198,241198,29630,-51939,81569,0,81588.86,81583.97,0,241198,241669,241670,71404,-1502,72906,72927.71,72929.77,3209.975,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
241765,243254,243255,29637,-51939,81576,0,81586.14,81585.88,0,243255,243724,243724,71447,-1502,72949,72931.43,72928.96,3209.998,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
243814,245107,245107,29657,-51939,81596,0,81588.29,81585.98,0,245107,245591,245591,71436,-1502,72938,72932.29,72929.93,3210.02,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
245685,246978,246978,29651,-51939,81590,0,81586.86,81586.88,0,246978,247459,247459,71469,-1502,72971,72937.29,72930.85,3210.058,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
247549,248842,248842,29658,-51939,81597,0,81589.0,81586.88,0,248842,249326,249326,71415,-1502,72917,72932.0,72933.38,3210.11,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
249416,250709,250709,29656,-51939,81595,0,81589.86,81587.71,0,250709,251193,251194,71434,-1502,72936,72937.14,72932.84,3210.116,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
251290,252583,252583,29648,-51939,81587,0,81587.14,81588.55,0,252583,253061,253061,71424,-1502,72926,72934.71,72934.52,3210.169,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
253152,254642,254642,29645,-51939,81584,0,81589.29,81588.0,0,254642,255115,255115,71434,-1502,72936,72939.0,72934.59,3210.159,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
255205,256498,256498,29644,-51939,81583,0,81590.29,81588.51,0,256498,256983,256983,71439,-1502,72941,72937.86,72936.32,3210.206,3210.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
