tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
109847,110402,110403,3293,-47581,42,50874,0,50874.0,50874.0,1211.286,0,1211.0,110403,110902,110903,47846,-3423,51269,51269.0,51269.0,1220.69,1220.5,0,0,0,0,0,0,0,0,0,True,0,0,0
110966,111483,111483,2937,-47581,42,50518,0,50823.14,50874.0,1211.286,0,1211.0,111483,112021,112021,47829,-3423,51252,51252.0,51252.0,1220.286,1220.0,0,0,0,0,0,0,0,0,0,True,0,0,0
112136,112662,112662,2932,-47581,42,50513,0,50771.57,50854.09,1210.812,0,1211.0,112662,113140,113140,47840,-3423,51263,51253.57,51252.0,1220.286,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
113204,113743,113743,2921,-47581,42,50502,0,50718.43,50821.79,1210.042,0,1210.0,113743,114259,114259,47867,-3423,51290,51259.0,51252.62,1220.3,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
114323,114823,114824,2924,-47581,42,50505,0,50665.71,50781.32,1209.079,0,1209.0,114824,115377,115378,47814,-3423,51237,51256.86,51255.12,1220.36,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
115442,116002,116003,2958,-47581,42,50539,0,50617.86,50736.06,1208.001,0,1208.0,116003,116496,116496,47828,-3423,51251,51256.71,51255.8,1220.376,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
116561,117083,117083,2942,-47581,42,50523,0,50567.71,50689.79,1206.9,0,1207.0,117083,117615,117615,47829,-3423,51252,51256.71,51256.16,1220.385,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
117680,118262,118262,2938,-47581,42,50519,0,50517.0,50642.0,1205.762,0,1206.0,118262,118734,118734,47824,-3423,51247,51256.0,51256.38,1220.39,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
118798,119343,119343,2928,-47581,42,50509,0,50515.71,50593.06,1204.597,0,1204.5,119343,119853,119853,47838,-3423,51261,51257.29,51256.23,1220.386,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
119918,120423,120424,2935,-47581,42,50516,0,50516.14,50562.78,1203.876,0,1204.0,120424,120972,120972,47829,-3423,51252,51255.71,51256.64,1220.396,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
121037,121602,121602,2936,-47581,42,50517,0,50518.29,50544.52,1203.441,0,1203.5,121602,122091,122091,47833,-3423,51256,51250.86,51256.28,1220.388,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
122157,122683,122683,2936,-47581,42,50517,0,50520.0,50534.25,1203.196,0,1203.0,122683,123210,123210,47848,-3423,51271,51255.71,51254.16,1220.337,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
123274,123862,123862,2920,-47581,42,50501,0,50514.57,50528.67,1203.064,0,1203.0,123862,124422,124422,47838,-3423,51261,51257.14,51254.77,1220.352,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
124487,125041,125041,2925,-47581,42,50506,0,50512.14,50523.15,1202.932,0,1203.0,125041,125541,125541,47817,-3423,51240,51255.43,51255.7,1220.374,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
125605,126121,126122,2922,-47581,42,50503,0,50509.86,50518.84,1202.829,0,1203.0,126122,126659,126660,47832,-3423,51255,51256.57,51255.59,1220.371,1220.0,0,0,0,0,0,0,0,0,0,False,0,0,0
