tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
146891,148184,148184,29655,-51939,81594,0,81570.0,81566.16,0,148184,148666,148666,71408,-1502,72910,72925.14,72928.39,3209.576,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
148757,150050,150050,29623,-51939,81562,0,81568.57,81567.66,0,150050,150534,150534,71401,-1502,72903,72918.86,72927.12,3209.581,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
150624,151922,151922,29643,-51939,81582,0,81571.86,81568.02,0,151922,152401,152401,71423,-1502,72925,72919.57,72923.88,3209.521,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
152492,153981,153982,29606,-51939,81545,0,81568.57,81569.52,0,153982,154455,154455,71396,-1502,72898,72915.57,72922.2,3209.517,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
154546,155839,155839,29612,-51939,81551,0,81569.0,81569.15,0,155839,156323,156323,71412,-1502,72914,72911.0,72919.6,3209.455,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
156414,157707,157708,29638,-51939,81577,0,81569.71,81569.09,0,157708,158190,158191,71403,-1502,72905,72908.86,72916.23,3209.384,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
158281,159574,159574,29638,-51939,81577,0,81569.71,81569.34,0,159574,160058,160058,71399,-1502,72901,72908.0,72913.34,3209.328,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
160148,161638,161638,29640,-51939,81579,0,81567.57,81569.48,0,161638,162112,162112,71411,-1502,72913,72908.43,72911.25,3209.288,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
162202,163692,163692,29645,-51939,81584,0,81570.71,81568.73,0,163692,164167,164167,71392,-1502,72894,72907.14,72910.15,3209.249,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
164257,165550,165550,29634,-51939,81573,0,81569.43,81569.51,0,165550,166034,166034,71399,-1502,72901,72903.71,72908.97,3209.241,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
166124,167614,167614,29635,-51939,81574,0,81573.57,81569.48,0,167614,168089,168089,71435,-1502,72937,72909.29,72906.91,3209.197,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
168179,169480,169480,29611,-51939,81550,0,81573.43,81571.08,0,169480,169956,169956,71403,-1502,72905,72908.0,72907.84,3209.25,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
170048,171340,171341,29626,-51939,81565,0,81571.71,81572.0,0,171341,171824,171824,71412,-1502,72914,72909.29,72907.91,3209.271,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
171914,173403,173403,29626,-51939,81565,0,81570.0,81571.88,0,173403,173878,173878,71407,-1502,72909,72910.43,72908.45,3209.279,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
173969,175459,175459,29634,-51939,81573,0,81569.14,81571.15,0,175459,175932,175932,71406,-1502,72908,72909.71,72909.23,3209.28,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
