6431,	-428.00,	16356.00,	-360.00,	25.85,	5719.00,	-91.00,	-240.00,	
6537,	-408.00,	16368.00,	-180.00,	25.94,	5675.00,	-104.00,	-227.00,	
6642,	-468.00,	16372.00,	-184.00,	25.94,	5705.00,	-100.00,	-224.00,	
6748,	-356.00,	16552.00,	-232.00,	25.94,	5688.00,	-74.00,	-259.00,	
6853,	-268.00,	16264.00,	-132.00,	25.89,	5719.00,	-86.00,	-198.00,	
6958,	-412.00,	16416.00,	-216.00,	25.89,	5720.00,	-105.00,	-234.00,	
7063,	-324.00,	16348.00,	-200.00,	25.94,	5701.00,	-78.00,	-205.00,	
7169,	-344.00,	16420.00,	-268.00,	25.94,	5706.00,	-49.00,	-229.00,	
7274,	-300.00,	16292.00,	-236.00,	25.94,	5710.00,	-84.00,	-218.00,	
7379,	-408.00,	16420.00,	-316.00,	25.89,	5721.00,	-82.00,	-217.00,	
7485,	-420.00,	16380.00,	-356.00,	25.89,	5721.00,	-91.00,	-230.00,	
7590,	-312.00,	16348.00,	-252.00,	25.85,	5693.00,	-79.00,	-228.00,	
7696,	-360.00,	16388.00,	-56.00,	25.94,	5715.00,	-64.00,	-226.00,	
7801,	-444.00,	16360.00,	-180.00,	25.89,	5708.00,	-79.00,	-220.00,	
7907,	-384.00,	16292.00,	-300.00,	25.94,	5719.00,	-107.00,	-227.00,	
8012,	-420.00,	16380.00,	-260.00,	25.89,	5698.00,	-96.00,	-232.00,	
8118,	-312.00,	16324.00,	-336.00,	25.85,	5714.00,	-91.00,	-213.00,	
8223,	-356.00,	16324.00,	-168.00,	25.94,	5726.00,	-76.00,	-223.00,	
8329,	-404.00,	16392.00,	-148.00,	25.80,	5697.00,	-70.00,	-240.00,	
8434,	-372.00,	16324.00,	-360.00,	25.89,	5722.00,	-107.00,	-217.00,	
8540,	-312.00,	16372.00,	-248.00,	25.89,	5683.00,	-80.00,	-246.00,	
8645,	-268.00,	16412.00,	-276.00,	25.94,	5729.00,	-85.00,	-228.00,	
8751,	-356.00,	16328.00,	-288.00,	25.89,	5722.00,	-93.00,	-230.00,	
8856,	-364.00,	16320.00,	-228.00,	25.89,	5697.00,	-75.00,	-231.00,	
8961,	-368.00,	16280.00,	-164.00,	25.94,	5740.00,	-66.00,	-222.00,	
9066,	-344.00,	16332.00,	-224.00,	25.94,	5718.00,	-89.00,	-208.00,	
9171,	-380.00,	16440.00,	-268.00,	25.99,	5690.00,	-110.00,	-221.00,	
9277,	-308.00,	16420.00,	-200.00,	25.89,	5695.00,	-68.00,	-230.00,	
9382,	-288.00,	16380.00,	-156.00,	25.89,	5712.00,	-74.00,	-247.00,	
9488,	-396.00,	16336.00,	-216.00,	25.85,	5707.00,	-73.00,	-241.00,	
9593,	-356.00,	16340.00,	-224.00,	25.89,	5708.00,	-83.00,	-256.00,	
9699,	-400.00,	16400.00,	-244.00,	25.89,	5698.00,	-62.00,	-246.00,	
9804,	-388.00,	16440.00,	-208.00,	25.94,	5709.00,	-72.00,	-237.00,	
9910,	-200.00,	16304.00,	-144.00,	25.94,	5674.00,	-88.00,	-260.00,	
10015,	-428.00,	16336.00,	-196.00,	25.89,	5708.00,	-84.00,	-217.00,	
10121,	-320.00,	16220.00,	-104.00,	25.89,	5706.00,	-72.00,	-236.00,	
10226,	-316.00,	16344.00,	-264.00,	25.89,	5740.00,	-71.00,	-230.00,	
10332,	-320.00,	16444.00,	-300.00,	26.04,	5707.00,	-59.00,	-231.00,	
10437,	-296.00,	16424.00,	-204.00,	25.89,	5729.00,	-77.00,	-224.00,	
10543,	-344.00,	16316.00,	-208.00,	25.85,	5715.00,	-89.00,	-225.00,	
10648,	-420.00,	16384.00,	-216.00,	25.94,	5699.00,	-74.00,	-223.00,	
10754,	-356.00,	16388.00,	-196.00,	25.85,	5704.00,	-40.00,	-222.00,	
10859,	-460.00,	16104.00,	-168.00,	25.94,	5732.00,	-70.00,	-219.00,	
10964,	-364.00,	16496.00,	-348.00,	25.85,	5695.00,	-75.00,	-245.00,	
11070,	-440.00,	16276.00,	-196.00,	25.85,	5725.00,	-80.00,	-232.00,	
11175,	-348.00,	16236.00,	-248.00,	25.89,	5728.00,	-85.00,	-241.00,	
11281,	-332.00,	16472.00,	-252.00,	25.89,	5717.00,	-84.00,	-224.00,	
11386,	-428.00,	16368.00,	-340.00,	25.89,	5702.00,	-63.00,	-229.00,	
11492,	-336.00,	16384.00,	-500.00,	25.85,	5737.00,	-92.00,	-234.00,	
11597,	-312.00,	16324.00,	-140.00,	25.94,	5703.00,	-90.00,	-240.00,	
11703,	-344.00,	16356.00,	-360.00,	25.94,	5684.00,	-69.00,	-230.00,	
11808,	-400.00,	16464.00,	-260.00,	25.89,	5710.00,	-93.00,	-228.00,	
11914,	-476.00,	16232.00,	-220.00,	25.89,	5708.00,	-50.00,	-232.00,	
12019,	-300.00,	16400.00,	-400.00,	25.89,	5700.00,	-111.00,	-230.00,	
12125,	-308.00,	16328.00,	-232.00,	25.89,	5723.00,	-92.00,	-225.00,	
12230,	-324.00,	16368.00,	-168.00,	25.89,	5731.00,	-90.00,	-226.00,	
12336,	-276.00,	16300.00,	-292.00,	25.80,	5738.00,	-84.00,	-221.00,	
12441,	-380.00,	16312.00,	-248.00,	25.89,	5725.00,	-70.00,	-215.00,	
12546,	-448.00,	16300.00,	-208.00,	25.80,	5694.00,	-84.00,	-222.00,	
12651,	-352.00,	16324.00,	-300.00,	25.94,	5695.00,	-95.00,	-210.00,	
12756,	-356.00,	16400.00,	-60.00,	25.85,	5707.00,	-94.00,	-245.00,	
12862,	-352.00,	16344.00,	-264.00,	25.99,	5717.00,	-45.00,	-237.00,	
12967,	-348.00,	16468.00,	-212.00,	25.94,	5743.00,	-87.00,	-236.00,	
13073,	-304.00,	16432.00,	-396.00,	25.89,	5701.00,	-94.00,	-243.00,	
13178,	-324.00,	16272.00,	-384.00,	25.94,	5703.00,	-94.00,	-228.00,	
13284,	-428.00,	16580.00,	-280.00,	25.94,	5701.00,	-88.00,	-234.00,	
13389,	-420.00,	16440.00,	-208.00,	25.94,	5716.00,	-70.00,	-228.00,	
13495,	-156.00,	16232.00,	-184.00,	25.85,	5719.00,	-111.00,	-237.00,	
13600,	-336.00,	16444.00,	-356.00,	25.94,	5714.00,	-84.00,	-245.00,	
13706,	-376.00,	16372.00,	-304.00,	25.85,	5723.00,	-100.00,	-241.00,	
13811,	-372.00,	16292.00,	-188.00,	25.94,	5714.00,	-54.00,	-260.00,	
13917,	-452.00,	16292.00,	-128.00,	26.04,	5739.00,	-47.00,	-222.00,	
14022,	-380.00,	16448.00,	-220.00,	25.85,	5716.00,	-95.00,	-216.00,	
14128,	-280.00,	16396.00,	-460.00,	25.89,	5709.00,	-84.00,	-222.00,	
14233,	-492.00,	16372.00,	-228.00,	25.99,	5704.00,	-72.00,	-228.00,	
14339,	-460.00,	16328.00,	-248.00,	25.89,	5721.00,	-85.00,	-231.00,	
14444,	-360.00,	16444.00,	-376.00,	25.89,	5700.00,	-61.00,	-222.00,	
14550,	-364.00,	16372.00,	-236.00,	25.94,	5708.00,	-93.00,	-233.00,	
14655,	-308.00,	16372.00,	-328.00,	25.85,	5723.00,	-76.00,	-253.00,	
14760,	-308.00,	16304.00,	-204.00,	25.85,	5695.00,	-61.00,	-229.00,	
14866,	-268.00,	16456.00,	-156.00,	25.89,	5721.00,	-91.00,	-231.00,	
14971,	-320.00,	16364.00,	-252.00,	25.89,	5702.00,	-93.00,	-248.00,	
15077,	-264.00,	16248.00,	-216.00,	25.89,	5709.00,	-118.00,	-233.00,	
15182,	-332.00,	16292.00,	-156.00,	25.89,	5740.00,	-97.00,	-223.00,	
15288,	-388.00,	16344.00,	-424.00,	25.85,	5686.00,	-64.00,	-243.00,	
15393,	-340.00,	16296.00,	-248.00,	25.94,	5704.00,	-57.00,	-232.00,	
15499,	-344.00,	16312.00,	-308.00,	25.94,	5732.00,	-94.00,	-224.00,	
15604,	-320.00,	16340.00,	-284.00,	25.94,	5745.00,	-104.00,	-231.00,	
15710,	-340.00,	16320.00,	-156.00,	25.94,	5713.00,	-94.00,	-246.00,	
