9905,	-196.00,	528.00,	16420.00,	25.99,	5718.00,	-68.00,	-232.00,	
10010,	20.00,	560.00,	16388.00,	25.99,	5701.00,	-95.00,	-228.00,	
10116,	-104.00,	512.00,	16508.00,	25.89,	5734.00,	-72.00,	-226.00,	
10221,	-44.00,	588.00,	16576.00,	26.04,	5716.00,	-72.00,	-210.00,	
10327,	20.00,	596.00,	16688.00,	26.04,	5706.00,	-101.00,	-227.00,	
10432,	-48.00,	544.00,	16564.00,	26.04,	5736.00,	-80.00,	-242.00,	
10537,	-84.00,	464.00,	16432.00,	26.08,	5739.00,	-80.00,	-225.00,	
10643,	-144.00,	540.00,	16476.00,	26.08,	5703.00,	-62.00,	-215.00,	
10748,	-8.00,	500.00,	16628.00,	26.08,	5703.00,	-66.00,	-216.00,	
10854,	-16.00,	516.00,	16512.00,	26.04,	5701.00,	-85.00,	-208.00,	
10959,	16.00,	492.00,	16508.00,	26.04,	5668.00,	-110.00,	-220.00,	
11065,	-28.00,	660.00,	16516.00,	26.13,	5677.00,	-103.00,	-217.00,	
11170,	-40.00,	668.00,	16496.00,	26.04,	5602.00,	-63.00,	-235.00,	
11276,	16.00,	1376.00,	16456.00,	25.99,	5635.00,	-52.00,	-162.00,	
11381,	-124.00,	2296.00,	17068.00,	26.04,	5773.00,	-161.00,	-772.00,	
11487,	-424.00,	1884.00,	15780.00,	26.08,	5729.00,	-407.00,	-906.00,	
11592,	752.00,	6744.00,	19428.00,	25.94,	4976.00,	508.00,	-1539.00,	
11698,	-284.00,	664.00,	16664.00,	26.08,	5133.00,	-74.00,	-1257.00,	
11803,	-596.00,	1068.00,	16728.00,	25.99,	5626.00,	-147.00,	-284.00,	
11909,	-592.00,	-2056.00,	17296.00,	26.04,	5452.00,	-352.00,	-1276.00,	
12014,	504.00,	-976.00,	15832.00,	26.08,	5846.00,	-186.00,	497.00,	
12120,	88.00,	-2376.00,	16044.00,	25.94,	6753.00,	-385.00,	88.00,	
12225,	120.00,	-332.00,	16524.00,	25.94,	5166.00,	-147.00,	-212.00,	
12331,	212.00,	1144.00,	16620.00,	26.08,	6382.00,	-20.00,	-220.00,	
12436,	212.00,	444.00,	16528.00,	25.99,	5811.00,	-99.00,	-249.00,	
12541,	180.00,	636.00,	16444.00,	25.99,	5760.00,	-102.00,	-229.00,	
12647,	188.00,	540.00,	16452.00,	26.08,	5708.00,	-104.00,	-244.00,	
12752,	104.00,	464.00,	16368.00,	25.94,	5745.00,	-125.00,	-229.00,	
12858,	124.00,	568.00,	16436.00,	26.04,	5735.00,	-109.00,	-248.00,	
12963,	-16.00,	556.00,	16528.00,	26.13,	5710.00,	-82.00,	-238.00,	
13069,	200.00,	476.00,	16492.00,	26.04,	5715.00,	-79.00,	-242.00,	
13174,	96.00,	548.00,	16564.00,	25.99,	5714.00,	-84.00,	-235.00,	
13280,	112.00,	672.00,	16356.00,	26.08,	5712.00,	-91.00,	-221.00,	
13385,	140.00,	528.00,	16624.00,	25.99,	5724.00,	-99.00,	-211.00,	
13491,	92.00,	592.00,	16460.00,	26.04,	5729.00,	-72.00,	-229.00,	
13596,	112.00,	552.00,	16548.00,	26.04,	5730.00,	-95.00,	-215.00,	
13702,	192.00,	592.00,	16552.00,	25.99,	5720.00,	-90.00,	-227.00,	
13807,	140.00,	452.00,	16436.00,	26.04,	5725.00,	-74.00,	-244.00,	
13913,	208.00,	508.00,	16396.00,	26.04,	5731.00,	-82.00,	-222.00,	
14018,	196.00,	520.00,	16508.00,	25.99,	5732.00,	-83.00,	-227.00,	
14124,	88.00,	504.00,	16636.00,	26.08,	5705.00,	-78.00,	-240.00,	
14229,	128.00,	460.00,	16432.00,	26.08,	5742.00,	-72.00,	-222.00,	
14334,	252.00,	476.00,	16532.00,	26.04,	5728.00,	-96.00,	-216.00,	
14440,	112.00,	432.00,	16536.00,	26.04,	5742.00,	-98.00,	-239.00,	
14545,	104.00,	516.00,	16548.00,	25.94,	5745.00,	-103.00,	-222.00,	
14651,	168.00,	468.00,	16532.00,	26.04,	5701.00,	-76.00,	-240.00,	
14756,	156.00,	600.00,	16512.00,	26.04,	5716.00,	-54.00,	-237.00,	
14862,	244.00,	436.00,	16424.00,	26.22,	5716.00,	-89.00,	-237.00,	
14966,	204.00,	440.00,	16520.00,	26.04,	5721.00,	-112.00,	-217.00,	
15072,	152.00,	576.00,	16488.00,	25.99,	5698.00,	-94.00,	-230.00,	
15177,	216.00,	488.00,	16420.00,	26.08,	5709.00,	-85.00,	-224.00,	
15283,	208.00,	560.00,	16572.00,	25.94,	5740.00,	-71.00,	-228.00,	
15388,	180.00,	556.00,	16492.00,	25.94,	5719.00,	-70.00,	-237.00,	
15494,	208.00,	532.00,	16544.00,	26.04,	5708.00,	-103.00,	-227.00,	
15599,	240.00,	536.00,	16520.00,	26.13,	5709.00,	-82.00,	-228.00,	
