tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
23967,24267,25167,1100508,96734,1003774,1003651,1003610,24267,24567,25167,228813.3,207875,20938.25,20598.69,20485.5,24567,24867,25167,8286.75,18710,-10423.25,-10283.19,-10236.5,24867,25167,25167,56479.75,67251,-10771.25,-10654.63,-10615.75,0,4534.216,4534.0,False,3,0,0,0,0,0,True,True,False
25295,25596,26496,1100184,96734,1003450,1003450,1003450,25596,25896,26496,228962.5,207875,21087.5,21087.5,21087.5,25896,26196,26496,7971.0,18710,-10739.0,-10739.0,-10739.0,26196,26496,26496,57062.25,67251,-10188.75,-10188.75,-10188.75,0,4534.699,4534.5,True,3,0,0,0,0,0,True,True,False
26624,26924,27824,1099560,96734,1002826,1002826,1002826,26924,27224,27824,230213.0,207875,22338.0,22338.0,22338.0,27224,27524,27824,6171.75,18710,-12538.25,-12538.25,-12538.25,27524,27824,27824,58952.5,67251,-8298.5,-8298.5,-8298.5,0,4538.019,4538.0,True,3,0,0,0,0,0,True,True,False
27954,28254,29154,1097689,96734,1000955,1000955,1000955,28254,28554,29154,230744.5,207875,22869.5,22869.5,22869.5,28554,28854,29154,6659.25,18710,-12050.75,-12050.75,-12050.75,28854,29154,29154,58493.5,67251,-8757.5,-8757.5,-8757.5,0,4532.09,4532.0,True,3,0,0,0,0,0,True,True,False
29280,29580,30480,1098432,96734,1001698,1001698,1001698,29580,29880,30480,229998.3,207875,22123.25,22123.25,22123.25,29880,30180,30480,7991.75,18710,-10718.25,-10718.25,-10718.25,30180,30480,30480,56994.0,67251,-10257.0,-10257.0,-10257.0,0,4531.246,4531.0,True,3,0,0,0,0,0,True,True,False
30607,30907,31807,1099988,96734,1003254,1003254,1003254,30907,31207,31807,229057.8,207875,21182.75,21182.75,21182.75,31207,31507,31807,8063.0,18710,-10647.0,-10647.0,-10647.0,31507,31807,31807,57076.0,67251,-10175.0,-10175.0,-10175.0,0,4534.741,4535.0,True,3,0,0,0,0,0,True,True,False
31932,32232,33132,1099958,96734,1003224,1003224,1003224,32232,32532,33132,229348.5,207875,21473.5,21473.5,21473.5,32532,32832,33132,7929.25,18710,-10780.75,-10780.75,-10780.75,32832,33132,33132,57054.0,67251,-10197.0,-10197.0,-10197.0,0,4535.188,4535.0,True,3,0,0,0,0,0,True,True,False
33258,33558,34458,1099947,96734,1003213,1003221,1003224,33558,33858,34458,229425.3,207875,21550.25,21492.69,21473.5,33858,34158,34458,7866.75,18710,-10843.25,-10796.38,-10780.75,34158,34458,34458,56789.25,67251,-10461.75,-10263.19,-10197.0,0,4533.945,4534.0,False,3,0,0,0,0,0,True,True,False
34585,34885,35785,1099863,96734,1003129,1003197,1003223,34885,35185,35785,229157.0,207875,21282.0,21444.81,21478.27,35185,35485,35785,7949.0,18710,-10761.0,-10791.44,-10784.63,35485,35785,35785,56858.75,67251,-10392.25,-10312.0,-10213.45,0,4533.063,4533.0,False,3,0,0,0,0,0,True,True,False
35913,36213,37113,1100131,96734,1003397,1003240,1003217,36213,36513,37113,229200.5,207875,21325.5,21407.81,21469.96,36513,36813,37113,7995.5,18710,-10714.5,-10774.88,-10786.33,36813,37113,37113,56605.25,67251,-10645.75,-10424.19,-10237.94,0,4533.492,4533.5,False,3,0,0,0,0,0,True,True,False
37239,37539,38439,1100090,96734,1003356,1003274,1003222,37539,37839,38439,229156.3,207875,21281.25,21359.75,21454.51,37839,38139,38439,7962.75,18710,-10747.25,-10766.5,-10783.48,38139,38439,38439,56735.5,67251,-10515.5,-10503.81,-10284.23,0,4533.571,4533.5,False,3,0,0,0,0,0,True,True,False
38566,38866,39766,1100270,96734,1003536,1003354,1003235,38866,39166,39766,229140.3,207875,21265.25,21288.5,21430.96,39166,39466,39766,7987.0,18710,-10723.0,-10736.44,-10779.26,39466,39766,39766,56802.25,67251,-10448.75,-10500.56,-10338.8,0,4534.737,4535.0,False,3,0,0,0,0,0,True,True,False
39894,40194,41094,1100229,96734,1003495,1003446,1003265,40194,40494,41094,229259.3,207875,21384.25,21314.06,21395.56,40494,40794,41094,8036.0,18710,-10674.0,-10714.69,-10768.62,40794,41094,41094,56793.25,67251,-10457.75,-10516.94,-10379.0,0,4535.278,4535.0,False,3,0,0,0,0,0,True,True,False
41221,41521,42421,1100259,96734,1003525,1003478,1003310,41521,41821,42421,229112.0,207875,21237.0,21291.94,21375.3,41821,42121,42421,7981.25,18710,-10728.75,-10718.25,-10755.21,42121,42421,42421,56700.75,67251,-10550.25,-10493.06,-10413.28,0,4534.056,4534.0,False,3,0,0,0,0,0,True,True,False
42550,42850,43750,1100284,96734,1003550,1003526,1003352,42850,43150,43750,229197.5,207875,21322.5,21302.25,21354.59,43150,43450,43750,8064.25,18710,-10645.75,-10692.88,-10746.03,43450,43750,43750,56536.25,67251,-10714.75,-10542.88,-10433.11,0,4534.168,4534.0,False,3,0,0,0,0,0,True,True,False
