tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
39539,39539,39614,91808,70290,21518,21518,21518.0,39539,39539,39614,987059,215161,771898,771898,771898.0,39539,39588,39614,37359,21326,16033,16033,16033,39588,39614,39614,81610,87635,-6025,-6025,-6025.0,0,3642.723,3643.0,True,3,0,0,0,0,0,True,True,False
39738,39738,39812,72255,70290,1965,1965,1965.0,39738,39738,39812,244369,215161,29208,29208,29208.0,39738,39764,39812,20463,21326,-863,-863,-863,39764,39812,39812,85347,87635,-2288,-2288,-2288.0,0,128.2576,128.0,True,3,0,0,0,0,0,True,True,False
39933,39933,40010,72489,70290,2199,2199,2199.0,39933,39933,40010,216689,215161,1528,1528,1528.0,39933,39941,40010,20660,21326,-666,-666,-666,39941,40010,40010,85106,87635,-2529,-2529,-2529.0,0,3.710694,0.0,True,0,0,0,0,0,0,True,True,False
40130,40130,40207,72634,70290,2344,2344,2344.0,40130,40130,40207,216444,215161,1283,1283,1283.0,40130,40206,40207,20905,21326,-421,-421,-421,40206,40207,40207,85022,87635,-2613,-2613,-2613.0,0,4.009706,0.0,True,0,0,0,0,0,0,True,True,False
48828,48828,48903,76290,70290,6000,6000,6000.0,48828,48828,48903,250144,215161,34983,34983,34983.0,48828,48854,48903,1040538,21326,1019212,1019212,1019212,48854,48903,48903,83148,87635,-4487,-4487,-4487.0,0,4950.429,4950.5,True,3,0,0,0,0,0,True,True,False
49025,49025,49100,76275,70290,5985,5985,5985.0,49025,49025,49100,250143,215161,34982,34982,34982.0,49025,49031,49100,1040681,21326,1019355,1019355,1019355,49031,49100,49100,83100,87635,-4535,-4535,-4535.0,0,4950.801,4951.0,True,3,0,0,0,0,0,True,True,False
51007,51007,51076,76309,70290,6019,6019,5982.859,51007,51008,51076,250213,215161,35052,35052,34991.79,51008,51061,51076,1040510,21326,1019184,1019184,1019298,51061,51076,51076,83087,87635,-4548,-4548,-4526.716,0,4950.408,4950.5,False,3,0,0,0,0,0,True,True,False
51200,51200,51274,76279,70290,5989,5989,5985.35,51200,51200,51274,250218,215161,35057,35057,34995.94,51200,51237,51274,1040532,21326,1019206,1019206,1019290,51237,51274,51274,83127,87635,-4508,-4508,-4528.183,0,4950.587,4950.5,False,3,0,0,0,0,0,True,True,False
51397,51397,51472,76255,70290,5965,5965,5985.602,51397,51398,51472,250197,215161,35036,35036,35000.15,51398,51414,51472,1040563,21326,1019237,1019237,1019284,51414,51472,51472,83155,87635,-4480,-4480,-4526.792,0,4950.661,4950.5,False,3,0,0,0,0,0,True,True,False
51596,51596,51678,76244,70290,5954,5954,5984.181,51596,51596,51678,250183,215161,35022,35022,35002.62,51596,51678,51678,1040550,21326,1019224,1019224,1019281,51678,51678,51678,83080,87635,-4555,-4555,-4523.566,0,4950.133,4950.0,False,3,0,0,0,0,0,True,True,False
51804,51804,51867,76291,70290,6001,6001,5982.101,51804,51804,51867,250212,215161,35051,35051,35003.96,51804,51855,51867,1040537,21326,1019211,1019211,1019277,51855,51867,51867,83142,87635,-4493,-4493,-4525.733,0,4950.708,4951.0,False,3,0,0,0,0,0,True,True,False
51990,51990,52065,76274,70290,5984,5984,5983.403,51990,51991,52065,250232,215161,35071,35071,35007.2,51991,52031,52065,1040568,21326,1019242,1019242,1019272,52031,52065,52065,83127,87635,-4508,-4508,-4523.476,0,4950.797,4951.0,False,3,0,0,0,0,0,True,True,False
52187,52188,52262,76235,70290,5945,5945,5983.444,52188,52188,52262,250194,215161,35033,35033,35011.6,52188,52208,52262,1040476,21326,1019150,1019150,1019270,52208,52262,52262,83108,87635,-4527,-4527,-4522.409,0,4949.927,4950.0,False,3,0,0,0,0,0,True,True,False
52387,52387,52473,76287,70290,5997,5997,5980.794,52387,52387,52473,250228,215161,35067,35067,35013.07,52387,52473,52473,1040498,21326,1019172,1019172,1019262,52473,52473,52473,83068,87635,-4567,-4567,-4522.726,0,4950.23,4950.0,False,3,0,0,0,0,0,True,True,False
52595,52595,52657,76247,70290,5957,5957,5981.911,52595,52596,52657,250185,215161,35024,35024,35016.79,52596,52649,52657,1040472,21326,1019146,1019146,1019256,52649,52657,52657,83134,87635,-4501,-4501,-4525.778,0,4950.044,4950.0,False,3,0,0,0,0,0,True,True,False
