tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
7898,7898,7975,86055,85916,139,139,17.50463,7898,7898,7975,194262,194414,-152,-152,3.248162,7898,7915,7975,38851,38582,269,269,6.21119,7915,7975,7975,70676,70511,165,165,13.15277,0,3.895849,0.0,False,0,0,0,0,0,0,True,True,False
10940,10940,11037,86176,86058,118,118,0.0,10940,10942,11037,194331,194417,-86,-86,0.0,10942,11004,11037,38642,38602,40,40,0.0,11004,11037,11037,70488,70428,60,60,0.0,0,2.529295,0.0,False,0,0,0,0,0,0,True,True,False
11158,11158,11235,86158,86058,100,100,8.134592,11158,11158,11235,194329,194417,-88,-88,-5.928601,11158,11180,11235,38628,38602,26,26,2.757489,11180,11235,11235,70539,70428,111,111,4.136233,0,2.613928,0.0,False,0,0,0,0,0,0,True,True,False
11751,11751,11828,86004,86058,-54,-54,21.9364,11751,11751,11828,194276,194417,-141,-141,-20.16366,11751,11798,11828,38562,38602,-40,-40,8.346068,11798,11828,11828,70275,70428,-153,-153,13.39284,0,0.121588,0.0,False,0,0,0,0,0,0,True,True,False
16099,16099,16175,1014495,86058,928437,928437,928437.0,16099,16100,16175,214188,194417,19771,19771,19771.0,16100,16122,16175,15020,38602,-23582,-23582,-23582.0,16122,16175,16175,146511,70428,76083,76083,76083.0,0,4536.667,4536.5,True,1,0,0,0,0,0,True,True,False
16299,16299,16387,1032226,86058,946168,946168,946168.0,16299,16299,16387,217381,194417,22964,22964,22964.0,16299,16387,16387,16779,38602,-21823,-21823,-21823.0,16387,16387,16387,129518,70428,59090,59090,59090.0,0,4559.311,4559.0,True,1,0,0,0,0,0,True,True,False
17283,17283,17360,86841,86058,783,783,783.0,17283,17283,17360,193025,194417,-1392,-1392,-1392.0,17283,17357,17360,40777,38602,2175,2175,2175.0,17357,17360,17360,71923,70428,1495,1495,1495.0,0,16.41513,16.5,True,1,0,0,0,0,0,True,True,False
18274,18275,18348,959673,86058,873615,873615,873615.0,18275,18275,18348,227729,194417,33312,33312,33312.0,18275,18328,18348,22351,38602,-16251,-16251,-16251.0,18328,18348,18348,181558,70428,111130,111130,111130.0,0,4550.072,4550.0,True,1,0,0,0,0,0,True,True,False
25599,25599,25659,966786,86058,880728,880728,880662.8,25599,25600,25659,224743,194417,30326,30326,30216.13,25600,25652,25659,20520,38602,-18082,-18082,-18167.47,25652,25659,25659,184975,70428,114547,114547,114847.4,0,4576.234,4576.0,False,3,0,0,0,0,0,True,True,False
25785,25785,25856,966785,86058,880727,880727,880667.3,25785,25785,25856,224735,194417,30318,30318,30223.7,25785,25829,25856,20409,38602,-18193,-18193,-18161.57,25829,25856,25856,185087,70428,114659,114659,114826.7,0,4576.201,4576.0,False,3,0,0,0,0,0,True,True,False
25979,25979,26054,966932,86058,880874,880874,880671.4,25979,25980,26054,224677,194417,30260,30260,30230.2,25980,26005,26054,20412,38602,-18190,-18190,-18163.74,26005,26054,26054,185339,70428,114911,114911,114815.1,0,4577.806,4578.0,False,3,0,0,0,0,0,True,True,False
26177,26178,26252,966828,86058,880770,880770,880685.4,26178,26178,26252,224687,194417,30270,30270,30232.25,26178,26182,26252,20397,38602,-18205,-18205,-18165.55,26182,26252,26252,185360,70428,114932,114932,114821.8,0,4577.411,4577.5,False,3,0,0,0,0,0,True,True,False
26378,26378,26449,966663,86058,880605,880605,880691.2,26378,26378,26449,224716,194417,30299,30299,30234.86,26378,26447,26449,20372,38602,-18230,-18230,-18168.27,26447,26449,26449,185008,70428,114580,114580,114829.4,0,4575.017,4575.0,False,3,0,0,0,0,0,True,True,False
26572,26572,26647,966501,86058,880443,880443,880685.3,26572,26573,26647,224628,194417,30211,30211,30239.28,26573,26623,26647,20323,38602,-18279,-18279,-18172.53,26623,26647,26647,185266,70428,114838,114838,114812.2,0,4574.874,4575.0,False,3,0,0,0,0,0,True,True,False
26770,26770,26844,966818,86058,880760,880760,880668.5,26771,26771,26844,224633,194417,30216,30216,30237.33,26771,26800,26844,20385,38602,-18217,-18217,-18179.87,26800,26844,26844,185160,70428,114732,114732,114813.9,0,4576.12,4576.0,False,3,0,0,0,0,0,True,True,False
