tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
103568,103868,104768,98015.0,97781,234.0,234.0,234.0,103868,104168,104768,205754.3,207431,-1676.75,-1676.75,-1676.75,104168,104468,104768,20842.5,19086,1756.5,1756.5,1756.5,104468,104768,104768,167895.8,65838,102057.8,102057.8,102057.8,0,485.4354,485.5,True,3,0,0,0,0,0,True,True,False
104894,105194,106094,98209.0,97781,428.0,428.0,428.0,105194,105494,106094,205645.3,207431,-1785.75,-1785.75,-1785.75,105494,105794,106094,20881.0,19086,1795.0,1795.0,1795.0,105794,106094,106094,167718.3,65838,101880.3,101880.3,101880.3,0,485.1613,485.0,True,3,0,0,0,0,0,True,True,False
106219,106519,107419,98093.25,97781,312.25,399.0625,428.0,106519,106819,107419,205598.3,207431,-1832.75,-1797.5,-1785.75,106819,107119,107419,21061.0,19086,1975.0,1840.0,1795.0,107119,107419,107419,167795.3,65838,101957.3,101899.5,101880.3,0,485.6336,485.5,False,3,0,0,0,0,0,True,True,False
107545,107845,108745,98070.75,97781,289.75,364.5,420.8084,107845,108145,108745,205431.0,207431,-2000.0,-1851.063,-1788.67,108145,108445,108745,21108.0,19086,2022.0,1896.75,1806.184,108445,108745,108745,167707.3,65838,101869.3,101896.8,101885.0,0,484.5794,484.5,False,3,0,0,0,0,0,True,True,False
108872,109172,110072,98266.75,97781,485.75,378.9375,406.8145,109172,109472,110072,205540.0,207431,-1891.0,-1877.375,-1804.176,109472,109772,110072,21055.25,19086,1969.25,1940.313,1828.691,109772,110072,110072,167727.3,65838,101889.3,101899.0,101887.9,0,485.806,486.0,False,3,0,0,0,0,0,True,True,False
110201,110501,111401,98330.25,97781,549.25,409.25,399.8864,110501,110801,111401,205477.0,207431,-1954.0,-1919.438,-1822.368,110801,111101,111401,21117.5,19086,2031.5,1999.438,1856.432,111101,111401,111401,167847.3,65838,102009.3,101931.3,101890.7,0,486.6663,486.5,False,3,0,0,0,0,0,True,True,False
111528,111828,112728,98375.25,97781,594.25,479.75,402.2135,111828,112128,112728,205433.8,207431,-1997.25,-1960.563,-1846.492,112128,112428,112728,21192.75,19086,2106.75,2032.375,1891.972,112428,112728,112728,167708.8,65838,101870.8,101909.6,101900.8,0,486.3732,486.0,False,3,0,0,0,0,0,True,True,False
112858,113158,114058,98157.5,97781,376.5,501.4375,421.4831,113158,113458,114058,205320.8,207431,-2110.25,-1988.125,-1874.841,113458,113758,114058,21176.0,19086,2090.0,2049.375,1926.865,113758,114058,114058,167637.0,65838,101799.0,101892.1,101903.0,0,484.4597,484.5,False,3,0,0,0,0,0,True,True,False
114187,114487,115387,98503.25,97781,722.25,560.5625,441.3536,114487,114787,115387,205369.8,207431,-2061.25,-2030.688,-1902.995,114787,115087,115387,21171.25,19086,2085.25,2078.375,1957.312,115087,115387,115387,167597.8,65838,101759.8,101859.7,101900.3,0,486.0369,486.0,False,3,0,0,0,0,0,True,True,False
115518,115818,116718,98547.5,97781,766.5,614.875,470.9797,115818,116118,116718,205371.5,207431,-2059.5,-2057.063,-1934.729,116118,116418,116718,21214.75,19086,2128.75,2102.688,1987.399,116418,116718,116718,167472.3,65838,101634.3,101765.9,101890.2,0,485.8565,486.0,False,3,0,0,0,0,0,True,True,False
