tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
22688,22988,23888,192263.0,97781,94482.0,94482.0,94482.0,22988,23288,23888,214226.3,207431,6795.25,6795.25,6795.25,23288,23588,23888,12834.75,19086,-6251.25,-6251.25,-6251.25,23588,23888,23888,70849.75,65838,5011.75,5011.75,5011.75,0,454.0896,454.0,True,1,0,0,0,0,0,True,True,False
24012,24312,25212,192186.3,97781,94405.25,94405.25,94405.25,24312,24612,25212,214259.8,207431,6828.75,6828.75,6828.75,24612,24912,25212,12804.25,19086,-6281.75,-6281.75,-6281.75,24912,25212,25212,70606.5,65838,4768.5,4768.5,4768.5,0,452.6029,452.5,True,3,0,0,0,0,0,True,True,False
25338,25638,26538,192235.5,97781,94454.5,94417.56,94405.25,25638,25938,26538,214249.8,207431,6818.75,6826.25,6828.75,25938,26238,26538,12789.75,19086,-6296.25,-6285.375,-6281.75,26238,26538,26538,70769.0,65838,4931.0,4809.125,4768.5,0,453.4793,453.5,False,3,0,0,0,0,0,True,True,False
26664,26964,27864,192057.3,97781,94276.25,94385.31,94408.31,26964,27264,27864,214448.0,207431,7017.0,6873.313,6828.129,27264,27564,27864,12583.5,19086,-6502.5,-6340.563,-6282.651,27564,27864,27864,70879.5,65838,5041.5,4877.375,4778.596,0,453.1252,453.0,False,3,0,0,0,0,0,True,True,False
27990,28290,29190,191704.3,97781,93923.25,94264.81,94402.6,28290,28590,29190,214432.3,207431,7001.25,6916.438,6839.358,28590,28890,29190,12559.75,19086,-6526.25,-6401.688,-6297.043,28890,29190,29190,70932.5,65838,5094.5,4958.875,4803.145,0,451.597,451.5,False,3,0,0,0,0,0,True,True,False
29316,29616,30516,191839.3,97781,94058.25,94178.06,94368.36,29616,29916,30516,214446.5,207431,7015.5,6963.125,6858.515,29916,30216,30516,12586.75,19086,-6499.25,-6456.063,-6323.05,30216,30516,30516,70909.0,65838,5071.0,5034.5,4841.848,0,452.2875,452.0,False,3,0,0,0,0,0,True,True,False
30644,30944,31844,191855.5,97781,94074.5,94083.06,94321.07,30944,31244,31844,214417.3,207431,6986.25,7005.0,6884.513,31244,31544,31844,12656.0,19086,-6430.0,-6489.5,-6356.106,31544,31844,31844,71141.5,65838,5303.5,5127.625,4889.726,0,453.6512,453.5,False,3,0,0,0,0,0,True,True,False
31971,32271,33171,192121.0,97781,94340.0,94099.0,94261.92,32271,32571,33171,214468.8,207431,7037.75,7010.188,6914.457,32571,32871,33171,12548.0,19086,-6538.0,-6498.375,-6389.258,32871,33171,33171,70976.25,65838,5138.25,5151.813,4948.85,0,453.7975,454.0,False,3,0,0,0,0,0,True,True,False
33299,33599,34499,191949.5,97781,94168.5,94160.31,94221.43,33599,33899,34499,214521.3,207431,7090.25,7032.438,6938.248,33899,34199,34499,12586.75,19086,-6499.25,-6491.625,-6416.376,34199,34499,34499,71015.25,65838,5177.25,5172.5,4999.291,0,453.6261,453.5,False,3,0,0,0,0,0,True,True,False
34628,34928,35828,192073.0,97781,94292.0,94218.75,94206.24,34928,35228,35828,214549.0,207431,7118.0,7058.063,6961.656,35228,35528,35828,12558.25,19086,-6527.75,-6498.75,-6435.077,35528,35828,35828,70823.5,65838,4985.5,5151.125,5042.337,0,453.2711,453.0,False,3,0,0,0,0,0,True,True,False
