tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
17545,17545,17612,184930,86780,98150,98150,98150.0,17545,17545,17612,200559,198874,1685,1685,1685.0,17545,17600,17612,34782,37415,-2633,-2633,-2633.0,17600,17612,17612,70106,68882,1224,1224,1224.0,0,446.6218,446.5,True,3,0,0,0,0,0,True,True,False
17933,17933,18007,185071,86780,98291,98291,98151.93,17933,17933,18007,200542,198874,1668,1668,1685.0,17933,17953,18007,34660,37415,-2755,-2755,-2637.067,17953,18007,18007,70112,68882,1230,1230,1226.482,0,446.6378,446.5,False,3,0,0,0,0,0,True,True,False
18129,18129,18204,184872,86780,98092,98092,98161.52,18129,18129,18204,200511,198874,1637,1637,1683.828,18129,18130,18204,34629,37415,-2786,-2786,-2645.197,18130,18204,18204,70179,68882,1297,1297,1226.724,0,445.7686,446.0,False,3,0,0,0,0,0,True,True,False
19904,19904,19983,184887,86780,98107,98107,98150.84,19904,19904,19983,200672,198874,1798,1798,1696.509,19904,19982,19983,34572,37415,-2843,-2843,-2733.39,19982,19983,19983,70206,68882,1324,1324,1308.677,0,446.4257,446.5,False,3,0,0,0,0,0,True,True,False
20108,20108,20176,184878,86780,98098,98098,98147.82,20108,20108,20176,200653,198874,1779,1779,1703.505,20108,20159,20176,34565,37415,-2850,-2850,-2740.946,20159,20176,20176,70282,68882,1400,1400,1309.734,0,446.6249,446.5,False,3,0,0,0,0,0,True,True,False
22077,22077,22149,184805,86780,98025,98025,98082.65,22077,22077,22149,200709,198874,1835,1835,1754.098,22077,22100,22149,34468,37415,-2947,-2947,-2828.661,22100,22149,22149,70320,68882,1438,1438,1349.155,0,446.2727,446.0,False,3,0,0,0,0,0,True,True,False
22273,22273,22347,184858,86780,98078,98078,98078.67,22273,22273,22347,200749,198874,1875,1875,1759.675,22273,22276,22347,34485,37415,-2930,-2930,-2836.819,22276,22347,22347,70347,68882,1465,1465,1355.28,0,446.9007,447.0,False,3,0,0,0,0,0,True,True,False
22470,22470,22544,184695,86780,97915,97915,98078.63,22470,22470,22544,200754,198874,1880,1880,1767.625,22470,22541,22544,34449,37415,-2966,-2966,-2843.243,22541,22544,22544,70222,68882,1340,1340,1362.844,0,445.4275,445.5,False,3,0,0,0,0,0,True,True,False
22669,22669,22741,184638,86780,97858,97858,98067.34,22669,22669,22741,200667,198874,1793,1793,1775.372,22669,22717,22741,34433,37415,-2982,-2982,-2851.705,22717,22741,22741,70310,68882,1428,1428,1361.269,0,445.116,445.0,False,3,0,0,0,0,0,True,True,False
22863,22864,22939,184645,86780,97865,97865,98052.91,22864,22864,22939,200696,198874,1822,1822,1776.587,22864,22894,22939,34447,37415,-2968,-2968,-2860.687,22894,22939,22939,70183,68882,1301,1301,1365.869,0,444.7452,445.0,False,3,0,0,0,0,0,True,True,False
23061,23062,23136,184621,86780,97841,97841,98039.95,23062,23062,23136,200674,198874,1800,1800,1779.718,23062,23070,23136,34405,37415,-3010,-3010,-2868.085,23070,23136,23136,70390,68882,1508,1508,1361.397,0,445.3172,445.0,False,3,0,0,0,0,0,True,True,False
23259,23259,23335,184710,86780,97930,97930,98026.23,23259,23259,23335,200729,198874,1855,1855,1781.116,23259,23335,23335,34397,37415,-3018,-3018,-2877.868,23335,23335,23335,70359,68882,1477,1477,1371.503,0,445.7847,446.0,False,3,0,0,0,0,0,True,True,False
23457,23457,23531,184703,86780,97923,97923,98019.6,23457,23458,23531,200783,198874,1909,1909,1786.209,23458,23511,23531,34443,37415,-2972,-2972,-2887.528,23511,23531,23531,70499,68882,1617,1617,1378.776,0,446.8745,447.0,False,3,0,0,0,0,0,True,True,False
23655,23656,23728,184841,86780,98061,98061,98012.94,23656,23656,23728,200785,198874,1911,1911,1794.674,23656,23688,23728,34480,37415,-2935,-2935,-2893.352,23688,23728,23728,70623,68882,1741,1741,1395.198,0,448.2664,448.0,False,3,0,0,0,0,0,True,True,False
23850,23850,23926,184693,86780,97913,97913,98016.25,23850,23851,23926,200763,198874,1889,1889,1802.693,23851,23864,23926,34480,37415,-2935,-2935,-2896.223,23864,23926,23926,70395,68882,1513,1513,1419.037,0,446.4214,446.5,False,3,0,0,0,0,0,True,True,False
