tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
61138,61645,61646,-91433,-112384,42,20951,0,20958.71,20960.0,499.0476,0,499.0,61646,62190,62190,-77894,-80810,2916,2924.0,2927.105,69.69298,69.5,0.659912,0.761231,0.123535,-50.71756,-1.916031,1.839695,-40.55375,80.78201,19.49471,False,0,0,0
62261,62830,62831,-91434,-112384,42,20950,0,20957.29,20959.5,499.0356,0,499.0,62831,63312,63313,-77871,-80810,2939,2925.572,2925.889,69.66403,69.5,0.675537,0.771729,0.116699,-50.52672,-1.755725,1.70229,-40.87662,81.40081,19.49471,False,0,0,0
63385,63916,63917,-91413,-112384,42,20971,0,20958.86,20958.63,499.015,0,499.0,63917,64435,64435,-77863,-80810,2947,2928.286,2925.765,69.66107,69.5,0.695068,0.783691,0.113281,-50.64885,-1.89313,1.801527,-41.27634,81.77477,19.44765,False,0,0,0
64507,65003,65004,-91401,-112384,42,20983,0,20962.14,20958.72,499.0171,0,499.0,65004,65557,65558,-77865,-80810,2945,2930.714,2926.752,69.68456,69.5,0.669922,0.77832,0.11792,-50.42748,-1.984733,1.854962,-40.39822,81.3847,19.54177,False,0,0,0
65629,66188,66189,-91401,-112384,42,20983,0,20965.43,20960.06,499.049,0,499.0,66189,66680,66681,-77855,-80810,2955,2934.572,2928.303,69.7215,70.0,0.690674,0.782471,0.114746,-50.75573,-1.854962,1.832061,-41.132,81.65709,19.35353,False,0,0,0
66752,67274,67275,-91408,-112384,42,20976,0,20967.71,20962.16,499.0991,0,499.0,67275,67803,67803,-77849,-80810,2961,2939.286,2930.757,69.77993,70.0,0.699219,0.790039,0.10083,-50.56488,-1.801527,1.671756,-41.28052,82.72665,19.54177,False,0,0,0
67874,68459,68460,-91392,-112384,42,20992,0,20972.29,20964.33,499.1508,0,499.0,68460,69019,69019,-77826,-80810,2984,2949.572,2934.096,69.85943,70.0,0.662109,0.767822,0.116943,-50.68702,-1.992366,1.70229,-40.44717,81.33991,19.40059,False,0,0,0
69091,69645,69645,-91401,-112384,42,20983,0,20976.86,20967.45,499.2249,0,499.0,69645,70141,70142,-77836,-80810,2974,2957.857,2940.155,70.00368,70.0,0.678955,0.778076,0.115967,-50.70992,-2.0,1.687023,-40.79653,81.52268,19.44765,False,0,0,0
70213,70731,70732,-91408,-112384,42,20976,0,20980.57,20971.13,499.3127,0,499.0,70732,71264,71265,-77831,-80810,2979,2963.572,2947.085,70.16869,70.0,0.701904,0.783203,0.111816,-50.73283,-1.862595,1.801527,-41.57937,81.87471,19.44765,False,0,0,0
71336,71916,71917,-91376,-112384,42,21008,0,20985.86,20974.83,499.4006,0,499.5,71917,72387,72387,-77825,-80810,2985,2969.0,2953.54,70.32237,70.0,0.679199,0.773926,0.115234,-50.63359,-2.053435,1.633588,-40.95897,81.53092,19.58882,False,0,0,0
72458,73002,73003,-91384,-112384,42,21000,0,20988.29,20979.14,499.5034,0,499.5,73003,73509,73510,-77822,-80810,2988,2975.143,2959.592,70.46648,70.5,0.679199,0.781982,0.11377,-50.73283,-1.992366,1.938931,-40.67935,81.72201,19.49471,False,0,0,0
73582,74089,74090,-91387,-112384,42,20997,0,20990.29,20982.72,499.5886,0,499.5,74090,74632,74632,-77814,-80810,2996,2981.0,2965.68,70.61143,70.5,0.667481,0.764404,0.121094,-50.38168,-1.923664,1.80916,-40.77599,80.99805,19.49471,False,0,0,0
74703,75274,75275,-91393,-112384,42,20991,0,20992.43,20985.68,499.6591,0,499.5,75275,75754,75755,-77827,-80810,2983,2984.143,2971.678,70.75423,71.0,0.682861,0.766602,0.114746,-50.84733,-1.877863,1.633588,-41.37835,81.48689,19.44765,False,0,0,0
75827,76360,76361,-91389,-112384,42,20995,0,20992.86,20988.32,499.722,0,500.0,76361,76877,76878,-77813,-80810,2997,2986.0,2976.558,70.87042,71.0,0.692871,0.777588,0.118164,-50.58779,-1.862595,1.740458,-41.37796,81.35912,19.54177,False,0,0,0
76949,77447,77448,-91392,-112384,42,20992,0,20994.14,20990.1,499.7642,0,500.0,77448,78000,78000,-77820,-80810,2990,2988.286,2980.254,70.95844,71.0,0.685059,0.782471,0.113037,-50.70229,-2.068702,1.671756,-40.90923,81.77962,19.49471,False,0,0,0
