1539572,	-15.8420,	0.0000,	1539031,	1539572,	-12.0878,	0.0000,	0,	0,	-61.7977,	6200.0000,	7179.00,	0,	3716,	5.07,	
1540218,	-14.8549,	0.0000,	1539678,	1540218,	-13.5576,	0.0000,	0,	0,	-61.7977,	6200.0000,	7118.00,	0,	3716,	5.07,	
1540866,	-16.2789,	0.0000,	1540324,	1540866,	-14.0655,	0.0000,	0,	0,	-61.7977,	6200.0000,	7206.00,	0,	3716,	5.07,	
1541513,	-9.3207,	0.0000,	1540971,	1541513,	-9.3207,	0.0000,	1,	0,	-61.7977,	6200.0000,	6776.00,	0,	3716,	5.07,	
1542159,	-17.0395,	0.0000,	1541616,	1542159,	-17.0395,	0.0000,	1,	0,	-61.7977,	6200.0000,	7253.00,	0,	3716,	5.07,	
1542806,	-12.7675,	0.0000,	1542264,	1542806,	-17.0395,	0.0000,	0,	0,	-61.7977,	6200.0000,	6989.00,	0,	3716,	5.07,	
1543453,	-11.0198,	0.0000,	1542912,	1543453,	-15.3670,	0.0000,	0,	0,	-61.7977,	6200.0000,	6881.00,	0,	3716,	5.07,	
1544100,	-17.4926,	0.0000,	1543559,	1544100,	-17.4926,	0.0000,	1,	0,	-61.7977,	6200.0000,	7281.00,	0,	3716,	5.07,	
1544747,	-10.6800,	0.0000,	1544205,	1544747,	-10.6800,	0.0000,	1,	0,	-61.7977,	6200.0000,	6860.00,	0,	3716,	5.07,	
1545394,	-18.3178,	0.0000,	1544852,	1545394,	-18.3178,	0.0000,	1,	0,	-61.7977,	6200.0000,	7332.00,	0,	3716,	5.07,	
1546041,	-15.0167,	0.0000,	1545499,	1546041,	-18.3178,	0.0000,	0,	0,	-61.7977,	6200.0000,	7128.00,	0,	3716,	5.07,	
1546687,	-16.9747,	0.0000,	1546146,	1546687,	-17.0255,	0.0000,	0,	0,	-61.7977,	6200.0000,	7249.00,	0,	3716,	5.07,	
1547334,	-17.4764,	0.0000,	1546792,	1547334,	-17.0056,	0.0000,	0,	0,	-61.7977,	6200.0000,	7280.00,	0,	3716,	5.07,	
1547981,	-11.0360,	0.0000,	1547440,	1547981,	-11.0360,	0.0000,	1,	0,	-61.7977,	6200.0000,	6882.00,	0,	3716,	5.07,	
1548628,	-15.2271,	0.0000,	1548087,	1548627,	-11.0360,	0.0000,	0,	0,	-61.7977,	6200.0000,	7141.00,	0,	3716,	5.07,	
1549275,	-14.9844,	0.0000,	1548733,	1549275,	-12.6768,	0.0000,	0,	0,	-61.7977,	6200.0000,	7126.00,	0,	3716,	5.07,	
1549922,	-11.7642,	0.0000,	1549380,	1549922,	-13.5802,	0.0000,	0,	0,	-61.7977,	6200.0000,	6927.00,	0,	3716,	5.07,	
1550569,	-13.4956,	0.0000,	1550027,	1550569,	-12.8693,	0.0000,	0,	0,	-61.7977,	6200.0000,	7034.00,	0,	3716,	5.07,	
1551215,	-14.1753,	0.0000,	1550674,	1551215,	-13.1145,	0.0000,	0,	0,	-61.7977,	6200.0000,	7076.00,	0,	3716,	5.07,	
