tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,B_WIFI,BF_WIFI,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim
777920,778508,778509,95132,-63467,42,158599,158668.3,158668.3,158668.3,3777.816,0,3778.0,0.03001,-0.039766,0.972617,-3.70229,-0.183206,-1.221374,-1.765802,-2.341239,28.34176,True,0,0,0,0,0,False,True,False,True,True,118155,588,1,589,118155.77889447236
778596,779183,779184,95016,-63467,42,158483,158488.5,158488.5,158488.5,3773.536,0,3773.5,0.008525,-0.034395,0.977744,-3.229008,-1.076336,-1.160305,-0.499265,-2.014683,28.38882,True,0,0,0,0,0,False,True,False,True,True,118831,587,1,588,118830.95477386934
779272,779859,779859,94638,-63467,42,158105,158129.4,158437.2,158488.5,3773.536,0,3773.5,0.017803,-0.030244,0.971152,-3.549618,0.946565,-0.038168,-1.049692,-1.783755,28.38882,False,0,0,0,0,0,False,True,False,True,True,119507,587,0,587,119506.13065326633
779946,780534,780535,95902,-63467,42,159369,159466.0,159466.0,159466.0,3796.808,0,3797.0,0.035869,-0.029268,0.985313,-5.770992,-3.519084,-1.51145,-2.083941,-1.701401,28.38882,True,0,0,0,0,0,False,True,False,True,True,120181,588,1,589,120181.30653266331
780623,781209,781210,100259,-63467,42,163726,163768.6,163768.6,163768.6,3899.253,0,3899.0,0.023662,0.013457,0.994102,0.061069,1.312977,2.992366,-1.363398,0.775557,28.24765,True,0,0,0,0,0,False,True,False,True,True,120858,586,1,587,120856.4824120603
781296,781884,781885,96947,-63467,42,160414,160436.0,160436.0,160436.0,3819.906,0,3820.0,0.016826,-0.024629,0.973106,-2.19084,1.526718,2.320611,-0.990295,-1.44982,28.43588,True,0,0,0,0,0,False,True,False,True,True,121531,588,1,589,121531.65829145728
781971,782559,782560,96894,-63467,42,160361,160418.2,160418.2,160418.2,3819.481,0,3819.5,0.02708,-0.023652,0.971641,-2.519084,-0.572519,2.274809,-1.595971,-1.394455,28.34176,True,0,0,0,0,0,False,True,False,True,True,122206,588,1,589,122206.83417085427
782647,783235,783235,96920,-63467,42,160387,160398.4,160398.4,160398.4,3819.009,0,3819.0,0.012188,-0.028047,0.98165,-3.076336,-0.030534,-1.442748,-0.711017,-1.636557,28.38882,True,0,0,0,0,0,False,True,False,True,True,122882,588,0,588,122882.01005025125
783322,783910,783911,96677,-63467,42,160144,160203.0,160370.5,160398.4,3819.009,0,3819.0,0.027568,-0.033174,0.972861,-3.129771,0.381679,-0.526718,-1.622233,-1.952981,28.29471,False,0,0,0,0,0,False,True,False,True,True,123557,588,1,589,123557.18592964823
783998,784585,784586,96425,-63467,42,159892,159930.6,160303.6,160387.4,3818.749,0,3819.0,0.022441,-0.03708,0.978965,-2.755725,-1.045802,0.564886,-1.312252,-2.16914,28.20059,False,0,0,0,0,0,False,True,False,True,True,124233,587,1,588,124232.36180904522
784672,785260,785261,96501,-63467,42,159968,159977.5,160243.5,160354.6,3817.967,0,3818.0,0.011211,-0.030244,0.985313,-3.480916,0.030534,-0.717557,-0.651578,-1.758136,28.34176,False,0,0,0,0,0,False,True,False,True,True,124907,588,1,589,124907.5376884422
785349,785935,785936,96380,-63467,42,159847,159893.2,160171.3,160311.1,3816.931,0,3817.0,0.024639,-0.036592,0.981406,-3.435115,-0.10687,-0.89313,-1.437134,-2.135283,28.34176,False,0,0,0,0,0,False,True,False,True,True,125584,586,1,587,125582.7135678392
786023,786611,786611,96163,-63467,42,159630,159640.9,160063.1,160256.4,3815.628,0,3815.5,0.011943,-0.033418,0.978477,-3.152672,-0.908397,-0.091603,-0.698913,-1.956061,28.43588,False,0,0,0,0,0,False,True,False,True,True,126258,588,0,588,126257.88944723617
786698,787286,787287,96210,-63467,42,159677,159692.0,159962.2,160180.7,3813.827,0,3814.0,0.013896,-0.032441,0.969932,-3.557252,0.007634,-0.564886,-0.820376,-1.915659,28.29471,False,0,0,0,0,0,False,True,False,True,True,126933,588,1,589,126933.06532663316
787373,787961,787962,96097,-63467,42,159564,159592.5,159847.1,160095.2,3811.79,0,3812.0,0.019268,-0.035859,0.977012,-3.412214,-0.381679,-0.961832,-1.129017,-2.101985,28.34176,False,0,0,0,0,0,False,True,False,True,True,127608,588,1,589,127608.24120603014
788048,788636,788637,95941,-63467,42,159408,159433.6,159737.2,159998.0,3809.477,0,3809.5,0.018291,-0.033662,0.977256,-3.366412,-0.541985,-0.335878,-1.071625,-1.9728,28.29471,False,0,0,0,0,0,False,True,False,True,True,128283,588,1,589,128283.41708542714
788723,789311,789312,95913,-63467,42,159380,159419.6,159664.2,159895.9,3807.045,0,3807.0,0.022441,-0.032686,0.964316,-3.381679,-0.267176,-0.580153,-1.332369,-1.941295,28.34176,False,0,0,0,0,0,False,True,False,True,True,128958,588,1,589,128958.59296482411
789399,789987,789987,95842,-63467,42,159309,159316.0,159569.7,159805.2,3804.885,0,3805.0,0.009502,-0.034395,0.969688,-3.167939,-0.51145,-0.381679,-0.561068,-2.031408,28.34176,False,0,0,0,0,0,False,True,False,True,True,129634,588,0,588,129633.76884422111
790074,790662,790662,95725,-63467,42,159192,159221.1,159473.7,159713.0,3802.69,0,3802.5,0.019512,-0.038545,0.977256,-3.40458,-0.366412,-0.603053,-1.142914,-2.258684,28.24765,False,0,0,0,0,0,False,True,False,True,True,130309,588,0,588,130308.94472361809
790749,791337,791338,95665,-63467,42,159132,159156.5,159404.5,159619.3,3800.459,0,3800.5,0.017803,-0.032197,0.971885,-3.358779,-0.167939,-0.633588,-1.048834,-1.897436,28.43588,False,0,0,0,0,0,False,True,False,True,True,130984,588,1,589,130984.12060301506
791425,792012,792013,95582,-63467,42,159049,159058.8,159314.0,159535.2,3798.457,0,3798.5,0.011211,-0.04001,0.970176,-3.366412,-0.610687,-0.549618,-0.661492,-2.361518,28.29471,False,0,0,0,0,0,False,True,False,True,True,131660,587,1,588,131659.29648241206
792100,792687,792688,95495,-63467,42,158962,158973.0,159225.5,159448.6,3796.395,0,3796.0,0.011943,-0.038301,0.971397,-3.274809,-0.381679,-0.839695,-0.70387,-2.257916,28.38882,False,0,0,0,0,0,False,True,False,True,True,132335,587,1,588,132334.47236180905
792774,793362,793363,95432,-63467,42,158899,158933.5,159154.0,159361.3,3794.315,0,3794.0,0.021221,-0.035371,0.975303,-3.29771,-0.343511,-0.839695,-1.245627,-2.077019,28.24765,False,0,0,0,0,0,False,True,False,True,True,133009,588,1,589,133009.648241206
793450,794037,794038,95362,-63467,42,158829,158854.5,159073.3,159280.1,3792.384,0,3792.0,0.018291,-0.031709,0.978232,-3.328244,-0.534351,-0.59542,-1.070628,-1.856564,28.34176,False,0,0,0,0,0,False,True,False,True,True,133685,587,1,588,133684.824120603
794125,794712,794713,95265,-63467,42,158732,158761.8,158994.2,159199.2,3790.456,0,3790.5,0.019756,-0.038057,0.976279,-3.259542,-0.160305,-0.503817,-1.158389,-2.232329,28.34176,False,0,0,0,0,0,False,True,False,True,True,134360,587,1,588,134360.0
