90568,	0.78,	1.00,	89627,	90568,	0.40,	0.25,	0,	0,	41.10,	
91561,	0.07,	0.00,	90619,	91561,	0.55,	0.54,	0,	0,	41.10,	
92555,	-0.36,	0.00,	91613,	92555,	0.36,	0.33,	0,	0,	41.10,	
93547,	0.97,	1.00,	92606,	93547,	0.08,	0.20,	0,	0,	41.10,	
94540,	0.80,	1.00,	93598,	94540,	0.43,	0.51,	0,	0,	41.10,	
95534,	1.09,	1.00,	94592,	95534,	0.57,	0.70,	0,	0,	41.10,	
96526,	0.68,	0.50,	95585,	96526,	0.78,	0.82,	0,	0,	41.10,	
97519,	0.46,	0.50,	96578,	97519,	0.74,	0.69,	0,	0,	41.10,	
98512,	0.51,	0.50,	97570,	98512,	0.63,	0.62,	0,	0,	41.10,	
99505,	0.61,	0.50,	98564,	99505,	0.58,	0.57,	0,	0,	41.10,	
100498,	-0.07,	0.00,	99557,	100498,	0.59,	0.54,	0,	0,	41.10,	
101491,	-0.29,	0.00,	100550,	101491,	0.33,	0.33,	0,	0,	41.10,	
102483,	0.32,	0.00,	101542,	102483,	0.09,	0.20,	0,	0,	41.10,	
103477,	-0.07,	0.00,	102535,	103477,	0.18,	0.12,	0,	0,	41.10,	
104470,	0.41,	0.50,	103528,	104470,	0.08,	0.07,	0,	0,	41.10,	
105462,	0.07,	0.00,	104520,	105462,	0.21,	0.24,	0,	0,	41.10,	
106456,	0.58,	0.50,	105515,	106456,	0.16,	0.15,	0,	0,	41.10,	
107449,	0.02,	0.00,	106507,	107449,	0.32,	0.29,	0,	0,	41.10,	
108441,	0.73,	1.00,	107500,	108441,	0.21,	0.17,	0,	0,	41.10,	
109434,	0.56,	0.50,	108493,	109434,	0.41,	0.50,	0,	0,	41.10,	
110428,	-0.07,	0.00,	109486,	110428,	0.47,	0.50,	0,	0,	41.10,	
111420,	0.44,	0.50,	110479,	111420,	0.26,	0.30,	0,	0,	41.10,	
112413,	0.15,	0.00,	111472,	112413,	0.33,	0.38,	0,	0,	41.10,	
113406,	-0.15,	0.00,	112465,	113406,	0.26,	0.23,	0,	0,	41.10,	
114400,	0.44,	0.50,	113458,	114399,	0.10,	0.14,	0,	0,	41.10,	
115392,	-1.02,	-1.00,	114450,	115392,	0.23,	0.28,	0,	0,	41.10,	
116385,	2.38,	2.00,	115444,	116385,	-0.26,	-0.22,	0,	0,	41.10,	
117379,	1.78,	2.00,	116438,	117378,	0.78,	0.65,	0,	0,	41.10,	
118371,	0.27,	0.00,	117430,	118371,	1.17,	1.18,	0,	0,	41.10,	
119364,	0.10,	0.00,	118422,	119364,	0.82,	0.72,	0,	0,	41.10,	
120357,	-0.22,	0.00,	119415,	120357,	0.53,	0.44,	0,	0,	41.10,	
121350,	0.10,	0.00,	120409,	121350,	0.24,	0.27,	0,	0,	41.10,	
122343,	-0.41,	0.00,	121402,	122343,	0.18,	0.16,	0,	0,	41.10,	
123336,	-0.46,	0.00,	122395,	123336,	-0.05,	0.10,	0,	0,	41.10,	
124329,	0.12,	0.00,	123387,	124328,	-0.21,	0.06,	0,	0,	41.10,	
125322,	-0.12,	0.00,	124381,	125322,	-0.08,	0.04,	0,	0,	41.10,	
126315,	0.46,	0.50,	125373,	126315,	-0.10,	0.02,	0,	0,	41.10,	
127308,	0.75,	1.00,	126366,	127308,	0.12,	0.21,	0,	0,	41.10,	
128301,	-0.15,	0.00,	127358,	128301,	0.37,	0.52,	0,	0,	41.10,	
129294,	-0.41,	0.00,	128353,	129294,	0.17,	0.32,	0,	0,	41.10,	
130287,	-0.63,	0.00,	129346,	130287,	-0.06,	0.19,	0,	0,	41.10,	
131280,	-0.41,	0.00,	130338,	131279,	-0.28,	0.12,	0,	0,	41.10,	
132273,	0.12,	0.00,	131333,	132273,	-0.33,	0.07,	0,	0,	41.10,	
133266,	0.58,	0.50,	132325,	133266,	-0.16,	0.04,	0,	0,	41.10,	
134259,	0.51,	0.50,	133318,	134258,	0.13,	0.22,	0,	0,	41.10,	
135251,	0.88,	1.00,	134309,	135251,	0.28,	0.33,	0,	0,	41.10,	
136245,	-0.24,	0.00,	135304,	136245,	0.51,	0.59,	0,	0,	41.10,	
137238,	-0.17,	0.00,	136296,	137237,	0.22,	0.36,	0,	0,	41.10,	
138230,	1.85,	2.00,	137289,	138230,	0.07,	0.22,	0,	0,	41.10,	
139224,	0.95,	1.00,	138281,	139224,	0.76,	0.92,	0,	0,	41.10,	
140217,	1.65,	1.50,	139275,	140216,	0.84,	0.95,	0,	0,	41.10,	
141209,	0.02,	0.00,	140268,	141209,	1.16,	1.16,	0,	0,	41.10,	
142202,	0.61,	0.50,	141260,	142202,	0.71,	0.71,	0,	0,	41.10,	
143196,	0.54,	0.50,	142254,	143196,	0.67,	0.63,	0,	0,	41.10,	
144188,	0.15,	0.00,	143247,	144188,	0.62,	0.58,	0,	0,	41.10,	
145181,	0.15,	0.00,	144240,	145181,	0.43,	0.35,	0,	0,	41.10,	
146174,	0.12,	0.00,	145233,	146174,	0.32,	0.21,	0,	0,	41.10,	
147168,	0.46,	0.50,	146226,	147168,	0.24,	0.13,	0,	0,	41.10,	
148161,	0.12,	0.00,	147219,	148160,	0.33,	0.27,	0,	0,	41.10,	
149153,	0.54,	0.50,	148212,	149153,	0.25,	0.17,	0,	0,	41.10,	
150147,	0.51,	0.50,	149206,	150147,	0.36,	0.30,	0,	0,	41.10,	
151140,	0.22,	0.00,	150198,	151140,	0.42,	0.38,	0,	0,	41.10,	
152132,	0.27,	0.00,	151191,	152132,	0.34,	0.23,	0,	0,	41.10,	
153125,	0.44,	0.50,	152184,	153125,	0.31,	0.14,	0,	0,	41.10,	
154119,	0.24,	0.00,	153178,	154119,	0.36,	0.28,	0,	0,	41.10,	
155111,	0.71,	1.00,	154170,	155111,	0.32,	0.17,	0,	0,	41.10,	
156104,	0.32,	0.00,	155163,	156104,	0.47,	0.50,	0,	0,	41.10,	
157097,	-0.12,	0.00,	156156,	157097,	0.41,	0.30,	0,	0,	41.10,	
158090,	0.34,	0.00,	157149,	158090,	0.20,	0.18,	0,	0,	41.10,	
159083,	0.19,	0.00,	158142,	159083,	0.26,	0.11,	0,	0,	41.10,	
160076,	1.14,	1.00,	159135,	160076,	0.23,	0.07,	0,	0,	41.10,	
161070,	1.09,	1.00,	160128,	161070,	0.59,	0.43,	0,	0,	41.10,	
