19030,	2.72,	3.00,	18168,	19030,	0.00,	0.00,	0,	0,	40.40,	
20023,	3.66,	3.50,	19081,	20023,	1.07,	1.17,	0,	0,	40.40,	
21016,	3.54,	3.50,	20073,	21016,	2.08,	2.08,	0,	0,	40.40,	
22009,	4.23,	4.00,	21067,	22009,	2.65,	2.64,	0,	0,	40.40,	
23003,	3.64,	3.50,	22061,	23003,	3.27,	3.17,	0,	0,	40.40,	
23996,	3.89,	4.00,	23054,	23996,	3.42,	3.30,	0,	0,	40.40,	
24989,	3.89,	4.00,	24047,	24989,	3.60,	3.57,	0,	0,	40.40,	
25982,	3.76,	4.00,	25040,	25982,	3.71,	3.74,	0,	0,	40.40,	
26976,	3.94,	4.00,	26034,	26976,	3.73,	3.84,	0,	0,	40.40,	
27969,	4.36,	4.00,	27027,	27969,	3.81,	3.90,	0,	0,	40.40,	
28962,	4.28,	4.00,	28020,	28961,	4.02,	3.94,	0,	0,	40.40,	
29956,	4.75,	5.00,	29014,	29955,	4.13,	3.96,	0,	0,	40.40,	
30948,	4.43,	4.50,	30006,	30948,	4.37,	4.37,	0,	0,	40.40,	
31941,	4.63,	4.50,	31000,	31941,	4.39,	4.42,	0,	0,	40.40,	
32934,	4.85,	5.00,	31993,	32934,	4.49,	4.45,	0,	0,	40.40,	
33928,	4.36,	4.00,	32987,	33928,	4.63,	4.67,	0,	0,	40.40,	
34921,	4.68,	4.50,	33983,	34921,	4.52,	4.41,	0,	0,	40.40,	
35914,	5.05,	5.00,	34973,	35914,	4.58,	4.44,	0,	0,	40.40,	
36908,	5.15,	5.00,	35966,	36908,	4.77,	4.66,	0,	0,	40.40,	
37901,	5.74,	6.00,	36960,	37901,	4.92,	4.79,	0,	0,	40.40,	
38894,	5.22,	5.00,	37952,	38894,	5.24,	5.27,	0,	0,	40.40,	
39887,	4.41,	4.50,	38945,	39887,	5.23,	5.16,	0,	0,	40.40,	
40880,	5.52,	5.50,	39939,	40880,	4.91,	4.90,	0,	0,	40.40,	
41873,	6.46,	6.50,	40932,	41873,	5.15,	5.14,	0,	0,	40.40,	
42866,	8.14,	8.00,	41924,	42866,	5.66,	5.67,	0,	0,	40.40,	
43859,	332.75,	333.00,	42917,	43859,	332.75,	333.00,	1,	1,	40.40,	
44853,	515.54,	515.50,	43917,	44852,	515.54,	515.50,	1,	1,	40.40,	
45846,	513.29,	513.00,	44909,	45845,	515.54,	515.50,	0,	0,	40.40,	
46838,	512.28,	512.00,	45902,	46838,	514.66,	514.52,	0,	0,	40.40,	
47832,	510.99,	511.00,	46896,	47832,	513.73,	513.53,	0,	0,	40.40,	
48825,	509.83,	510.00,	47888,	48825,	512.66,	512.54,	0,	0,	40.40,	
49818,	509.50,	509.50,	48881,	49818,	511.55,	511.55,	0,	0,	40.40,	
50811,	509.73,	510.00,	49873,	50811,	510.75,	510.75,	0,	0,	40.40,	
51804,	509.41,	509.50,	50868,	51804,	510.35,	510.45,	0,	0,	40.40,	
52797,	508.56,	508.50,	51861,	52797,	509.98,	510.08,	0,	0,	40.40,	
53790,	508.69,	508.50,	52854,	53790,	509.43,	509.46,	0,	0,	40.40,	
54784,	508.32,	508.00,	53849,	54784,	509.14,	509.09,	0,	0,	40.40,	
55777,	507.48,	507.50,	54841,	55777,	508.82,	508.66,	0,	0,	40.40,	
56770,	508.37,	508.00,	55834,	56770,	508.29,	508.21,	0,	0,	40.40,	
57763,	507.38,	507.00,	56827,	57763,	508.32,	508.13,	0,	0,	40.40,	
58757,	507.48,	507.50,	57821,	58757,	507.95,	507.68,	0,	0,	40.40,	
59750,	507.13,	507.00,	58814,	59750,	507.76,	507.61,	0,	0,	40.40,	
60743,	506.96,	507.00,	59807,	60743,	507.52,	507.37,	0,	0,	40.40,	
61736,	507.30,	507.00,	60801,	61736,	507.30,	507.23,	0,	0,	40.40,	
62730,	507.30,	507.00,	61794,	62730,	507.30,	507.14,	0,	0,	40.40,	
63724,	508.69,	508.50,	62788,	63723,	507.30,	507.08,	0,	0,	40.40,	
64717,	506.93,	507.00,	63781,	64717,	507.84,	507.64,	0,	0,	40.40,	
65711,	506.66,	506.50,	64775,	65711,	507.49,	507.39,	0,	0,	40.40,	
66704,	506.16,	506.00,	65768,	66704,	507.16,	507.04,	0,	0,	40.40,	
67697,	506.61,	506.50,	66761,	67697,	506.77,	506.63,	0,	0,	40.40,	
68690,	505.72,	506.00,	67755,	68690,	506.71,	506.58,	0,	0,	40.40,	
69684,	505.62,	505.50,	68748,	69684,	506.32,	506.35,	0,	0,	40.40,	
