Time [s];Time [m];Time [h];Measured voltage [V]
30;;;3.360
;15;;3.375
;30;;3.392
;50;;3.412
;10;1;3.435
;30;1;3.450
;4;2;3.480
;40;2;3.518
;10;3;3.549
;33;3;3.567
;0;4;3.590
;30;4;3.615
;0;5;3.635
;30;5;3.659
;0;6;3.688
;30;6;3.727
;;7;3.787
;30;7;3.854
;;8;3.896
