tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
1696500.0,1697015.0,1697015.0,47058.0,2653.552,2653.552,2653.5,-29.51,-4.77,23.35,-66371.0,0.0,3000
1697293.0,1697808.0,1697808.0,46775.0,2646.9314,2646.9314,2647.0,-30.16,-4.9,23.17,-66371.0,0.0,3000
1698086.0,1698601.0,1698601.0,46533.0,2641.27002,2641.27002,2641.0,-29.59,-5.27,23.17,-66371.0,0.0,3000
1698879.0,1699395.0,1699395.0,46478.0,2639.9834,2641.27002,2641.0,-30.61,-4.49,23.26,-66371.0,0.0,3000
1699672.0,1700188.0,1700188.0,46492.0,2640.31104,2640.76636,2641.0,-28.86,-4.92,23.17,-66371.0,0.0,3000
1700465.0,1700981.0,1700981.0,46472.0,2639.84302,2640.58813,2640.5,-29.15,-4.67,23.26,-66371.0,0.0,3000
1701258.0,1701774.0,1701774.0,47236.0,2657.71606,2657.71606,2658.0,-28.64,-4.87,23.26,-66371.0,0.0,3000
1702052.0,1702567.0,1702567.0,48293.0,2682.44336,2682.44336,2682.5,-27.14,-5.09,23.31,-66371.0,0.0,3000
1702845.0,1703360.0,1703360.0,49454.0,2709.60376,2709.60376,2709.5,-25.79,-4.89,23.21,-66371.0,0.0,3000
1703638.0,1704153.0,1704153.0,50627.0,2737.04492,2737.04492,2737.0,-24.25,-4.4,23.4,-66371.0,0.0,3000
1704431.0,1704946.0,1704946.0,51569.0,2759.08203,2759.08203,2759.0,-24.27,-5.06,23.21,-66371.0,0.0,3000
1705224.0,1705739.0,1705739.0,52340.0,2777.11865,2777.11865,2777.0,-22.74,-4.76,23.12,-66371.0,0.0,3000
1706017.0,1706532.0,1706532.0,53217.0,2797.63525,2797.63525,2797.5,-22.02,-4.93,23.21,-66371.0,0.0,3000
1706810.0,1707325.0,1707325.0,53869.0,2812.88818,2812.88818,2813.0,-20.75,-4.69,23.26,-66371.0,0.0,3000
1707603.0,1708118.0,1708118.0,54470.0,2826.94775,2826.94775,2827.0,-20.0,-4.89,23.4,-66371.0,0.0,3000
1708396.0,1708911.0,1708911.0,55051.0,2840.53979,2840.53979,2840.5,-18.97,-4.93,23.26,-66371.0,0.0,3000
1709189.0,1709704.0,1709704.0,55596.0,2853.28955,2853.28955,2853.0,-18.56,-4.04,23.31,-66371.0,0.0,3000
1709982.0,1710497.0,1710497.0,56096.0,2864.98633,2864.98633,2865.0,-18.15,-4.59,23.26,-66371.0,0.0,3000
1710774.0,1711290.0,1711290.0,56616.0,2877.15137,2877.15137,2877.0,-16.92,-4.0,23.26,-66371.0,0.0,3000
1711567.0,1712082.0,1712082.0,57172.0,2890.1582,2890.1582,2890.0,-16.47,-4.3,23.26,-66371.0,0.0,3000
1712360.0,1712875.0,1712875.0,57618.0,2900.59204,2900.59204,2900.5,-15.72,-4.5,23.31,-66371.0,0.0,3000
1713153.0,1713668.0,1713668.0,58061.0,2910.95557,2910.95557,2911.0,-14.62,-4.23,23.26,-66371.0,0.0,3000
1713946.0,1714461.0,1714461.0,58374.0,2918.27783,2918.27783,2918.0,-12.9,-4.59,23.35,-66371.0,0.0,3000
1714739.0,1715254.0,1715254.0,58815.0,2928.59448,2928.59448,2928.5,-13.12,-4.1,23.21,-66371.0,0.0,3000
1715532.0,1716047.0,1716047.0,59176.0,2937.03979,2937.03979,2937.0,-12.32,-3.56,23.26,-66371.0,0.0,3000
1716325.0,1716840.0,1716840.0,59409.0,2942.49048,2942.49048,2942.5,-11.59,-3.98,23.21,-66371.0,0.0,3000
1717118.0,1717633.0,1717633.0,59800.0,2951.6377,2951.6377,2951.5,-8.54,-3.94,23.26,-66371.0,0.0,3000
