tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
198574.0,199097.0,199097.0,-44882.0,503.93866,503.43381,503.5,-4.93,-2.72,26.65,-66249.0,0.0,500
199368.0,199890.0,199890.0,-44922.0,502.99527,503.63147,503.5,-4.85,-2.98,26.79,-66249.0,0.0,500
200162.0,200684.0,200684.0,-44927.0,502.87735,503.38239,503.0,-4.77,-3.08,26.74,-66249.0,0.0,500
200955.0,201478.0,201478.0,-44917.0,503.11319,503.18469,503.0,-4.45,-2.74,26.69,-66249.0,0.0,500
201749.0,202272.0,202272.0,-44940.0,502.57074,503.15671,503.0,-4.76,-2.73,26.65,-66249.0,0.0,500
202543.0,203066.0,203066.0,-44913.0,503.20752,502.92731,503.0,-4.69,-3.26,26.6,-66249.0,0.0,500
203337.0,203860.0,203860.0,-44903.0,503.44339,503.03702,503.0,-3.53,-2.63,26.69,-66249.0,0.0,500
204131.0,204653.0,204653.0,-44886.0,503.84433,503.19611,503.0,-2.34,-2.91,26.74,-66249.0,0.0,500
204925.0,205447.0,205447.0,-44909.0,503.30188,503.44989,503.5,-0.39,-2.66,26.74,-66249.0,0.0,500
205718.0,206241.0,206241.0,-44916.0,503.13678,503.39197,503.0,0.6,-2.44,26.65,-66249.0,0.0,500
206511.0,207035.0,207035.0,-44947.0,502.40564,503.29208,503.0,2.51,-2.19,26.74,-66249.0,0.0,500
207305.0,207828.0,207828.0,-44994.0,501.29715,502.94504,503.0,4.54,-1.87,26.69,-66249.0,0.0,500
208098.0,208622.0,208622.0,-45121.0,498.30188,502.2999,502.0,7.29,-2.16,26.74,-66249.0,0.0,500
208892.0,209416.0,209416.0,-45252.0,495.21225,500.73465,501.0,9.06,-1.37,26.69,-66249.0,0.0,500
209686.0,210210.0,210210.0,-45348.0,492.94809,498.5726,498.5,9.99,-2.01,26.65,-66249.0,0.0,500
210480.0,211003.0,211003.0,-45528.0,488.70282,496.37061,496.0,12.57,-1.65,26.74,-66249.0,0.0,500
211274.0,211797.0,211797.0,-45718.0,484.22168,493.36865,493.0,14.21,-1.28,26.65,-66249.0,0.0,500
212068.0,212591.0,212591.0,-45856.0,480.96695,489.7876,490.0,15.46,-1.0,26.65,-66249.0,0.0,500
212862.0,213385.0,213385.0,-46085.0,475.56601,475.56601,475.5,17.41,-1.6,26.74,-66249.0,0.0,500
213656.0,214179.0,214179.0,-46359.0,469.10376,469.10376,469.0,19.72,-0.47,26.74,-66249.0,0.0,500
214450.0,214972.0,214972.0,-46700.0,461.06131,461.06131,461.0,22.31,-0.06,26.65,-66249.0,0.0,500
215244.0,215766.0,215766.0,-47178.0,449.78772,449.78772,450.0,24.15,0.25,26.69,-66249.0,0.0,500
216036.0,216560.0,216560.0,-47401.0,444.52829,444.52829,444.5,25.03,0.22,26.74,-66249.0,0.0,500
216830.0,217354.0,217354.0,-47557.0,440.84903,444.52829,444.5,25.52,-0.39,26.74,-66249.0,0.0,500
217625.0,218148.0,218148.0,-47632.0,439.08017,443.08786,443.0,26.3,0.27,26.79,-66249.0,0.0,500
218418.0,218942.0,218942.0,-47781.0,435.56601,441.51883,441.5,27.56,0.16,26.6,-66249.0,0.0,500
219212.0,219735.0,219735.0,-47936.0,431.91037,439.18829,439.0,27.97,0.22,26.69,-66249.0,0.0,500
220006.0,220529.0,220529.0,-48031.0,429.6698,436.33896,436.0,28.24,0.87,26.65,-66249.0,0.0,500
220799.0,221323.0,221323.0,-48157.0,426.69809,433.728,434.0,28.41,0.79,26.69,-66249.0,0.0,500
221593.0,222117.0,222117.0,-48296.0,423.4198,430.9758,431.0,29.46,0.02,26.65,-66249.0,0.0,500
222387.0,222911.0,222911.0,-48428.0,420.30658,428.01764,428.0,30.19,0.25,26.69,-66249.0,0.0,500
223181.0,223704.0,223704.0,-48528.0,417.94809,424.99875,425.0,30.09,0.03,26.65,-66249.0,0.0,500
223975.0,224498.0,224498.0,-48480.0,419.08017,422.23843,422.0,29.61,0.54,26.74,-66249.0,0.0,500
224768.0,225292.0,225292.0,-48445.0,419.90564,421.00198,421.0,29.42,0.78,26.69,-66249.0,0.0,500
225562.0,226085.0,226085.0,-48535.0,417.78299,420.57278,420.5,30.46,0.51,26.79,-66249.0,0.0,500
226355.0,226879.0,226879.0,-48684.0,414.26886,419.48056,419.5,30.52,1.45,26.69,-66249.0,0.0,500
