tBeforeMeasure,tAfterMeasure,tAfterAlgo,correctedValueFiltered,realValue_WU,thetadeg,phideg,myTmp,tareButtonFlank,realWeight
2350946.0,2351537.0,2351537.0,702.0,-37843.0,35.26,135.0,36.53,0.0,700
2351640.0,2352231.0,2352231.0,702.0,-37829.0,35.26,135.0,36.53,0.0,700
2352335.0,2352926.0,2352926.0,702.0,-37823.0,35.26,135.0,36.53,0.0,700
2353029.0,2353620.0,2353620.0,702.0,-37843.0,35.26,135.0,36.53,0.0,700
2353724.0,2354315.0,2354315.0,702.0,-37824.0,35.26,135.0,36.53,0.0,700
2354418.0,2355009.0,2355009.0,702.0,-37826.0,35.26,135.0,36.53,0.0,700
2355113.0,2355703.0,2355703.0,702.0,-37850.0,35.26,135.0,36.53,0.0,700
2355807.0,2356398.0,2356398.0,702.0,-37828.0,35.26,135.0,36.53,0.0,700
2356502.0,2357092.0,2357092.0,702.0,-37839.0,35.26,135.0,36.53,0.0,700
2357196.0,2357787.0,2357787.0,702.0,-37852.0,35.26,135.0,36.53,0.0,700
2357891.0,2358482.0,2358482.0,702.0,-37813.0,35.26,135.0,36.53,0.0,700
2358585.0,2359176.0,2359176.0,702.0,-37831.0,35.26,135.0,36.53,0.0,700
2359280.0,2359871.0,2359871.0,702.0,-37854.0,35.26,135.0,36.53,0.0,700
2359974.0,2360565.0,2360565.0,702.0,-37846.0,35.26,135.0,36.53,0.0,700
2360669.0,2361260.0,2361260.0,702.0,-37853.0,35.26,135.0,36.53,0.0,700
2361363.0,2361954.0,2361954.0,702.0,-37815.0,35.26,135.0,36.53,0.0,700
2362058.0,2362649.0,2362649.0,702.0,-37827.0,35.26,135.0,36.53,0.0,700
2362752.0,2363343.0,2363343.0,702.0,-37845.0,35.26,135.0,36.53,0.0,700
2363447.0,2364038.0,2364038.0,702.0,-37836.0,35.26,135.0,36.53,0.0,700
2364141.0,2364732.0,2364732.0,702.0,-37865.0,35.26,135.0,36.53,0.0,700
2364836.0,2365426.0,2365426.0,702.0,-37824.0,35.26,135.0,36.53,0.0,700
2365530.0,2366121.0,2366121.0,702.0,-37852.0,35.26,135.0,36.53,0.0,700
2366225.0,2366815.0,2366815.0,702.0,-37832.0,35.26,135.0,36.53,0.0,700
2366919.0,2367510.0,2367510.0,702.0,-37830.0,35.26,135.0,36.53,0.0,700
2367613.0,2368204.0,2368204.0,702.0,-37857.0,35.26,135.0,36.53,0.0,700
2368308.0,2368899.0,2368899.0,702.0,-37875.0,35.26,135.0,36.53,0.0,700
2369002.0,2369593.0,2369593.0,701.5,-37822.0,35.26,135.0,36.53,0.0,700
2369697.0,2370288.0,2370288.0,702.0,-37833.0,35.26,135.0,36.53,0.0,700
2370391.0,2370982.0,2370982.0,702.0,-37847.0,35.26,135.0,36.53,0.0,700
2371086.0,2371677.0,2371677.0,702.0,-37833.0,35.26,135.0,36.53,0.0,700
2371781.0,2372371.0,2372371.0,702.0,-37858.0,35.26,135.0,36.53,0.0,700
2372475.0,2373066.0,2373066.0,702.0,-37845.0,35.26,135.0,36.53,0.0,700
2373170.0,2373760.0,2373760.0,702.0,-37857.0,35.26,135.0,36.53,0.0,700
2373864.0,2374455.0,2374455.0,701.5,-37852.0,35.26,135.0,36.53,0.0,700
2374559.0,2375149.0,2375149.0,701.5,-37847.0,35.26,135.0,36.53,0.0,700
2375253.0,2375844.0,2375844.0,701.5,-37830.0,35.26,135.0,36.53,0.0,700
2375948.0,2376538.0,2376538.0,702.0,-37859.0,35.26,135.0,36.53,0.0,700
2376642.0,2377233.0,2377233.0,701.5,-37836.0,35.26,135.0,36.53,0.0,700
2377337.0,2377928.0,2377928.0,702.0,-37836.0,35.26,135.0,36.53,0.0,700
2378031.0,2378622.0,2378622.0,702.0,-37835.0,35.26,135.0,36.53,0.0,700
2378726.0,2379316.0,2379316.0,702.0,-37861.0,35.26,135.0,36.53,0.0,700
2379420.0,2380011.0,2380011.0,702.0,-37823.0,35.26,135.0,36.53,0.0,700
2380114.0,2380705.0,2380705.0,702.0,-37858.0,35.26,135.0,36.53,0.0,700
2380809.0,2381400.0,2381400.0,702.0,-37840.0,35.26,135.0,36.53,0.0,700
2381503.0,2382094.0,2382094.0,702.0,-37859.0,35.26,135.0,36.53,0.0,700
2382198.0,2382788.0,2382788.0,701.5,-37854.0,35.26,135.0,36.53,0.0,700
2382892.0,2383483.0,2383483.0,701.5,-37836.0,35.26,135.0,36.53,0.0,700
2383586.0,2384177.0,2384177.0,702.0,-37866.0,35.26,135.0,36.53,0.0,700
2384281.0,2384871.0,2384871.0,701.5,-37869.0,35.26,135.0,36.53,0.0,700
2384975.0,2385566.0,2385566.0,701.5,-37842.0,35.26,135.0,36.53,0.0,700
