tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,B_WIFI,BF_WIFI,B_BLE,BF_BLE,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim
1024610,1025194,1025195,190572,-65471,42,256043,256080.0,256060.3,256064.6,6096.776,0,6097.0,0.017559,0.001494,0.989707,-2.083969,-0.40458,-0.351145,-1.016386,0.086498,24.15353,False,1171.9,0.944388,1.032514,3.18742,0,False,True,False,False,True,False,True,107912,584,1,585,107912.1387283237
1025284,1025868,1025869,190581,-65471,42,256052,256087.3,256062.3,256062.9,6096.735,0,6097.0,0.01707,-0.000703,0.985557,-2.396947,-0.145038,-0.419847,-0.992289,-0.040876,24.20059,False,1173.6,0.945758,1.034011,3.192044,0,False,True,False,False,True,False,True,108586,584,1,585,108586.58959537573
1025959,1026543,1026544,190529,-65471,42,256000,256017.7,256058.4,256062.6,6096.729,0,6097.0,0.011943,-0.003389,0.974326,-2.396947,-0.183206,-0.48855,-0.702295,-0.199271,24.20059,False,1171.6,0.944147,1.032249,3.186604,0,False,True,False,False,True,False,True,109261,584,1,585,109261.04046242774
1026634,1027217,1027218,190557,-65471,42,256028,256040.6,256056.0,256061.0,6096.69,0,6096.5,0.010234,0.002715,0.987266,-2.458015,-0.389313,-0.694657,-0.593925,0.157555,24.24765,False,1172.1,0.944549,1.03269,3.187964,0,False,True,False,False,True,False,True,109936,583,1,584,109935.49132947977
1027308,1027891,1027892,190536,-65471,42,256007,256050.6,256055.0,256059.0,6096.644,0,6096.5,0.019023,0.005645,0.988486,-2.305344,0.229008,-0.648855,-1.102502,0.327171,24.20059,False,1171.2,0.943824,1.031897,3.185516,0,False,True,False,False,True,False,True,110610,583,1,584,110609.94219653179
1027982,1028566,1028567,190545,-65471,42,256016,256048.3,256053.4,256057.5,6096.606,0,6096.5,0.016338,-0.003389,0.985801,-2.381679,-0.709924,-0.801527,-0.949481,-0.196952,24.10647,False,1171.6,0.944147,1.032249,3.186604,0,False,True,False,False,True,False,True,111284,584,1,585,111284.39306358382
1028657,1029240,1029241,190567,-65471,42,256038,256063.8,256055.5,256055.9,6096.568,0,6096.5,0.014629,0.011016,0.987754,-2.374046,0.282443,-0.572519,-0.848449,0.638946,24.10647,False,1172.8,0.945114,1.033307,3.189868,0,False,True,False,False,True,False,True,111959,583,1,584,111958.84393063583
1029331,1029915,1029915,190537,-65471,42,256008,256049.1,256051.0,256055.7,6096.564,0,6096.5,0.018291,0.001982,0.978477,-2.40458,-0.503817,-0.541985,-1.070921,0.116083,24.10647,False,1172.0,0.944469,1.032602,3.187692,0,False,True,False,False,True,False,True,112633,584,0,584,112633.29479768786
1030005,1030589,1030590,190541,-65471,42,256012,256027.1,256042.5,256053.9,6096.521,0,6096.5,0.011211,0.004424,0.989951,-2.541985,-0.114504,-0.419847,-0.648824,0.256037,24.10647,False,1171.7,0.944227,1.032337,3.186876,0,False,True,False,False,True,False,True,113307,584,1,585,113307.74566473988
1030680,1031264,1031264,190535,-65471,42,256006,256073.5,256050.5,256049.4,6096.415,0,6096.5,0.023662,0.004668,0.987998,-2.427481,0.0,-0.59542,-1.371927,0.270701,24.20059,False,1173.3,0.945517,1.033747,3.191228,0,False,True,False,False,True,False,True,113982,584,0,584,113982.19653179191
1031354,1031938,1031939,190560,-65471,42,256031,256046.6,256051.3,256049.8,6096.424,0,6096.5,0.011455,-0.001436,0.993613,-2.419847,-0.396947,-0.748092,-0.660515,-0.082779,24.10647,False,1172.7,0.945033,1.033218,3.189595,0,False,True,False,False,True,False,True,114656,584,1,585,114656.64739884392
1032029,1032613,1032613,190532,-65471,42,256003,256041.2,256050.0,256050.4,6096.438,0,6096.5,0.017803,-0.002168,0.988242,-2.442748,0.244275,-0.664122,-1.032041,-0.125693,24.15353,False,1172.2,0.94463,1.032778,3.188236,0,False,True,False,False,True,False,True,115331,584,0,584,115331.09826589595
1032703,1033287,1033288,190561,-65471,42,256032,256047.8,256049.9,256050.2,6096.434,0,6096.5,0.011455,-0.000947,0.988486,-2.618321,-0.664122,-0.541985,-0.663941,-0.054906,24.15353,False,1173.9,0.946,1.034276,3.19286,0,False,True,False,False,True,False,True,116005,584,1,585,116005.54913294797
1033378,1033961,1033962,190556,-65471,42,256027,256050.2,256047.9,256050.1,6096.431,0,6096.5,0.013896,0.000762,0.989951,-2.160305,0.015267,-0.633588,-0.804237,0.044086,24.15353,False,1172.8,0.945114,1.033307,3.189868,0,False,True,False,False,True,False,True,116680,583,1,584,116680.0
