155882,	-2.0260,	-2.0000,	155053,	155882,	-1.8749,	-1.0000,	0,	0,	41.9541,	6056.0000,	5971.0000,	
156810,	2.9556,	3.0000,	155981,	156810,	-1.9341,	-1.0000,	0,	0,	41.9541,	6056.0000,	6180.0000,	
157739,	-1.5016,	-1.0000,	156907,	157739,	-0.0198,	0.0000,	0,	0,	41.9541,	6056.0000,	5993.0000,	
158666,	-2.1929,	-2.0000,	157838,	158666,	-0.5999,	0.0000,	0,	0,	41.9541,	6056.0000,	5964.0000,	
159595,	-1.4540,	-1.0000,	158766,	159594,	-1.2236,	-1.0000,	0,	0,	41.9541,	6056.0000,	5995.0000,	
160523,	-2.4312,	-2.0000,	159693,	160523,	-1.3138,	-1.0000,	0,	0,	41.9541,	6056.0000,	5954.0000,	
161451,	-2.0975,	-2.0000,	160622,	161451,	-1.7513,	-1.0000,	0,	0,	41.9541,	6056.0000,	5968.0000,	
162379,	-0.7627,	0.0000,	161550,	162379,	-1.8868,	-1.0000,	0,	0,	41.9541,	6056.0000,	6024.0000,	
163307,	0.0238,	0.0000,	162478,	163307,	-1.4467,	-1.0000,	0,	0,	41.9541,	6056.0000,	6057.0000,	
164236,	-0.1430,	0.0000,	163404,	164236,	-0.8710,	0.0000,	0,	0,	41.9541,	6056.0000,	6050.0000,	
165164,	-0.2384,	0.0000,	164334,	165164,	-0.5860,	0.0000,	0,	0,	41.9541,	6056.0000,	6046.0000,	
166092,	0.2384,	0.0000,	165262,	166092,	-0.4499,	0.0000,	0,	0,	41.9541,	6056.0000,	6066.0000,	
167020,	-0.6197,	0.0000,	166190,	167020,	-0.1804,	0.0000,	0,	0,	41.9541,	6056.0000,	6030.0000,	
167949,	-0.1668,	0.0000,	167118,	167949,	-0.3524,	0.0000,	0,	0,	41.9541,	6056.0000,	6049.0000,	
168877,	-1.3586,	-1.0000,	168047,	168877,	-0.2798,	0.0000,	0,	0,	41.9541,	6056.0000,	5999.0000,	
169805,	-1.0726,	-1.0000,	168976,	169804,	-0.7021,	0.0000,	0,	0,	41.9541,	6056.0000,	6011.0000,	
170733,	-1.2156,	-1.0000,	169905,	170733,	-0.8472,	0.0000,	0,	0,	41.9541,	6056.0000,	6005.0000,	
171661,	-3.9090,	-3.0000,	170832,	171661,	-0.9914,	0.0000,	0,	0,	41.9541,	6056.0000,	5892.0000,	
172590,	-0.0238,	0.0000,	171761,	172590,	-2.1337,	-2.0000,	0,	0,	41.9541,	6056.0000,	6055.0000,	
173517,	-1.1441,	-1.0000,	172690,	173517,	-1.3077,	-1.0000,	0,	0,	41.9541,	6056.0000,	6008.0000,	
174446,	1.0011,	1.0000,	173617,	174446,	-1.2436,	-1.0000,	0,	0,	41.9541,	6056.0000,	6098.0000,	
175374,	0.1192,	0.0000,	174543,	175374,	-0.3648,	0.0000,	0,	0,	41.9541,	6056.0000,	6061.0000,	
176303,	-0.7866,	0.0000,	175472,	176303,	-0.1753,	0.0000,	0,	0,	41.9541,	6056.0000,	6023.0000,	
177230,	-1.3110,	-1.0000,	176401,	177230,	-0.4146,	0.0000,	0,	0,	41.9541,	6056.0000,	6001.0000,	
178159,	-2.0975,	-2.0000,	177331,	178159,	-0.7655,	0.0000,	0,	0,	41.9541,	6056.0000,	5968.0000,	
179087,	-1.7638,	-1.0000,	178258,	179087,	-1.2870,	-1.0000,	0,	0,	41.9541,	6056.0000,	5982.0000,	
180016,	-1.5731,	-1.0000,	179186,	180016,	-1.4737,	-1.0000,	0,	0,	41.9541,	6056.0000,	5990.0000,	
180943,	-1.8830,	-1.0000,	180115,	180943,	-1.5126,	-1.0000,	0,	0,	41.9541,	6056.0000,	5977.0000,	
181872,	-2.6457,	-2.0000,	181043,	181872,	-1.6576,	-1.0000,	0,	0,	41.9541,	6056.0000,	5945.0000,	
182800,	-1.5493,	-1.0000,	181971,	182800,	-2.0445,	-2.0000,	0,	0,	41.9541,	6056.0000,	5991.0000,	
183729,	-3.3847,	-3.0000,	182901,	183729,	-1.8506,	-1.0000,	0,	0,	41.9541,	6056.0000,	5914.0000,	
184656,	0.3099,	0.0000,	183828,	184656,	-2.4512,	-2.0000,	0,	0,	41.9541,	6056.0000,	6069.0000,	
185585,	-2.6696,	-2.0000,	184756,	185584,	-1.3702,	-1.0000,	0,	0,	41.9541,	6056.0000,	5944.0000,	
186513,	-0.0953,	0.0000,	185683,	186513,	-1.8789,	-1.0000,	0,	0,	41.9541,	6056.0000,	6052.0000,	
187441,	-1.3586,	-1.0000,	186611,	187441,	-1.1807,	-1.0000,	0,	0,	41.9541,	6056.0000,	5999.0000,	
188369,	-3.6230,	-3.0000,	187540,	188369,	-1.2503,	-1.0000,	0,	0,	41.9541,	6056.0000,	5904.0000,	
189297,	-3.8614,	-3.0000,	188469,	189297,	-2.1792,	-2.0000,	0,	0,	41.9541,	6056.0000,	5894.0000,	
190226,	0.0477,	0.0000,	189399,	190226,	-2.8378,	-2.0000,	0,	0,	41.9541,	6056.0000,	6058.0000,	
191154,	-0.1430,	0.0000,	190325,	191154,	-1.7081,	-1.0000,	0,	0,	41.9541,	6056.0000,	6050.0000,	
192082,	-0.0477,	0.0000,	191252,	192082,	-1.0954,	-1.0000,	0,	0,	41.9541,	6056.0000,	6054.0000,	
193010,	-1.4301,	-1.0000,	192181,	193010,	-0.6852,	0.0000,	0,	0,	41.9541,	6056.0000,	5996.0000,	
193939,	-0.9296,	0.0000,	193110,	193938,	-0.9768,	0.0000,	0,	0,	41.9541,	6056.0000,	6017.0000,	
