tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
97001,97301,97301,-101996.8,-183027,81030.25,81030.63,81019.87,97301,97601,97601,45294.0,-67833,113127.0,113136.0,113139.5,97601,97901,97901,-137068.8,-216608,79539.25,79550.13,79540.58,0,0,5473.999,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
98018,98318,98318,-101972.3,-183027,81054.75,81038.75,81022.54,98318,98618,98618,45315.5,-67833,113148.5,113140.8,113138.6,98618,98918,98918,-137078.5,-216608,79529.5,79546.69,79542.95,0,0,5474.083,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
99036,99336,99336,-101993.8,-183027,81033.25,81038.13,81026.57,99336,99636,99636,45312.25,-67833,113145.3,113143.9,113139.2,99636,99936,99936,-137079.5,-216608,79528.5,79542.38,79543.88,0,0,5474.192,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
100053,100353,100353,-102033.3,-183027,80993.75,81028.0,81029.45,100353,100653,100653,45305.75,-67833,113138.8,113139.9,113140.4,100653,100953,100953,-137083.8,-216608,79524.25,79530.38,79543.51,0,0,5474.266,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
101071,101371,101371,-102013.0,-183027,81014.0,81023.94,81029.09,101371,101671,101671,45332.75,-67833,113165.8,113149.6,113140.2,101671,101971,101971,-137052.5,-216608,79555.5,79534.44,79540.24,0,0,5474.191,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
102090,102390,102390,-101994.8,-183027,81032.25,81018.31,81027.8,102390,102690,102690,45314.5,-67833,113147.5,113149.3,113142.6,102690,102990,102990,-137071.3,-216608,79536.75,79536.25,79538.8,0,0,5474.183,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
103108,103408,103408,-101997.5,-183027,81029.5,81017.38,81025.45,103408,103708,103708,45329.25,-67833,113162.3,113153.6,113144.2,103708,104008,104008,-137046.0,-216608,79562.0,79544.63,79538.16,0,0,5474.157,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
104128,104428,104428,-101993.3,-183027,81033.75,81027.38,81023.44,104428,104728,104728,45303.75,-67833,113136.8,113153.1,113146.6,104728,105028,105028,-137054.0,-216608,79554.0,79552.06,79539.77,0,0,5474.196,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
105146,105446,105446,-101992.0,-183027,81035.0,81032.63,81024.41,105446,105746,105746,45287.5,-67833,113120.5,113141.8,113148.2,105746,106046,106046,-137056.8,-216608,79551.25,79551.0,79542.83,0,0,5474.309,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
106163,106463,106463,-102030.3,-183027,80996.75,81023.75,81026.45,106463,106763,106763,45311.25,-67833,113144.3,113140.9,113146.6,106763,107063,107063,-137088.0,-216608,79520.0,79546.81,79544.86,0,0,5474.357,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
107183,107483,107483,-102023.5,-183027,81003.5,81017.25,81025.78,107483,107783,107783,45306.0,-67833,113139.0,113135.1,113145.2,107783,108083,108083,-137042.0,-216608,79566.0,79547.81,79545.34,0,0,5474.326,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
108201,108501,108501,-102019.8,-183027,81007.25,81010.63,81023.66,108501,108801,108801,45313.75,-67833,113146.8,113137.6,113142.7,108801,109101,109101,-137069.3,-216608,79538.75,79544.0,79545.96,0,0,5474.246,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
109219,109519,109519,-102010.3,-183027,81016.75,81006.06,81020.42,109519,109819,109819,45314.75,-67833,113147.8,113144.4,113141.4,109819,110119,110119,-137054.8,-216608,79553.25,79544.5,79545.48,0,0,5474.146,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
110239,110539,110539,-102025.8,-183027,81001.25,81007.19,81016.85,110539,110839,110839,45275.75,-67833,113108.8,113135.6,113142.2,110839,111139,111139,-137027.5,-216608,79580.5,79559.63,79545.23,0,0,5474.085,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
111257,111557,111557,-102015.8,-183027,81011.25,81009.13,81014.45,111557,111857,111857,45273.5,-67833,113106.5,113127.4,113140.5,111857,112157,112157,-137078.5,-216608,79529.5,79550.5,79548.81,0,0,5474.076,5474,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
