tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
44050,44350,44350,-101989.3,-183027,81037.75,81026.56,81017.1,44350,44650,44650,45307.0,-67833,113140.0,113140.0,113142.8,44650,44950,44950,-137003.0,-216608,79605.0,79540.5,79561.34,0,0,5474.424,5474.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
45067,45367,45367,-102017.5,-183027,81009.5,81020.44,81019.45,45367,45667,45667,45289.5,-67833,113122.5,113135.5,113142.1,45667,45967,45967,-137061.3,-216608,79546.75,79534.69,79556.16,0,0,5474.354,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
46084,46384,46384,-101994.8,-183027,81032.25,81021.0,81019.7,46384,46684,46684,45308.75,-67833,113141.8,113134.1,113140.5,46684,46984,46984,-137061.0,-216608,79547.0,79559.0,79550.82,0,0,5474.219,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
47103,47403,47403,-102001.0,-183027,81026.0,81026.38,81020.02,47403,47703,47703,45293.0,-67833,113126.0,113132.6,113138.9,47703,48003,48003,-137029.8,-216608,79578.25,79569.25,79552.85,0,0,5474.235,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
48120,48420,48420,-102004.5,-183027,81022.5,81022.56,81021.6,48420,48720,48720,45320.75,-67833,113153.8,113136.0,113137.3,48720,49020,49020,-137082.0,-216608,79526.0,79549.5,79556.93,0,0,5474.317,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
49137,49437,49437,-101996.3,-183027,81030.75,81027.88,81021.84,49437,49737,49737,45302.0,-67833,113135.0,113139.1,113137.0,49737,50037,50037,-137076.8,-216608,79531.25,79545.63,79555.09,0,0,5474.279,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
50156,50456,50456,-101997.3,-183027,81029.75,81027.25,81023.34,50456,50756,50756,45284.5,-67833,113117.5,113133.1,113137.5,50756,51056,51056,-137063.8,-216608,79544.25,79544.94,79552.73,0,0,5474.272,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
51174,51474,51474,-102002.0,-183027,81025.0,81027.0,81024.31,51474,51774,51774,45301.75,-67833,113134.8,113135.3,113136.4,51774,52074,52074,-137056.5,-216608,79551.5,79538.25,79550.8,0,0,5474.23,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
52193,52493,52493,-102018.5,-183027,81008.5,81023.5,81024.98,52493,52793,52793,45319.5,-67833,113152.5,113134.9,113136.1,52793,53093,53093,-137105.3,-216608,79502.75,79532.44,79547.68,0,0,5474.176,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
53210,53510,53510,-101993.5,-183027,81033.5,81024.19,81024.62,53510,53810,53810,45295.0,-67833,113128.0,113133.2,113135.8,53810,54110,54110,-137065.3,-216608,79542.75,79535.31,79543.89,0,0,5474.086,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
54227,54527,54527,-101990.8,-183027,81036.25,81025.81,81024.52,54527,54827,54827,45280.5,-67833,113113.5,113132.2,113135.2,54827,55127,55127,-137069.5,-216608,79538.5,79533.88,79541.76,0,0,5474.029,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
55256,55556,55556,-102008.5,-183027,81018.5,81024.19,81024.84,55556,55856,55856,45288.5,-67833,113121.5,113128.9,113134.4,55856,56156,56156,-137087.0,-216608,79521.0,79526.25,79539.8,0,0,5473.981,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
56273,56573,56573,-101996.8,-183027,81030.25,81029.63,81024.68,56573,56873,56873,45302.25,-67833,113135.3,113124.6,113133.1,56873,57173,57173,-137093.3,-216608,79514.75,79529.25,79536.43,0,0,5473.883,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
57296,57596,57596,-101976.0,-183027,81051.0,81034.0,81025.91,57596,57896,57896,45280.25,-67833,113113.3,113120.9,113130.9,57896,58196,58196,-137080.8,-216608,79527.25,79525.38,79534.65,0,0,5473.83,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
58313,58613,58613,-102006.0,-183027,81021.0,81030.19,81027.92,58613,58913,58913,45303.75,-67833,113136.8,113126.7,113128.4,58913,59213,59213,-137080.0,-216608,79528.0,79522.75,79532.34,0,0,5473.774,5474.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
