tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
128645,128945,128945,-179411.0,-179306,-105.0,-126.0,-129.965,128945,129245,129245,-64604.5,-64506,-98.5,-93.5,-94.41536,129245,129545,129545,-205901.3,-205739,-162.25,-163.6875,-163.37,0,0,7.755006,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
129662,129962,129962,-179412.5,-179306,-106.5,-116.3125,-128.9796,129962,130262,130262,-64572.5,-64506,-66.5,-85.75,-94.18787,130262,130562,130562,-205913.8,-205739,-174.75,-164.5625,-163.4489,0,0,7.732327,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
130680,130980,130980,-179416.8,-179306,-110.75,-111.25,-125.8315,130980,131280,131280,-64584.5,-64506,-78.5,-78.125,-92.09087,131280,131580,131580,-205914.8,-205739,-175.75,-171.8125,-163.7257,0,0,7.632961,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
131699,131999,131999,-179443.0,-179306,-137.0,-114.8125,-122.2077,131999,132299,132299,-64586.0,-64506,-80.0,-80.875,-88.62004,132299,132599,132599,-205942.8,-205739,-203.75,-179.125,-165.7354,0,0,7.531263,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
132716,133016,133016,-179401.5,-179306,-95.5,-112.4375,-120.3698,133016,133316,133316,-64578.5,-64506,-72.5,-74.375,-86.69522,133316,133616,133616,-205891.0,-205739,-152.0,-176.5625,-169.063,0,0,7.522562,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
133733,134033,134033,-179417.3,-179306,-111.25,-113.625,-118.3985,134033,134333,134333,-64597.0,-64506,-91.0,-80.5,-83.63337,134333,134633,134633,-205911.8,-205739,-172.75,-176.0625,-170.9268,0,0,7.459174,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
134753,135053,135053,-179429.3,-179306,-123.25,-116.75,-117.2122,135053,135353,135353,-64592.0,-64506,-86.0,-82.375,-82.85466,135353,135653,135653,-205935.3,-205739,-196.25,-181.1875,-172.2032,0,0,7.445399,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
135771,136071,136071,-179457.8,-179306,-151.75,-120.4375,-117.0973,136071,136371,136371,-64605.5,-64506,-99.5,-87.25,-82.73546,136371,136671,136672,-205912.3,-205739,-173.25,-173.5625,-174.436,0,0,7.485375,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
136790,137090,137090,-179438.0,-179306,-132.0,-129.5625,-117.9274,137090,137390,137390,-64555.0,-64506,-49.0,-81.375,-83.85743,137390,137690,137690,-205919.3,-205739,-180.25,-180.625,-174.2189,0,0,7.520076,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
137808,138108,138108,-179442.8,-179306,-136.75,-135.9375,-120.819,138108,138408,138408,-64616.0,-64506,-110.0,-86.125,-83.24049,138408,138708,138708,-205933.5,-205739,-194.5,-186.0625,-175.811,0,0,7.59741,7.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
138826,139126,139126,-179446.8,-179306,-140.75,-140.3125,-124.5763,139126,139426,139426,-64607.25,-64506,-101.25,-89.9375,-83.95736,139426,139726,139726,-205912.8,-205739,-173.75,-180.4375,-178.3587,0,0,7.737848,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
139846,140146,140146,-179441.8,-179306,-135.75,-136.3125,-128.4871,140146,140446,140446,-64630.25,-64506,-124.25,-96.125,-85.44356,140446,140746,140746,-205911.8,-205739,-172.75,-180.3125,-178.8754,0,0,7.856121,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
140864,141164,141164,-179421.3,-179306,-115.25,-132.125,-130.4319,141164,141464,141464,-64590.0,-64506,-84.0,-104.875,-88.09814,141464,141764,141764,-205926.5,-205739,-187.5,-182.125,-179.2325,0,0,7.955251,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
141881,142181,142181,-179440.5,-179306,-134.5,-131.5625,-130.8527,142181,142481,142481,-64580.75,-64506,-74.75,-96.0625,-92.26757,142481,142781,142781,-205923.8,-205739,-184.75,-179.6875,-179.9514,0,0,8.061432,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
142901,143201,143201,-179420.3,-179306,-114.25,-124.9375,-131.0291,143201,143501,143501,-64580.0,-64506,-74.0,-89.25,-93.2107,143501,143801,143801,-205924.3,-205739,-185.25,-182.5625,-179.8858,0,0,8.082511,8.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
