3325666,	1014.5831,	1014.5000,	3324761,	3325666,	1014.5831,	1014.5000,	1,	1,	-42.5012,	46064.0000,	2943.0000,	
3326626,	1014.3007,	1014.0000,	3325724,	3326626,	1014.5830,	1014.5000,	0,	0,	-42.5012,	46064.0000,	2955.0000,	
3327587,	1014.8419,	1015.0000,	3326686,	3327587,	1014.4725,	1014.3042,	0,	0,	-42.5012,	46064.0000,	2932.0000,	
3328547,	1014.5596,	1014.5000,	3327646,	3328547,	1014.6171,	1014.5766,	0,	0,	-42.5012,	46064.0000,	2944.0000,	
3329508,	1014.4890,	1014.5000,	3328607,	3329508,	1014.5946,	1014.5466,	0,	0,	-42.5012,	46064.0000,	2947.0000,	
3330468,	1014.7243,	1015.0000,	3329567,	3330468,	1014.5532,	1014.5284,	0,	0,	-42.5012,	46064.0000,	2937.0000,	
3331429,	1014.3243,	1014.0000,	3330528,	3331429,	1014.6202,	1014.7130,	0,	0,	-42.5012,	46064.0000,	2954.0000,	
3332389,	1014.2302,	1014.0000,	3331488,	3332389,	1014.5043,	1014.4338,	0,	0,	-42.5012,	46064.0000,	2958.0000,	
3333350,	1014.1596,	1014.0000,	3332449,	3333350,	1014.3970,	1014.2640,	0,	0,	-42.5012,	46064.0000,	2961.0000,	
3334310,	1014.3948,	1014.0000,	3333409,	3334310,	1014.3040,	1014.1607,	0,	0,	-42.5012,	46064.0000,	2951.0000,	
3335271,	1014.1361,	1014.0000,	3334370,	3335271,	1014.3396,	1014.0978,	0,	0,	-42.5012,	46064.0000,	2962.0000,	
3336231,	1014.0890,	1014.0000,	3335330,	3336231,	1014.2599,	1014.0595,	0,	0,	-42.5012,	46064.0000,	2964.0000,	
3337193,	1013.5714,	1013.5000,	3336291,	3337192,	1014.1930,	1014.0361,	0,	0,	-42.5012,	46064.0000,	2986.0000,	
3338153,	1013.7360,	1014.0000,	3337251,	3338153,	1013.9496,	1013.8263,	0,	0,	-42.5012,	46064.0000,	2979.0000,	
