213251,	504.1034,	504.0000,	212331,	213250,	503.9254,	504.0000,	0,	0,	-42.5012,	-21425.0000,	
214210,	504.0563,	504.0000,	213292,	214210,	503.9951,	504.0000,	0,	0,	-42.5012,	-21423.0000,	
215170,	503.7034,	504.0000,	214251,	215170,	504.0191,	504.0000,	0,	0,	-42.5012,	-21408.0000,	
216130,	504.0328,	504.0000,	215212,	216130,	503.8955,	504.0000,	0,	0,	-42.5012,	-21422.0000,	
217090,	503.5152,	503.5000,	216171,	217090,	503.9492,	504.0000,	0,	0,	-42.5012,	-21400.0000,	
218050,	504.0563,	504.0000,	217132,	218050,	503.7793,	503.8043,	0,	0,	-42.5012,	-21423.0000,	
219010,	504.0563,	504.0000,	218091,	219010,	503.8878,	503.8809,	0,	0,	-42.5012,	-21423.0000,	
219969,	504.0799,	504.0000,	219051,	219969,	503.9537,	503.9275,	0,	0,	-42.5012,	-21424.0000,	
220930,	504.0093,	504.0000,	220011,	220930,	504.0031,	503.9559,	0,	0,	-42.5012,	-21421.0000,	
221889,	503.8211,	504.0000,	220971,	221889,	504.0055,	503.9732,	0,	0,	-42.5012,	-21413.0000,	
222849,	503.8211,	504.0000,	221930,	222849,	503.9333,	503.9837,	0,	0,	-42.5012,	-21413.0000,	
223809,	503.7740,	504.0000,	222891,	223808,	503.8894,	503.9901,	0,	0,	-42.5012,	-21411.0000,	
224769,	504.1269,	504.0000,	223850,	224769,	503.8442,	503.9940,	0,	0,	-42.5012,	-21426.0000,	
225728,	504.3387,	504.0000,	224809,	225728,	503.9549,	503.9963,	0,	0,	-42.5012,	-21435.0000,	
226688,	504.1975,	504.0000,	225769,	226688,	504.1051,	503.9978,	0,	0,	-42.5012,	-21429.0000,	
227648,	503.7269,	504.0000,	226729,	227647,	504.1413,	503.9986,	0,	0,	-42.5012,	-21409.0000,	
228608,	503.8211,	504.0000,	227689,	228608,	503.9791,	503.9992,	0,	0,	-42.5012,	-21413.0000,	
229567,	503.9152,	504.0000,	228648,	229567,	503.9172,	503.9995,	0,	0,	-42.5012,	-21417.0000,	
230526,	504.1740,	504.0000,	229608,	230526,	503.9165,	503.9996,	0,	0,	-42.5012,	-21428.0000,	
231487,	504.0799,	504.0000,	230568,	231487,	504.0173,	503.9998,	0,	0,	-42.5012,	-21424.0000,	
232446,	503.7269,	504.0000,	231528,	232446,	504.0418,	503.9999,	0,	0,	-42.5012,	-21409.0000,	
233407,	503.6093,	503.5000,	232487,	233406,	503.9185,	504.0000,	0,	0,	-42.5012,	-21404.0000,	
234366,	503.8681,	504.0000,	233448,	234366,	503.7975,	503.8042,	0,	0,	-42.5012,	-21415.0000,	
235327,	503.7975,	504.0000,	234407,	235326,	503.8251,	503.8809,	0,	0,	-42.5012,	-21412.0000,	
