523318,	1009.0773,	1009.0000,	522403,	523318,	1009.0016,	1009.0000,	0,	0,	-42.5012,	-42887.0000,	
524278,	1008.6538,	1008.5000,	523364,	524278,	1009.0313,	1009.0000,	0,	0,	-42.5012,	-42869.0000,	
525238,	1008.7009,	1009.0000,	524323,	525238,	1008.8836,	1008.8043,	0,	0,	-42.5012,	-42871.0000,	
526198,	1008.6303,	1008.5000,	525284,	526198,	1008.8120,	1008.8809,	0,	0,	-42.5012,	-42868.0000,	
527158,	1009.0303,	1009.0000,	526243,	527158,	1008.7409,	1008.7318,	0,	0,	-42.5012,	-42885.0000,	
528118,	1008.8421,	1009.0000,	527204,	528118,	1008.8541,	1008.8368,	0,	0,	-42.5012,	-42877.0000,	
529078,	1009.1244,	1009.0000,	528163,	529078,	1008.8494,	1008.9007,	0,	0,	-42.5012,	-42889.0000,	
530038,	1008.7009,	1009.0000,	529124,	530038,	1008.9571,	1008.9396,	0,	0,	-42.5012,	-42871.0000,	
530998,	1008.8891,	1009.0000,	530083,	530998,	1008.8568,	1008.9633,	0,	0,	-42.5012,	-42879.0000,	
531958,	1009.1009,	1009.0000,	531044,	531958,	1008.8694,	1008.9777,	0,	0,	-42.5012,	-42888.0000,	
532918,	1008.8891,	1009.0000,	532003,	532918,	1008.9600,	1008.9864,	0,	0,	-42.5012,	-42879.0000,	
533878,	1008.9597,	1009.0000,	532964,	533878,	1008.9323,	1008.9917,	0,	0,	-42.5012,	-42882.0000,	
534838,	1008.9597,	1009.0000,	533923,	534838,	1008.9430,	1008.9949,	0,	0,	-42.5012,	-42882.0000,	
535798,	1008.8891,	1009.0000,	534884,	535798,	1008.9496,	1008.9970,	0,	0,	-42.5012,	-42879.0000,	
536758,	1008.7950,	1009.0000,	535843,	536758,	1008.9259,	1008.9982,	0,	0,	-42.5012,	-42875.0000,	
537718,	1008.5833,	1008.5000,	536804,	537717,	1008.8746,	1008.9989,	0,	0,	-42.5012,	-42866.0000,	
538678,	1008.9832,	1009.0000,	537763,	538678,	1008.7606,	1008.8036,	0,	0,	-42.5012,	-42883.0000,	
539638,	1008.5597,	1008.5000,	538724,	539637,	1008.8478,	1008.8805,	0,	0,	-42.5012,	-42865.0000,	
540598,	1008.6068,	1008.5000,	539683,	540598,	1008.7350,	1008.7316,	0,	0,	-42.5012,	-42867.0000,	
541558,	1008.6774,	1008.5000,	540644,	541557,	1008.6848,	1008.6409,	0,	0,	-42.5012,	-42870.0000,	
542518,	1008.5833,	1008.5000,	541603,	542518,	1008.6819,	1008.5858,	0,	0,	-42.5012,	-42866.0000,	
543478,	1008.7009,	1009.0000,	542564,	543477,	1008.6433,	1008.5522,	0,	0,	-42.5012,	-42871.0000,	
544438,	1008.5126,	1008.5000,	543523,	544438,	1008.6658,	1008.7275,	0,	0,	-42.5012,	-42863.0000,	
545398,	1008.6068,	1008.5000,	544484,	545397,	1008.6059,	1008.6384,	0,	0,	-42.5012,	-42867.0000,	
546358,	1008.5833,	1008.5000,	545443,	546358,	1008.6062,	1008.5842,	0,	0,	-42.5012,	-42866.0000,	
