tBeforeMeasure,tAfterMeasure,tAfterAlgo,correctedValueFiltered,realValue_WU,thetadeg,phideg,myTmp,tareButtonFlank,realWeight
2305109.0,2305700.0,2305700.0,503.0,-46251.0,35.26,135.0,36.53,0.0,500
2305804.0,2306394.0,2306394.0,503.0,-46295.0,35.26,135.0,36.53,0.0,500
2306498.0,2307089.0,2307089.0,503.0,-46253.0,35.26,135.0,36.53,0.0,500
2307193.0,2307783.0,2307783.0,503.0,-46250.0,35.26,135.0,36.53,0.0,500
2307887.0,2308478.0,2308478.0,503.0,-46272.0,35.26,135.0,36.53,0.0,500
2308581.0,2309172.0,2309172.0,503.0,-46268.0,35.26,135.0,36.53,0.0,500
2309276.0,2309867.0,2309867.0,503.0,-46281.0,35.26,135.0,36.53,0.0,500
2309970.0,2310561.0,2310561.0,503.0,-46253.0,35.26,135.0,36.53,0.0,500
2310665.0,2311256.0,2311256.0,503.0,-46248.0,35.26,135.0,36.53,0.0,500
2311359.0,2311950.0,2311950.0,503.0,-46281.0,35.26,135.0,36.53,0.0,500
2312054.0,2312645.0,2312645.0,503.0,-46262.0,35.26,135.0,36.53,0.0,500
2312748.0,2313339.0,2313339.0,503.0,-46275.0,35.26,135.0,36.53,0.0,500
2313443.0,2314034.0,2314034.0,503.0,-46278.0,35.26,135.0,36.53,0.0,500
2314137.0,2314728.0,2314728.0,503.0,-46278.0,35.26,135.0,36.53,0.0,500
2314832.0,2315423.0,2315423.0,503.0,-46267.0,35.26,135.0,36.53,0.0,500
2315526.0,2316117.0,2316117.0,503.0,-46271.0,35.26,135.0,36.53,0.0,500
2316221.0,2316812.0,2316812.0,503.0,-46266.0,35.26,135.0,36.53,0.0,500
2316915.0,2317506.0,2317506.0,503.0,-46257.0,35.26,135.0,36.53,0.0,500
2317610.0,2318201.0,2318201.0,503.0,-46260.0,35.26,135.0,36.53,0.0,500
2318304.0,2318895.0,2318895.0,503.0,-46283.0,35.26,135.0,36.53,0.0,500
2318999.0,2319590.0,2319590.0,503.0,-46274.0,35.26,135.0,36.53,0.0,500
2319693.0,2320284.0,2320284.0,503.0,-46275.0,35.26,135.0,36.53,0.0,500
2320388.0,2320979.0,2320979.0,503.0,-46269.0,35.26,135.0,36.53,0.0,500
2321082.0,2321673.0,2321673.0,503.0,-46245.0,35.26,135.0,36.53,0.0,500
2321777.0,2322368.0,2322368.0,503.0,-46285.0,35.26,135.0,36.53,0.0,500
2322471.0,2323062.0,2323062.0,503.0,-46277.0,35.26,135.0,36.53,0.0,500
2323166.0,2323757.0,2323757.0,503.0,-46261.0,35.26,135.0,36.53,0.0,500
2323861.0,2324451.0,2324451.0,503.0,-46245.0,35.26,135.0,36.53,0.0,500
2324555.0,2325146.0,2325146.0,503.0,-46251.0,35.26,135.0,36.53,0.0,500
2325250.0,2325841.0,2325841.0,503.0,-46271.0,35.26,135.0,36.53,0.0,500
2325944.0,2326535.0,2326535.0,503.0,-46267.0,35.26,135.0,36.53,0.0,500
2326639.0,2327230.0,2327230.0,503.0,-46252.0,35.26,135.0,36.53,0.0,500
2327333.0,2327924.0,2327924.0,503.0,-46289.0,35.26,135.0,36.53,0.0,500
2328028.0,2328619.0,2328619.0,503.0,-46264.0,35.26,135.0,36.53,0.0,500
2328722.0,2329313.0,2329313.0,503.0,-46263.0,35.26,135.0,36.53,0.0,500
2329417.0,2330007.0,2330007.0,503.0,-46275.0,35.26,135.0,36.53,0.0,500
2330111.0,2330702.0,2330702.0,503.0,-46273.0,35.26,135.0,36.53,0.0,500
2330806.0,2331396.0,2331396.0,503.0,-46274.0,35.26,135.0,36.53,0.0,500
2331500.0,2332091.0,2332091.0,503.0,-46262.0,35.26,135.0,36.53,0.0,500
2332194.0,2332785.0,2332785.0,503.0,-46260.0,35.26,135.0,36.53,0.0,500
2332889.0,2333480.0,2333480.0,503.0,-46244.0,35.26,135.0,36.53,0.0,500
2333583.0,2334174.0,2334174.0,503.0,-46296.0,35.26,135.0,36.53,0.0,500
2334278.0,2334869.0,2334869.0,503.0,-46305.0,35.26,135.0,36.53,0.0,500
2334972.0,2335563.0,2335563.0,503.0,-46296.0,35.26,135.0,36.53,0.0,500
2335667.0,2336258.0,2336258.0,502.5,-46267.0,35.26,135.0,36.53,0.0,500
2336361.0,2336952.0,2336952.0,503.0,-46282.0,35.26,135.0,36.53,0.0,500
2337056.0,2337647.0,2337647.0,503.0,-46268.0,35.26,135.0,36.53,0.0,500
2337750.0,2338341.0,2338341.0,503.0,-46275.0,35.26,135.0,36.53,0.0,500
2338445.0,2339036.0,2339036.0,503.0,-46262.0,35.26,135.0,36.53,0.0,500
2339139.0,2339730.0,2339730.0,503.0,-46252.0,35.26,135.0,36.53,0.0,500
