33897,-0.33,0.00,33848,33897
33996,-0.14,0.00,33947,33996
34096,-0.45,0.00,34046,34096
34196,1.10,1.00,34146,34195
34295,1.02,1.00,34245,34295
34395,0.50,0.50,34344,34395
34494,0.76,1.00,34445,34494
34593,-0.21,0.00,34543,34593
34693,-1.05,-1.00,34643,34693
34792,-0.07,0.00,34742,34792
34891,0.02,0.00,34842,34891
34991,0.60,0.50,34941,34991
35090,0.26,0.00,35041,35090
35189,1.43,1.50,35140,35189
35289,-0.10,0.00,35238,35289
35388,-0.62,0.00,35339,35388
35487,-0.26,0.00,35438,35487
35587,-0.57,0.00,35537,35587
35686,-0.31,0.00,35637,35686
35785,0.55,0.50,35736,35785
35885,-0.93,0.00,35835,35885
35984,-0.76,0.00,35935,35984
36083,0.12,0.00,36034,36083
36183,0.24,0.00,36133,36183
36282,0.24,0.00,36233,36282
36381,0.69,0.50,36332,36381
36481,-0.93,0.00,36431,36481
36580,-1.69,-1.00,36531,36580
36680,-1.50,-1.00,36630,36679
36780,-1.95,-1.00,36729,36780
36879,-1.12,-1.00,36829,36879
36978,-0.36,0.00,36928,36978
37078,0.26,0.00,37028,37078
37177,0.26,0.00,37128,37177
37276,0.31,0.00,37227,37276
37376,0.24,0.00,37326,37376
37475,-0.21,0.00,37426,37475
37574,-0.62,0.00,37525,37574
37673,-1.67,-1.00,37624,37673
37773,-1.69,-1.00,37724,37773
37872,-0.62,0.00,37823,37872
37971,-0.24,0.00,37922,37971
38071,-1.10,-1.00,38022,38071
38170,-0.98,0.00,38121,38170
38269,-0.14,0.00,38220,38269
38369,0.83,1.00,38320,38369
38468,0.00,0.00,38418,38468
38567,-0.36,0.00,38518,38567
38667,-0.62,0.00,38618,38667
38766,-1.05,-1.00,38717,38766
38865,-0.26,0.00,38816,38865
38965,-0.40,0.00,38916,38965
39064,0.45,0.50,39015,39064
39164,0.69,0.50,39114,39163
39264,0.19,0.00,39214,39264
39363,-1.24,-1.00,39313,39363
39462,0.10,0.00,39412,39462
39562,1.02,1.00,39513,39562
39661,1.05,1.00,39611,39661
39760,0.05,0.00,39710,39760
39860,-0.40,0.00,39811,39860
39959,-0.74,0.00,39910,39959
40058,-0.83,0.00,40009,40058
40158,-0.98,0.00,40109,40158
40257,0.50,0.50,40208,40257
40356,0.95,1.00,40307,40356
40456,-0.40,0.00,40406,40456
40555,-0.83,0.00,40506,40555
40654,-0.67,0.00,40605,40654
40754,-0.02,0.00,40705,40754
40853,0.19,0.00,40804,40853
40952,-1.69,-1.00,40903,40952
41052,-1.50,-1.00,41003,41052
41151,-0.93,0.00,41102,41151
41250,-0.71,0.00,41201,41250
41350,-1.74,-1.00,41300,41350
41449,-0.67,0.00,41400,41449
41548,2.10,2.00,41499,41548
41649,1.52,1.50,41598,41648
41748,1.86,2.00,41698,41747
41847,1.74,2.00,41798,41847
41947,0.50,0.50,41897,41947
42046,0.57,0.50,41997,42046
42145,-0.33,0.00,42096,42145
42245,0.31,0.00,42195,42245
42344,-0.95,0.00,42295,42344
42443,-0.07,0.00,42394,42443
42543,0.48,0.50,42493,42543
42642,-0.02,0.00,42593,42642
42741,0.14,0.00,42692,42741
42841,0.10,0.00,42791,42841
42940,-0.79,0.00,42891,42940
43039,0.57,0.50,42990,43039
43139,0.83,1.00,43089,43139
43238,1.14,1.00,43188,43238
43337,0.71,1.00,43287,43337
43437,-0.50,0.00,43386,43437
43536,0.31,0.00,43487,43536
43635,0.93,1.00,43586,43635
43735,-0.24,0.00,43684,43735
43834,0.19,0.00,43785,43834
43933,1.00,1.00,43884,43933
44033,1.45,1.50,43982,44033
44132,0.19,0.00,44083,44132
44231,-1.24,-1.00,44182,44231
44331,-2.00,-2.00,44281,44331
44430,-0.86,0.00,44382,44430
44529,-1.81,-1.00,44480,44529
44630,-0.95,0.00,44579,44628
44729,-0.45,0.00,44679,44729
44828,0.52,0.50,44778,44828
44928,-0.26,0.00,44878,44928
45027,-0.50,0.00,44978,45027
45126,-0.29,0.00,45077,45126
45225,0.74,1.00,45176,45225
45325,-0.50,0.00,45275,45325
45424,-0.31,0.00,45375,45424
45523,-0.21,0.00,45474,45523
45623,0.67,0.50,45574,45623
45722,-0.57,0.00,45673,45722
45821,-0.33,0.00,45772,45821
45921,-1.07,-1.00,45872,45921
46020,0.05,0.00,45971,46020
46119,0.19,0.00,46070,46119
46219,-1.17,-1.00,46170,46219
46318,-0.31,0.00,46269,46318
46417,0.00,0.00,46368,46417
46517,-0.40,0.00,46468,46517
46616,1.48,1.50,46567,46616
46715,0.64,0.50,46666,46715
46815,-0.07,0.00,46766,46815
46914,0.86,1.00,46865,46914
47013,-0.67,0.00,46964,47013
47114,-0.93,0.00,47064,47114
47213,-0.43,0.00,47163,47213
47312,-1.33,-1.00,47262,47312
47412,-0.21,0.00,47362,47412
47511,1.07,1.00,47462,47511
47610,0.57,0.50,47560,47610
47710,-0.76,0.00,47661,47710
47809,-0.60,0.00,47760,47809
47908,-0.81,0.00,47859,47908
48008,-1.31,-1.00,47959,48008
48107,0.45,0.50,48058,48107
48206,1.17,1.00,48157,48206
48306,0.00,0.00,48256,48306
48405,0.60,0.50,48356,48405
48504,-1.19,-1.00,48455,48504
48604,-1.57,-1.00,48555,48604
48703,-0.48,0.00,48654,48703
48802,-1.62,-1.00,48753,48802
48902,-1.88,-1.00,48852,48902
49001,-0.64,0.00,48952,49001
49100,0.43,0.50,49051,49100
49200,-0.05,0.00,49150,49200
49300,0.69,0.50,49250,49299
49399,0.33,0.00,49349,49399
49499,-0.36,0.00,49448,49499
49598,-0.71,0.00,49549,49598
49697,0.29,0.00,49648,49697
49797,-1.19,-1.00,49747,49797
49896,-1.43,-1.00,49846,49896
49995,-0.29,0.00,49946,49995
50095,0.31,0.00,50045,50095
50194,1.48,1.50,50145,50194
50293,2.17,2.00,50243,50293
50393,0.60,0.50,50343,50393
50492,-0.21,0.00,50443,50492
50591,-0.71,0.00,50542,50591
50691,-0.88,0.00,50641,50691
50790,-0.90,0.00,50741,50790
50889,-0.43,0.00,50840,50889
50989,-0.33,0.00,50939,50989
51088,0.14,0.00,51039,51088
51187,0.07,0.00,51138,51187
51287,1.12,1.00,51237,51287
51386,0.24,0.00,51336,51386
51485,-0.07,0.00,51436,51485
51585,0.69,0.50,51535,51585
51684,-0.26,0.00,51635,51684
51783,-0.26,0.00,51734,51783
51884,-1.14,-1.00,51833,51884
51983,0.10,0.00,51933,51983
52082,0.52,0.50,52032,52082
52182,-0.64,0.00,52132,52182
52281,-1.69,-1.00,52232,52281
52380,-0.64,0.00,52330,52380
52480,0.19,0.00,52430,52480
52579,-0.14,0.00,52530,52579
52678,-0.31,0.00,52629,52678
52777,0.02,0.00,52728,52777
52877,0.60,0.50,52828,52877
52976,-0.67,0.00,52927,52976
53075,-0.95,0.00,53026,53075
53175,-0.76,0.00,53126,53175
53274,-0.79,0.00,53225,53274
53373,-1.12,-1.00,53324,53373
53473,-0.36,0.00,53424,53473
53572,-0.14,0.00,53523,53572
53671,-1.40,-1.00,53622,53671
53771,-1.83,-1.00,53722,53771
53870,-0.93,0.00,53821,53870
53969,-0.93,0.00,53920,53969
54069,-1.45,-1.00,54020,54069
54168,-2.10,-2.00,54119,54168
54267,-2.05,-2.00,54219,54267
54368,-0.69,0.00,54319,54368
54467,0.10,0.00,54417,54467
54566,0.71,1.00,54516,54566
54666,0.19,0.00,54616,54666
54765,-0.50,0.00,54716,54765
54864,-0.14,0.00,54815,54864
54964,0.57,0.50,54915,54964
55063,0.67,0.50,55014,55063
55162,0.38,0.00,55113,55162
55262,0.50,0.50,55213,55262
55361,0.00,0.00,55312,55361
55460,-1.12,-1.00,55411,55460
55560,0.07,0.00,55511,55560
55659,-1.00,-1.00,55610,55659
55758,0.00,0.00,55709,55758
55858,0.29,0.00,55809,55858
55957,0.48,0.50,55908,55957
56056,0.12,0.00,56007,56056
56156,-0.64,0.00,56107,56156
56255,0.12,0.00,56206,56255
56354,0.10,0.00,56305,56354
56454,-0.79,0.00,56404,56454
56553,-0.83,0.00,56504,56553
56653,-0.98,0.00,56603,56652
56753,-0.74,0.00,56702,56753
56852,0.57,0.50,56802,56852
56951,0.29,0.00,56902,56951
57051,-0.50,0.00,57001,57051
57150,-0.43,0.00,57101,57150
57249,-0.38,0.00,57200,57249
57349,-0.67,0.00,57299,57349
57448,-0.57,0.00,57399,57448
57547,-1.19,-1.00,57498,57547
57647,-0.90,0.00,57597,57647
57746,1.00,1.00,57697,57746
57845,-0.64,0.00,57795,57845
57945,0.00,0.00,57895,57945
58044,-0.05,0.00,57995,58044
58143,0.93,1.00,58094,58143
58243,1.74,2.00,58192,58243
58342,1.26,1.00,58293,58342
58441,1.24,1.00,58391,58441
58541,2.62,2.50,58490,58541
58640,1.26,1.00,58591,58640
58739,0.76,1.00,58689,58739
58839,2.05,2.00,58789,58839
58938,1.19,1.00,58889,58938
59037,0.02,0.00,58988,59037
59137,0.02,0.00,59087,59137
59237,0.12,0.00,59187,59236
59336,1.26,1.00,59286,59336
59436,1.52,1.50,59385,59436
59535,0.76,1.00,59485,59535
59634,0.19,0.00,59584,59634
59734,0.31,0.00,59684,59734
59833,0.00,0.00,59784,59833
59932,1.07,1.00,59883,59932
60032,0.02,0.00,59981,60032
60131,-0.38,0.00,60082,60131
60230,0.24,0.00,60181,60230
60329,-0.19,0.00,60280,60329
60429,-0.95,0.00,60380,60429
60528,0.19,0.00,60479,60528
60627,0.86,1.00,60578,60627
60727,1.71,2.00,60677,60727
60826,1.24,1.00,60777,60826
60925,0.33,0.00,60875,60925
61025,0.83,1.00,60976,61025
61124,0.74,1.00,61074,61124
61223,0.14,0.00,61173,61223
61323,-0.67,0.00,61274,61323
61422,-0.79,0.00,61373,61422
61521,-1.31,-1.00,61472,61521
61621,-0.40,0.00,61572,61621
61720,0.36,0.00,61671,61720
61820,0.10,0.00,61770,61819
61920,0.12,0.00,61870,61920
62019,-0.52,0.00,61969,62019
62118,0.21,0.00,62068,62118
62218,0.93,1.00,62169,62218
62317,-0.83,0.00,62267,62317
