282358,502.19,502.00,281422,282358,502.84,502.75,0,0,42.50,
283353,503.15,503.00,282416,283352,502.58,502.45,0,0,42.50,
284346,504.14,504.00,283410,284346,502.81,502.67,0,0,42.50,
285339,503.88,504.00,284403,285339,503.33,503.19,0,0,42.50,
286333,503.84,504.00,285396,286332,503.55,503.51,0,0,42.50,
287327,503.29,503.00,286391,287327,503.66,503.70,0,0,42.50,
288320,501.22,501.00,287384,288320,503.52,503.43,0,0,42.50,
289313,502.89,503.00,288377,289313,502.62,502.48,0,0,42.50,
290307,503.60,503.50,289371,290307,502.73,502.68,0,0,42.50,
291300,503.15,503.00,290364,291300,503.07,503.00,0,0,42.50,
292294,502.82,503.00,291357,292294,503.10,503.00,0,0,42.50,
293287,503.67,503.50,292350,293287,502.99,503.00,0,0,42.50,
294281,503.13,503.00,293345,294281,503.26,503.20,0,0,42.50,
295274,503.36,503.00,294338,295274,503.21,503.12,0,0,42.50,
296267,503.84,504.00,295331,296267,503.27,503.07,0,0,42.50,
297262,503.51,503.50,296326,297262,503.49,503.44,0,0,42.50,
298255,503.22,503.00,297319,298255,503.50,503.46,0,0,42.50,
299248,503.27,503.00,298312,299248,503.39,503.28,0,0,42.50,
300241,503.79,504.00,299305,300241,503.34,503.17,0,0,42.50,
301235,503.34,503.00,300299,301235,503.52,503.50,0,0,42.50,
302229,503.29,503.00,301292,302229,503.45,503.30,0,0,42.50,
303222,503.34,503.00,302286,303222,503.39,503.18,0,0,42.50,
304216,503.51,503.50,303280,304216,503.37,503.11,0,0,42.50,
305209,503.91,504.00,304273,305209,503.42,503.26,0,0,42.50,
306202,503.04,503.00,305266,306202,503.61,503.55,0,0,42.50,
307196,503.62,503.50,306259,307195,503.39,503.34,0,0,42.50,
308190,503.11,503.00,307254,308190,503.48,503.40,0,0,42.50,
309183,503.79,504.00,308247,309183,503.33,503.24,0,0,42.50,
310177,499.58,499.50,309240,310176,503.51,503.54,0,0,42.50,
311171,501.88,502.00,310235,311171,501.97,501.96,0,0,42.50,
312164,503.74,504.00,311228,312164,501.94,501.97,0,0,42.50,
313157,503.41,503.50,312221,313157,502.64,502.77,0,0,42.50,
314151,503.67,503.50,313216,314151,502.94,503.05,0,0,42.50,
315145,503.60,503.50,314209,315145,503.23,503.23,0,0,42.50,
316138,502.82,503.00,315202,316138,503.37,503.33,0,0,42.50,
317131,503.60,503.50,316195,317131,503.16,503.20,0,0,42.50,
318126,504.07,504.00,317190,318126,503.33,503.32,0,0,42.50,
319119,503.88,504.00,318183,319119,503.62,503.59,0,0,42.50,
320112,502.99,503.00,319176,320112,503.72,503.75,0,0,42.50,
321106,503.91,504.00,320169,321105,503.44,503.46,0,0,42.50,
322100,503.86,504.00,321164,322100,503.62,503.67,0,0,42.50,
323093,504.09,504.00,322160,323093,503.71,503.80,0,0,42.50,
324086,503.46,503.50,323150,324086,503.86,503.88,0,0,42.50,
325081,503.01,503.00,324144,325080,503.70,503.73,0,0,42.50,
326074,503.55,503.50,325137,326074,503.43,503.44,0,0,42.50,
327067,504.16,504.00,326131,327067,503.48,503.47,0,0,42.50,
328060,501.69,501.50,327124,328060,503.75,503.67,0,0,42.50,
329055,502.21,502.00,328118,329055,502.94,502.82,0,0,42.50,
330048,502.73,503.00,329112,330048,502.66,502.50,0,0,42.50,
331041,502.99,503.00,330105,331041,502.69,502.70,0,0,42.50,
332036,503.60,503.50,331099,332036,502.80,502.82,0,0,42.50,
333029,504.07,504.00,332093,333029,503.12,503.08,0,0,42.50,
334022,503.32,503.00,333085,334022,503.49,503.44,0,0,42.50,
335016,503.53,503.50,334080,335015,503.42,503.27,0,0,42.50,
336010,503.98,504.00,335074,336010,503.46,503.36,0,0,42.50,
337003,503.72,504.00,336067,337003,503.66,503.61,0,0,42.50,
337997,503.55,503.50,337060,337996,503.69,503.76,0,0,42.50,
338991,503.60,503.50,338055,338991,503.63,503.66,0,0,42.50,
339984,503.29,503.00,339048,339984,503.62,503.60,0,0,42.50,
340978,503.53,503.50,340041,340977,503.49,503.36,0,0,42.50,
341971,504.24,504.00,341036,341971,503.51,503.42,0,0,42.50,
342965,504.52,504.50,342029,342965,503.79,503.65,0,0,42.50,
343958,503.88,504.00,343022,343958,504.08,503.98,0,0,42.50,
344952,503.58,503.50,344015,344952,504.00,503.99,0,0,42.50,
345946,504.07,504.00,345010,345946,503.83,503.80,0,0,42.50,
346939,503.95,504.00,346003,346939,503.93,503.88,0,0,42.50,
347933,503.32,503.00,346996,347933,503.94,503.92,0,0,42.50,
348926,503.22,503.00,347991,348926,503.69,503.56,0,0,42.50,
349921,503.18,503.00,348984,349920,503.51,503.34,0,0,42.50,
350914,503.81,504.00,349978,350914,503.38,503.21,0,0,42.50,
351907,503.86,504.00,350971,351907,503.55,503.52,0,0,42.50,
352902,502.80,503.00,351965,352902,503.67,503.71,0,0,42.50,
353895,504.00,504.00,352959,353895,503.33,503.43,0,0,42.50,
354889,503.15,503.00,353952,354889,503.59,503.65,0,0,42.50,
355883,503.53,503.50,354947,355883,503.42,503.40,0,0,42.50,
356877,504.42,504.50,355940,356877,503.46,503.44,0,0,42.50,
357870,503.72,504.00,356934,357870,503.84,503.85,0,0,42.50,
358864,504.16,504.00,357927,358864,503.79,503.91,0,0,42.50,
359858,503.72,504.00,358922,359858,503.94,503.95,0,0,42.50,
360852,503.44,503.50,359915,360851,503.85,503.97,0,0,42.50,
361845,503.60,503.50,360909,361845,503.69,503.78,0,0,42.50,
362840,503.69,503.50,361903,362839,503.65,503.67,0,0,42.50,
363833,503.79,504.00,362896,363833,503.67,503.61,0,0,42.50,
364826,503.48,503.50,363890,364826,503.72,503.76,0,0,42.50,
365820,503.15,503.00,364883,365820,503.62,503.66,0,0,42.50,
366814,503.55,503.50,365878,366814,503.44,503.40,0,0,42.50,
367808,503.72,504.00,366871,367808,503.48,503.44,0,0,42.50,
368801,503.74,504.00,367865,368801,503.58,503.66,0,0,42.50,
369796,503.41,503.50,368859,369796,503.64,503.79,0,0,42.50,
370789,502.71,503.00,369853,370789,503.55,503.68,0,0,42.50,
371782,498.92,499.00,370846,371782,503.22,503.41,0,0,42.50,
372776,498.68,498.50,371840,372776,501.54,501.69,0,0,42.50,
