tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
1461047.0,1461580.0,1461580.0,663.0,754.0,42.746101,-91.0,-91.0,-2.12887,-2.22448,0.0,-0.0,-0.07,1.0,45.38,-0.6,-1.51,0.28,-3.84,24.81,104,148557.0
1461741.0,1462274.0,1462275.0,650.0,754.0,42.746101,-104.0,-104.0,-2.43298,-2.18705,0.0,-0.0,-0.06,1.0,45.45,-0.69,-1.47,0.18,-3.64,24.81,104,149251.0
1462435.0,1462968.0,1462969.0,661.0,754.0,42.746101,-93.0,-93.0,-2.17566,-2.28333,0.0,-0.0,-0.06,1.0,45.29,-0.62,-1.6,0.28,-3.19,24.91,104,149945.0
1463129.0,1463662.0,1463663.0,675.0,754.0,42.746101,-79.0,-79.0,-1.84814,-2.24118,0.0,-0.0,-0.07,0.99,45.37,-0.3,-1.49,0.27,-3.87,24.91,104,150639.0
1463824.0,1464357.0,1464357.0,664.0,754.0,42.746101,-90.0,-90.0,-2.10546,-2.0873,0.0,-0.0,-0.06,1.0,45.57,-0.44,-1.53,0.11,-3.64,24.91,104,151334.0
1464518.0,1465051.0,1465052.0,668.0,754.0,42.746101,-86.0,-86.0,-2.01189,-2.09441,0.0,-0.0,-0.07,1.0,45.32,-0.37,-1.61,0.2,-3.93,24.91,104,152028.0
1465212.0,1465745.0,1465746.0,674.0,754.0,42.746101,-80.0,-80.0,-1.87153,-2.0621,0.0,-0.0,-0.07,1.0,45.4,-0.49,-1.41,0.22,-3.75,24.91,104,152722.0
1465906.0,1466439.0,1466440.0,670.0,754.0,42.746101,-84.0,-84.0,-1.96511,-1.98749,0.0,0.0,-0.06,1.0,45.21,-0.67,-1.48,-0.24,-3.37,24.81,104,153416.0
1466601.0,1467134.0,1467134.0,340.0,754.0,42.746101,-414.0,-414.01,-9.68524,-9.68524,-9.0,0.01,-0.07,0.99,45.48,-0.3,-1.63,-0.32,-3.86,24.77,104,154111.0
1467295.0,1467828.0,1467829.0,507.0,754.0,42.746101,-247.0,-247.0,-5.77831,-9.68524,-9.0,0.0,-0.07,1.0,45.44,-0.47,-1.56,-0.08,-3.82,24.91,104,154805.0
1467989.0,1468522.0,1468523.0,663.0,754.0,42.746101,-91.0,-91.0,-2.12889,-8.15567,-8.0,0.01,-0.07,1.0,45.44,-0.33,-1.53,-0.35,-4.13,24.77,104,155499.0
1468683.0,1469216.0,1469217.0,651.0,754.0,42.746101,-103.0,-103.0,-2.40964,-5.79619,-5.0,0.01,-0.06,1.0,45.4,-0.26,-1.5,-0.42,-3.6,24.81,104,156193.0
1469378.0,1469911.0,1469911.0,661.0,754.0,42.746101,-93.0,-93.0,-2.17565,-4.47035,0.0,-0.0,-0.07,1.0,45.4,-0.48,-1.67,0.2,-4.04,24.91,104,156888.0
1470072.0,1470605.0,1470606.0,661.0,754.0,42.746101,-93.0,-93.0,-2.17564,-3.57198,0.0,-0.0,-0.05,0.99,45.45,-0.44,-1.6,0.06,-3.15,24.81,104,157582.0
1470766.0,1471299.0,1471300.0,686.0,754.0,42.746101,-68.0,-68.0,-1.5908,-3.02531,0.0,0.0,-0.06,1.0,45.26,-0.25,-1.51,-0.22,-3.54,24.77,104,158276.0
1471460.0,1471993.0,1471994.0,658.0,754.0,42.746101,-96.0,-96.0,-2.24586,-2.4637,0.0,0.01,-0.06,1.0,45.33,-0.31,-1.6,-0.35,-3.47,24.91,104,158970.0
1472154.0,1472688.0,1472688.0,671.0,754.0,42.746101,-83.0,-83.0,-1.94174,-2.37841,0.0,-0.01,-0.07,1.0,45.4,-0.5,-1.53,0.4,-4.08,24.91,104,159664.0
1472849.0,1473382.0,1473382.0,684.0,754.0,42.746101,-70.0,-70.0,-1.63758,-2.20746,0.0,0.0,-0.07,0.99,45.31,-0.46,-1.45,-0.08,-4.16,24.95,104,160359.0
1473543.0,1474076.0,1474077.0,666.0,754.0,42.746101,-88.0,-88.0,-2.05869,-1.98435,0.0,-0.0,-0.06,0.99,45.32,-0.47,-1.44,0.25,-3.35,24.91,104,161053.0
1474237.0,1474770.0,1474771.0,675.0,754.0,42.746101,-79.0,-79.0,-1.84816,-2.01345,0.0,-0.01,-0.06,1.0,45.37,-0.26,-1.49,0.38,-3.39,24.86,104,161747.0
1474931.0,1475464.0,1475465.0,-187.0,754.0,42.746101,-941.0,-941.01,-22.01384,-22.01384,-22.0,-0.0,-0.07,1.0,45.44,-0.3,-1.45,0.21,-4.0,24.86,104,162441.0
1475626.0,1476158.0,1476159.0,644.0,754.0,42.746101,-110.0,-110.0,-2.57334,-2.57334,0.0,-0.0,-0.06,1.0,45.52,-0.4,-1.59,0.1,-3.47,24.81,104,163136.0
1476320.0,1476853.0,1476853.0,661.0,754.0,42.746101,-93.0,-93.0,-2.17564,-2.57334,0.0,0.0,-0.06,1.0,45.29,-0.5,-1.37,-0.01,-3.39,24.81,104,163830.0
1477014.0,1477547.0,1477547.0,667.0,754.0,42.746101,-87.0,-87.0,-2.03533,-2.41764,0.0,-0.01,-0.07,1.0,45.28,-0.48,-1.48,0.43,-4.18,24.91,104,164524.0
