tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
395809,396361,396361,235433,-4392,42.7461,239825,240417.8,240417.8,240417.8,5624.32,0,5624.0,0.074463,0.072998,1.012207,-9.40458,8.648855,-0.793893,-4.196509,4.124889,29.09471,True,1867.9,1.505267,1.645731,5.080452,0,False,True,True,True,True,False,False,False,False,False,500,162786,552,0,161847.93913043477
396475,397025,397026,119338,-4392,42.7461,123730,125969.0,125969.0,125969.0,2946.911,0,2947.0,0.249512,0.101074,1.248291,-12.32061,2.251908,-1.580153,-11.26751,4.629134,29.00059,True,1873.6,1.509861,1.650753,5.095955,0,False,True,True,True,True,False,False,False,False,False,500,163452,550,1,162590.3608695652
397136,397689,397690,-58489,-4392,42.7461,-54097,-54099.25,-54099.25,-54099.25,-1265.595,0,-1265.0,0.009766,-0.003662,1.0271,-12.62595,5.435114,-1.656489,-0.544745,-0.204286,29.09471,True,1868.5,1.505751,1.64626,5.082084,0,False,True,True,True,True,False,False,False,False,False,500,164113,553,1,163332.78260869565
397802,398354,398355,-67321,-4392,42.7461,-62929,-63473.96,-63473.96,-63473.96,-1484.906,0,-1484.0,0.143311,0.031738,1.041504,-11.45802,5.625954,-1.374046,-7.83107,1.745459,29.00059,True,1867.4,1.504864,1.645291,5.079092,0,False,True,True,True,True,False,False,False,False,False,500,164779,552,1,164075.20434782607
398465,399018,399019,-67358,-4392,42.7461,-62966,-63417.2,-63417.2,-63417.2,-1483.579,0,-1483.0,0.130615,0.029297,1.043945,-11.53435,5.984733,-1.709924,-7.128819,1.607501,29.09471,True,1869.5,1.506557,1.647141,5.084804,0,False,True,True,True,True,False,False,False,False,False,500,165442,553,1,164817.6260869565
399130,399683,399684,-67393,-4392,42.7461,-63001,-63507.89,-63507.89,-63507.89,-1485.7,0,-1485.0,0.13916,0.033936,1.049316,-11.70229,5.89313,-1.526718,-7.550553,1.852331,29.09471,True,1868.6,1.505831,1.646348,5.082356,0,False,True,True,True,True,False,False,False,False,False,500,166107,553,1,165560.04782608696
399794,400347,400348,-67389,-4392,42.7461,-62997,-63472.28,-63472.28,-63472.28,-1484.867,0,-1484.0,0.134033,0.043213,1.043457,-11.58015,6.145038,-1.503817,-7.313406,2.371441,29.04765,True,1869.3,1.506396,1.646965,5.08426,0,False,True,True,True,True,False,False,False,False,False,500,166771,553,1,166302.46956521738
400459,401012,401012,-67367,-4392,42.7461,-62975,-63552.54,-63483.75,-63472.28,-1484.867,0,-1484.0,0.148926,0.041748,1.05127,-11.64122,5.938931,-1.496183,-8.056743,2.274132,29.09471,False,1869.0,1.506154,1.6467,5.083444,0,False,True,True,True,True,False,False,False,False,False,500,167436,553,0,167044.8913043478
401123,401676,401677,-67369,-4392,42.7461,-62977,-63518.01,-63490.28,-63476.77,-1484.972,0,-1484.0,0.144287,0.0354,1.052734,-11.50382,6.320611,-1.419847,-7.799925,1.92596,29.04765,False,1868.8,1.505993,1.646524,5.0829,0,False,True,True,True,True,False,False,False,False,False,500,168100,553,1,167787.31304347824
401789,402341,402341,-67387,-4392,42.7461,-62995,-63532.25,-63498.84,-63482.06,-1485.096,0,-1485.0,0.143311,0.044678,1.049072,-11.64886,6.007634,-1.694657,-7.771874,2.438625,29.09471,False,1869.1,1.506234,1.646788,5.083715,0,False,True,True,True,True,False,False,False,False,False,500,168766,552,0,168529.7347826087
402451,403005,403006,-67363,-4392,42.7461,-62971,-63487.22,-63500.98,-63488.63,-1485.25,0,-1485.0,0.140869,0.034912,1.052246,-11.45802,5.687023,-1.694657,-7.620956,1.900295,29.14177,False,1870.0,1.50696,1.647581,5.086164,0,False,True,True,True,True,False,False,False,False,False,500,169428,554,1,169272.15652173912
403118,403669,403670,-67352,-4392,42.7461,-62960,-63440.03,-63496.37,-63493.46,-1485.363,0,-1485.0,0.13501,0.045898,1.04541,-11.76336,6.038168,-1.587786,-7.351726,2.513935,28.95353,False,1868.9,1.506073,1.646612,5.083172,0,False,True,True,True,True,False,False,False,False,False,500,170095,551,1,170014.57826086954
403780,404334,404335,-67293,-4392,42.7461,-62901,-63496.79,-63499.87,-63494.6,-1485.389,0,-1485.0,0.149414,0.031738,1.038086,-11.58779,5.961832,-1.320611,-8.186668,1.751203,29.00059,False,1868.7,1.505912,1.646436,5.082628,0,False,True,True,True,True,False,False,False,False,False,500,170757,554,1,170757.0
