tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
346102,346654,346655,-39223,-39315,42.7461,92,92.03922,83.74262,84.05149,1.966296,0,0.0,0.032227,0.008057,1.058105,-11.68702,6.129771,-1.610687,-1.744455,0.436253,29.37706,False,2624.8,2.115223,2.312605,7.139124,0.930054,False,True,True,True,True,False,False,False,False,False,500,12623,552,1,14252.242937853107
346766,347319,347319,-39201,-39315,42.7461,114,114.0384,82.74296,83.93057,1.963467,0,0.0,0.028564,0.005127,1.055176,-11.57252,6.129771,-1.633588,-1.550642,0.278389,29.18882,False,2626.6,2.116674,2.314191,7.14402,0.932182,False,True,True,True,True,False,False,False,False,False,500,13287,553,0,15090.610169491525
347428,347983,347984,-39234,-39315,42.7461,81,81.03271,83.74208,83.46562,1.95259,0,0.0,0.03125,0.005615,1.054199,-11.65649,6.167939,-1.778626,-1.697914,0.305185,29.28294,False,2625.6,2.115868,2.31331,7.1413,0.931,False,True,True,True,True,False,False,False,False,False,500,13949,555,1,15928.977401129943
348759,349312,349313,-39229,-39315,42.7461,86,86.03829,87.03191,84.19958,1.969761,0,0.0,0.033203,0.002686,1.06665,-11.63359,6.053435,-1.603053,-1.782941,0.144255,29.28294,False,2625.8,2.116029,2.313486,7.141844,0.931236,False,True,True,True,True,False,False,False,False,False,500,15280,553,1,16767.34463276836
349422,349977,349977,-39230,-39315,42.7461,85,85.02344,89.17506,85.30844,1.995701,0,0.0,0.025879,0.002441,1.056396,-11.59542,5.969466,-1.48855,-1.403307,0.132414,29.37706,False,2623.6,2.114256,2.311548,7.13586,0.928635,False,True,True,True,True,False,False,False,False,False,500,15943,555,0,17605.711864406778
350754,351306,351307,-39239,-39315,42.7461,76,76.04073,86.03267,87.40788,2.044815,0,0.0,0.035889,0.003906,1.050781,-11.59542,5.801527,-1.541985,-1.956117,0.212994,29.28294,False,2625.8,2.116029,2.313486,7.141844,0.931236,False,True,True,True,True,False,False,False,False,False,500,17275,552,1,18444.079096045196
351416,351970,351971,-39212,-39315,42.7461,103,103.0324,84.46039,86.86948,2.03222,0,0.0,0.027832,0.006104,1.063721,-11.65649,6.030534,-1.618321,-1.498762,0.328753,29.33,False,2625.3,2.115626,2.313046,7.140484,0.930645,False,True,True,True,True,False,False,False,False,False,500,17937,554,1,19282.446327683614
352082,352635,352636,-39199,-39315,42.7461,116,116.0614,89.46449,85.92632,2.010156,0,0.0,0.035889,0.006104,1.057129,-11.70229,5.984733,-1.679389,-1.944362,0.330803,29.37706,False,2623.3,2.114015,2.311283,7.135044,0.92828,False,True,True,True,True,False,False,False,False,False,500,18603,553,1,20120.813559322032
352746,353300,353300,-39197,-39315,42.7461,118,118.0588,94.75455,87.31152,2.042561,0,0.0,0.034912,0.003174,1.060547,-11.57252,5.961832,-1.465649,-1.885424,0.171464,29.33,False,2624.9,2.115304,2.312693,7.139396,0.930172,False,True,True,True,True,False,False,False,False,False,500,19267,554,0,20959.18079096045
353412,353964,353965,-39215,-39315,42.7461,100,100.053,96.75665,90.22546,2.11073,0,0.0,0.035889,0.006348,1.057129,-11.63359,6.022901,-1.557252,-1.944359,0.344034,29.33,False,2626.9,2.116916,2.314455,7.144836,0.932537,False,True,True,True,True,False,False,False,False,False,500,19933,552,1,21797.54802259887
354074,354629,354631,-39224,-39315,42.7461,91,91.04072,97.61626,92.78242,2.170547,0,0.0,0.033203,0.007568,1.063965,-11.61069,5.793893,-1.916031,-1.787399,0.407557,29.37706,False,2624.8,2.115223,2.312605,7.139124,0.930054,False,True,True,True,True,False,False,False,False,False,500,20595,555,2,22635.915254237287
354743,355293,355294,-39233,-39315,42.7461,82,82.03574,98.04615,94.67487,2.214819,0,0.0,0.032471,0.007324,1.054199,-11.61832,6.0,-1.687023,-1.76418,0.398064,29.23588,False,2625.4,2.115707,2.313134,7.140756,0.930764,False,True,True,True,True,False,False,False,False,False,500,21264,550,1,23474.282485875705
355403,355958,355959,-39251,-39315,42.7461,64,64.02026,96.32894,95.99473,2.245696,0,0.0,0.027832,0.001709,1.060303,-11.50382,6.091603,-1.480916,-1.503614,0.092348,29.37706,False,2626.1,2.116271,2.31375,7.14266,0.931591,False,True,True,True,True,False,False,False,False,False,500,21924,555,1,24312.649717514123
356071,356623,356623,-39224,-39315,42.7461,91,91.03013,94.61433,96.12557,2.248756,0,0.0,0.028564,0.005371,1.064209,-11.61069,5.969466,-1.664122,-1.537485,0.28917,29.33,False,2626.1,2.116271,2.31375,7.14266,0.931591,False,True,True,True,True,False,False,False,False,False,500,22592,552,0,25151.01694915254
356735,357287,357288,-39224,-39315,42.7461,91,91.05052,91.04134,95.53392,2.234916,0,0.0,0.036865,0.006592,1.060547,-11.67939,5.908397,-1.549618,-1.990791,0.356115,29.33,False,2625.3,2.115626,2.313046,7.140484,0.930645,False,True,True,True,True,False,False,False,False,False,500,23256,552,1,25989.38418079096
357399,357952,357953,-39181,-39315,42.7461,134,134.0374,93.32401,93.77508,2.193769,0,0.0,0.026123,0.005859,1.05957,-11.58015,5.89313,-1.70229,-1.412281,0.316839,29.33,False,2624.9,2.115304,2.312693,7.139396,0.930172,False,True,True,True,True,False,False,False,False,False,500,23920,553,1,26827.751412429378
358731,359281,359282,-39211,-39315,42.7461,104,104.036,99.324,95.11322,2.225074,0,0.0,0.029053,0.007813,1.058105,-11.61832,5.900764,-1.48855,-1.572747,0.423034,29.33,False,2626.0,2.11619,2.313662,7.142388,0.931473,False,True,True,True,True,False,False,False,False,False,500,25252,550,1,27666.118644067796
359390,359946,359946,-39232,-39315,42.7461,83,83.0302,99.46606,96.76174,2.263639,0,0.0,0.029785,0.004883,1.05835,-11.67176,6.045802,-1.740458,-1.61203,0.264338,29.28294,False,2625.3,2.115626,2.313046,7.140484,0.930645,False,True,True,True,True,False,False,False,False,False,500,25911,556,0,28504.485875706214
360056,360610,360611,-39212,-39315,42.7461,103,103.053,105.0422,97.82048,2.288407,0,0.0,0.0354,0.004395,1.057617,-11.61069,5.824428,-1.389313,-1.917058,0.238069,29.33,False,2625.9,2.11611,2.313574,7.142116,0.931355,False,True,True,True,True,False,False,False,False,False,500,26577,554,1,29342.853107344632
