tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,timeNorm,realWeight
1419886.0,1420422.0,1420423.0,-62671.0,-62758.0,87.0,87.07,2.03527,2.11028,0.0,0.04,0.01,1.01,45.05,-0.35,-1.24,-2.42,0.36,25.28,48610.0,104
1420580.0,1421116.0,1421117.0,-62635.0,-62758.0,123.0,123.11,2.87746,2.08091,0.0,0.04,0.01,1.0,44.59,-0.52,-0.63,-2.52,0.31,25.19,49304.0,104
1421275.0,1421811.0,1421811.0,-62674.0,-62758.0,84.0,84.07,1.96509,2.39276,0.0,0.04,-0.01,1.0,44.74,-0.65,-1.73,-2.39,-0.41,25.24,49999.0,104
1421969.0,1422505.0,1422506.0,-62658.0,-62758.0,100.0,100.08,2.33939,2.22533,0.0,0.04,0.0,1.0,44.73,-0.44,-1.62,-2.34,0.03,25.24,50693.0,104
1422664.0,1423199.0,1423200.0,-62650.0,-62758.0,108.0,108.1,2.52655,2.26998,0.0,0.05,0.0,1.0,44.92,-0.63,-2.32,-2.63,0.14,25.14,51388.0,104
1423358.0,1423894.0,1423895.0,-62649.0,-62758.0,109.0,109.08,2.54994,2.37043,0.0,0.04,-0.0,1.0,44.73,-0.51,-1.53,-2.29,-0.04,25.38,52082.0,104
1424053.0,1424588.0,1424589.0,-62655.0,-62758.0,103.0,103.08,2.40958,2.44071,0.0,0.04,0.01,1.0,44.79,-0.63,-1.88,-2.3,0.49,25.14,52777.0,104
1424747.0,1425283.0,1425283.0,-62646.0,-62758.0,112.0,112.08,2.62012,2.42852,0.0,0.04,0.0,1.0,44.7,-0.35,-0.75,-2.3,0.07,25.24,53471.0,104
1425441.0,1425977.0,1425978.0,-62652.0,-62758.0,106.0,106.07,2.47976,2.50353,0.0,0.04,0.0,1.0,44.89,-0.63,-1.38,-2.15,0.0,25.14,54165.0,104
1426136.0,1426671.0,1426672.0,-62655.0,-62758.0,103.0,103.08,2.40958,2.49422,0.0,0.04,-0.01,1.01,44.87,-0.38,-0.97,-2.31,-0.35,25.28,54860.0,104
1426830.0,1427366.0,1427366.0,-62677.0,-62758.0,81.0,81.07,1.89491,2.46108,0.0,0.04,0.01,1.0,44.73,-0.59,-2.06,-2.48,0.34,25.24,55554.0,104
1427524.0,1428060.0,1428061.0,-62652.0,-62758.0,106.0,106.11,2.47976,2.23943,0.0,0.05,0.0,1.0,44.82,-0.34,-1.5,-2.71,0.14,25.19,56248.0,104
1428219.0,1428755.0,1428755.0,-62664.0,-62758.0,94.0,94.07,2.19903,2.33352,0.0,0.04,0.0,1.0,44.85,-0.6,-2.42,-2.27,0.2,25.19,56943.0,104
1428913.0,1429449.0,1429450.0,-62639.0,-62758.0,119.0,119.12,2.78388,2.28087,0.0,0.05,-0.01,1.01,44.93,-0.53,-1.08,-2.65,-0.35,25.24,57637.0,104
