tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
1573992,1574524,1574524,-67886,-67795,42.7461,-91,-92.69399,-91.43722,-2.168478,-1.897177,0,0.204834,0.093018,1.009277,-11.64122,6.175572,-1.40458,-11.42526,5.265638,30.78882,2674.4,2.155194,2.356305,7.27403,0.996442,False,True,True,True,True,False,False,False,False,False,104,635678,532,0,631780.8195488722
1576137,1576706,1576708,-67896,-67795,42.7461,-101,-102.8961,-91.43617,-2.407146,-2.003391,0,0.207031,0.097656,1.015381,-11.49618,6.076336,-1.687023,-11.47281,5.493624,30.83588,2675.3,2.155919,2.357098,7.276477,0.996778,False,True,True,True,True,False,False,False,False,False,104,637823,569,2,633865.9047619049
1578300,1578793,1578794,-67900,-67795,42.7461,-105,-107.1249,-91.88934,-2.506074,-2.161461,0,0.212646,0.094238,1.004395,-11.67176,6.229008,-1.328244,-11.90311,5.360127,30.88294,2674.8,2.155516,2.356658,7.275117,0.996591,False,True,True,True,True,False,False,False,False,False,104,639986,493,1,635950.9899749374
1580455,1580975,1580976,-67875,-67795,42.7461,-80,-81.63433,-89.29005,-1.909749,-2.296377,0,0.217285,0.089844,1.021973,-11.45802,6.244275,-1.442748,-11.95831,5.024064,30.78882,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,642141,520,1,638036.07518797
1582622,1583157,1583159,-67885,-67795,42.7461,-90,-91.69297,-88.69308,-2.145061,-2.145012,0,0.204834,0.098389,1.003418,-11.53435,6.167939,-1.458015,-11.484,5.600139,30.64765,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,644308,535,2,640121.1604010025
1584756,1585244,1585245,-67882,-67795,42.7461,-87,-88.70446,-89.85673,-2.075147,-2.145031,0,0.209473,0.095459,1.005615,-11.54962,6.053435,-1.358779,-11.7154,5.422595,30.83588,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,646442,488,1,642206.2456140352
1586914,1587427,1587428,-67864,-67795,42.7461,-69,-70.36069,-90.72974,-1.646014,-2.117672,0,0.210693,0.093994,1.008301,-11.62595,6.145038,-1.343511,-11.75307,5.325728,30.74176,2674.4,2.155194,2.356305,7.27403,0.996442,False,True,True,True,True,False,False,False,False,False,104,648600,513,1,644291.3308270677
1589061,1589609,1589611,-67873,-67795,42.7461,-78,-79.43339,-88.83537,-1.85826,-1.933018,0,0.203613,0.098633,1.009277,-11.69466,6.351145,-1.480916,-11.35316,5.581561,30.88294,2674.7,2.155436,2.35657,7.274846,0.996554,False,True,True,True,True,False,False,False,False,False,104,650747,548,2,646376.4160401003
1590982,1591506,1591507,-67880,-67795,42.7461,-85,-86.6594,-86.51585,-2.027305,-1.90375,0,0.21167,0.095703,1.018066,-11.67176,6.038168,-1.320611,-11.69508,5.370284,30.74176,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,652668,524,1,648461.5012531328
1593050,1593594,1593594,-67899,-67795,42.7461,-104,-105.9714,-86.35107,-2.47909,-1.952122,0,0.205566,0.097656,1.003174,-11.55725,6.152672,-1.618321,-11.52746,5.560057,30.88294,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,654736,544,0,650546.5864661655
