tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,Ax,Ay,Az,Gx,Gy,Gz,thetadeg,phideg,myTmp,realWeight
56317.0,56855.0,56855.0,19896.0,19910.0,-14.0,-14.0,-0.32752,-0.00916,0.0,324.0,16420.0,296.0,5762.0,-33.0,-182.0,-1.13,-1.03,25.14,2000
57011.0,57549.0,57550.0,19925.0,19910.0,15.0,15.0,0.35091,-0.13379,0.0,276.0,16376.0,288.0,5793.0,-61.0,-206.0,-0.97,-1.01,25.09,2000
57705.0,58243.0,58244.0,19909.0,19910.0,-1.0,-1.0,-0.02339,0.05597,0.0,280.0,16364.0,340.0,5779.0,-65.0,-185.0,-0.98,-1.19,25.09,2000
58400.0,58938.0,58938.0,19923.0,19910.0,13.0,13.0,0.30412,0.0249,0.0,248.0,16336.0,356.0,5791.0,-68.0,-200.0,-0.87,-1.25,25.14,2000
59094.0,59632.0,59633.0,19914.0,19910.0,4.0,4.0,0.09358,0.13421,0.0,240.0,16340.0,384.0,5820.0,-102.0,-204.0,-0.84,-1.35,25.09,2000
59788.0,60326.0,60327.0,19898.0,19910.0,-12.0,-12.0,-0.28073,0.1183,0.0,244.0,16420.0,228.0,5773.0,-58.0,-176.0,-0.85,-0.8,25.05,2000
60483.0,61021.0,61021.0,19907.0,19910.0,-3.0,-3.0,-0.07018,-0.03792,0.0,312.0,16344.0,440.0,5797.0,-88.0,-215.0,-1.09,-1.54,25.19,2000
61177.0,61715.0,61716.0,19906.0,19910.0,-4.0,-4.0,-0.09358,-0.05055,0.0,316.0,16360.0,440.0,5775.0,-49.0,-183.0,-1.11,-1.54,25.19,2000
61872.0,62409.0,62410.0,19893.0,19910.0,-17.0,-17.0,-0.3977,-0.06739,0.0,312.0,16352.0,376.0,5764.0,-80.0,-227.0,-1.09,-1.32,25.05,2000
62566.0,63104.0,63104.0,19891.0,19910.0,-19.0,-19.0,-0.44448,-0.19671,0.0,292.0,16432.0,576.0,5774.0,-91.0,-167.0,-1.02,-2.01,25.05,2000
63260.0,63798.0,63799.0,19889.0,19910.0,-21.0,-21.0,-0.49127,-0.29371,0.0,332.0,16376.0,444.0,5753.0,-79.0,-218.0,-1.16,-1.55,25.09,2000
63955.0,64492.0,64493.0,19907.0,19910.0,-3.0,-3.0,-0.07018,-0.37106,0.0,232.0,16392.0,468.0,5782.0,-82.0,-217.0,-0.81,-1.64,25.05,2000
64649.0,65187.0,65187.0,19891.0,19910.0,-19.0,-19.0,-0.44448,-0.25326,0.0,264.0,16328.0,252.0,5796.0,-86.0,-190.0,-0.93,-0.88,25.09,2000
65343.0,65881.0,65882.0,19909.0,19910.0,-1.0,-1.0,-0.02339,-0.32813,0.0,268.0,16364.0,368.0,5774.0,-88.0,-208.0,-0.94,-1.29,25.09,2000
66038.0,66575.0,66576.0,19898.0,19910.0,-12.0,-12.0,-0.28073,-0.20882,0.0,216.0,16260.0,380.0,5767.0,-79.0,-193.0,-0.76,-1.34,25.09,2000
66732.0,67270.0,67270.0,19884.0,19910.0,-26.0,-26.0,-0.60824,-0.23697,0.0,264.0,16424.0,472.0,5796.0,-76.0,-206.0,-0.92,-1.65,25.14,2000
67426.0,67964.0,67965.0,19916.0,19910.0,6.0,6.0,0.14036,-0.38233,0.0,296.0,16292.0,420.0,5776.0,-58.0,-187.0,-1.04,-1.48,25.05,2000
