21633,	-0.1133,	0.0000,	21079,	21632,	0.1700,	0.0000,	0,	0,	-61.7977,	5148.0000,	5155.00,	0,	3755,	3.82,	-0.01,	-0.00,	1.00,	28.89,	-0.09,	-1.95,	0.84,	-0.04,	24.29,	24.34,	-0.04,	
22283,	0.2751,	0.0000,	21728,	22281,	0.0591,	0.0000,	0,	0,	-61.7977,	5148.0000,	5131.00,	0,	3755,	3.88,	-0.02,	0.00,	1.00,	28.95,	-0.37,	-3.29,	0.98,	0.00,	24.29,	24.34,	-0.04,	
22933,	0.7282,	0.0000,	22378,	22931,	0.1437,	0.0000,	0,	0,	-61.7977,	5148.0000,	5103.00,	0,	3755,	3.76,	-0.02,	0.01,	1.01,	29.15,	0.06,	-0.88,	0.91,	0.53,	24.29,	24.34,	-0.04,	
23582,	-0.0485,	0.0000,	23028,	23581,	0.3725,	0.0000,	0,	0,	-61.7977,	5148.0000,	5151.00,	0,	3755,	3.76,	-0.02,	0.00,	1.00,	29.02,	-0.15,	-0.31,	1.07,	0.20,	24.39,	24.34,	0.04,	
24232,	1.0842,	0.0000,	23678,	24231,	0.2077,	0.0000,	0,	0,	-61.7977,	5148.0000,	5081.00,	0,	3755,	3.76,	-0.01,	0.00,	1.01,	28.92,	-0.47,	-3.11,	0.72,	0.07,	24.29,	24.34,	-0.04,	
24883,	1.0195,	0.0000,	24329,	24882,	0.5508,	0.0000,	0,	0,	-61.7977,	5148.0000,	5085.00,	0,	3755,	3.80,	-0.02,	-0.00,	1.00,	29.22,	-0.29,	-2.68,	1.14,	-0.03,	24.29,	24.34,	-0.04,	
25533,	0.0324,	0.0000,	24979,	25532,	0.7343,	0.0000,	0,	0,	-61.7977,	5148.0000,	5146.00,	0,	3755,	3.70,	-0.02,	-0.01,	1.00,	29.29,	0.06,	-0.29,	1.13,	-0.29,	24.29,	24.34,	-0.04,	
26183,	1.5696,	0.0000,	25628,	26181,	0.4595,	0.0000,	0,	0,	-61.7977,	5148.0000,	5051.00,	0,	3755,	3.72,	-0.02,	0.00,	1.00,	29.20,	-0.11,	-1.37,	0.88,	0.24,	24.29,	24.34,	-0.04,	
26832,	0.7120,	0.0000,	26278,	26831,	0.8941,	0.0000,	0,	0,	-61.7977,	5148.0000,	5104.00,	0,	3755,	3.81,	-0.02,	0.00,	1.00,	29.00,	-0.16,	-3.33,	0.88,	0.21,	24.44,	24.34,	0.07,	
27483,	1.1651,	0.0000,	26929,	27482,	0.8228,	0.0000,	0,	0,	-61.7977,	5148.0000,	5076.00,	0,	3755,	3.71,	-0.02,	-0.00,	1.00,	29.16,	0.15,	-1.66,	1.09,	-0.07,	24.34,	24.34,	0.00,	
