103646,	500.0995,	500.0000,	103096,	103645,	501.3440,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25408.00,	0,	3752,	4.32,	0.03,	-0.08,	1.00,	29.82,	-0.28,	-1.70,	-1.90,	-4.60,	27.59,	500.19,	
104296,	501.1837,	501.0000,	103745,	104294,	500.8568,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25475.00,	0,	3752,	4.27,	0.03,	-0.08,	1.00,	29.66,	-0.19,	-1.66,	-1.56,	-4.71,	27.64,	501.23,	
104945,	500.8439,	501.0000,	104394,	104943,	500.9848,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25454.00,	0,	3752,	4.34,	0.03,	-0.08,	1.00,	29.91,	-0.29,	-1.69,	-1.75,	-4.39,	27.59,	500.93,	
105595,	500.3423,	500.0000,	105044,	105593,	500.9296,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25423.00,	0,	3752,	4.24,	0.03,	-0.08,	1.00,	29.79,	-0.12,	-1.84,	-1.74,	-4.70,	27.64,	500.39,	
106245,	500.9572,	501.0000,	105694,	106243,	500.6997,	500.5000,	0,	0,	-61.7977,	5497.0000,	-25461.00,	0,	3752,	4.27,	0.03,	-0.08,	1.00,	29.79,	-0.15,	-1.51,	-1.79,	-4.57,	27.64,	501.00,	
106894,	500.6659,	500.5000,	106345,	106893,	500.8005,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25443.00,	0,	3752,	4.39,	0.04,	-0.08,	1.01,	29.70,	-0.31,	-1.73,	-2.02,	-4.69,	27.59,	500.76,	
107544,	500.8115,	501.0000,	106993,	107542,	500.7478,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25452.00,	0,	3752,	4.32,	0.04,	-0.09,	1.00,	29.56,	-0.30,	-1.62,	-2.10,	-4.86,	27.64,	500.86,	
108193,	500.7306,	501.0000,	107642,	108191,	500.7728,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25447.00,	0,	3752,	4.34,	0.03,	-0.08,	1.01,	29.67,	-0.08,	-1.60,	-1.82,	-4.69,	27.68,	500.73,	
108843,	500.6983,	500.5000,	108292,	108841,	500.7563,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25445.00,	0,	3752,	4.23,	0.03,	-0.09,	1.01,	29.74,	0.05,	-1.56,	-1.56,	-4.92,	27.64,	500.74,	
109493,	500.5850,	500.5000,	108942,	109491,	500.7335,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25438.00,	0,	3752,	4.26,	0.03,	-0.08,	1.00,	29.79,	-0.24,	-1.68,	-1.81,	-4.51,	27.64,	500.63,	
110142,	501.2970,	501.0000,	109591,	110140,	500.6754,	500.5000,	0,	0,	-61.7977,	5497.0000,	-25482.00,	0,	3752,	4.24,	0.04,	-0.08,	1.01,	29.85,	-0.16,	-1.57,	-2.01,	-4.77,	27.59,	501.39,	
110791,	500.9248,	501.0000,	110243,	110790,	500.9187,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25459.00,	0,	3752,	4.27,	0.03,	-0.08,	1.00,	29.66,	-0.40,	-1.72,	-1.89,	-4.42,	27.59,	501.01,	
111441,	501.3294,	501.0000,	110891,	111439,	500.9211,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25484.00,	0,	3752,	4.27,	0.03,	-0.07,	1.00,	29.92,	-0.23,	-1.58,	-1.83,	-4.17,	27.54,	501.46,	
112091,	501.3294,	501.0000,	111540,	112089,	501.0809,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25484.00,	0,	3752,	4.24,	0.03,	-0.08,	1.01,	29.66,	-0.45,	-1.68,	-1.59,	-4.82,	27.59,	501.42,	
112741,	501.0704,	501.0000,	112190,	112739,	501.1782,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25468.00,	0,	3752,	4.34,	0.04,	-0.08,	1.00,	29.84,	-0.27,	-1.51,	-2.00,	-4.63,	27.64,	501.12,	
113390,	500.4393,	500.5000,	112839,	113388,	501.1360,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25429.00,	0,	3752,	4.24,	0.03,	-0.09,	1.00,	29.85,	-0.20,	-1.74,	-1.95,	-4.93,	27.64,	500.48,	
114039,	500.6983,	500.5000,	113491,	114038,	500.8633,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25445.00,	0,	3752,	4.32,	0.03,	-0.09,	1.00,	29.76,	-0.32,	-1.66,	-1.81,	-4.87,	27.59,	500.79,	
114690,	500.7145,	501.0000,	114139,	114688,	500.7987,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25446.00,	0,	3752,	4.26,	0.03,	-0.09,	1.00,	29.59,	-0.48,	-1.62,	-1.87,	-4.97,	27.54,	500.85,	
115339,	501.5235,	501.5000,	114788,	115337,	500.7657,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25496.00,	0,	3752,	4.31,	0.03,	-0.08,	1.01,	29.60,	-0.18,	-1.69,	-1.72,	-4.61,	27.68,	501.52,	
115989,	501.3779,	501.0000,	115437,	115987,	501.0624,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25487.00,	0,	3752,	4.29,	0.03,	-0.08,	1.01,	29.71,	-0.05,	-1.63,	-1.87,	-4.39,	27.49,	501.56,	
116638,	500.4070,	500.5000,	116087,	116636,	501.1859,	501.0000,	0,	0,	-61.7977,	5497.0000,	-25427.00,	0,	3752,	4.36,	0.03,	-0.09,	1.00,	29.85,	-0.17,	-1.61,	-1.78,	-4.91,	27.59,	500.50,	
