111958,	499.3875,	499.0000,	111417,	111956,	500.0019,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26289.00,	0,	3745,	4.41,	-0.03,	0.04,	1.00,	43.18,	-0.54,	-1.80,	1.91,	2.53,	24.81,	24.72,	
112607,	500.3584,	500.0000,	112065,	112606,	499.7614,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26349.00,	0,	3745,	4.39,	-0.04,	0.06,	1.00,	43.15,	-0.66,	-2.20,	2.28,	3.40,	24.81,	24.72,	
113255,	499.9216,	500.0000,	112714,	113254,	499.9951,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26322.00,	0,	3745,	4.34,	-0.04,	0.05,	1.00,	43.15,	-0.40,	-0.78,	2.32,	2.62,	24.91,	24.72,	
113904,	500.4393,	500.5000,	113363,	113903,	499.9663,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26354.00,	0,	3745,	4.44,	-0.04,	0.04,	1.00,	42.96,	-0.48,	-2.37,	2.27,	2.51,	24.86,	24.72,	
114553,	499.4037,	499.5000,	114012,	114551,	500.1515,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26290.00,	0,	3745,	4.27,	-0.04,	0.05,	1.00,	43.28,	-0.38,	-1.26,	2.19,	2.65,	24.86,	24.72,	
115202,	498.9992,	499.0000,	114661,	115201,	499.8588,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26265.00,	0,	3745,	4.41,	-0.03,	0.05,	1.00,	43.39,	-0.62,	-1.40,	1.91,	2.59,	24.86,	24.72,	
115851,	499.8406,	500.0000,	115310,	115850,	499.5222,	499.5000,	0,	0,	-61.7977,	4572.0000,	-26317.00,	0,	3745,	4.41,	-0.04,	0.05,	1.00,	43.50,	-0.56,	-2.35,	2.39,	2.92,	24.81,	24.72,	
116499,	499.5817,	499.5000,	115959,	116498,	499.6469,	499.5000,	0,	0,	-61.7977,	4572.0000,	-26301.00,	0,	3745,	4.34,	-0.03,	0.04,	1.00,	43.20,	-0.20,	-0.95,	1.98,	2.33,	24.86,	24.72,	
117148,	499.9053,	500.0000,	116608,	117147,	499.6213,	499.5000,	0,	0,	-61.7977,	4572.0000,	-26321.00,	0,	3745,	4.41,	-0.04,	0.06,	1.00,	42.99,	-0.66,	-2.58,	2.26,	3.35,	24.81,	24.72,	
117797,	499.3713,	499.0000,	117257,	117795,	499.7326,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26288.00,	0,	3745,	4.32,	-0.04,	0.05,	1.00,	43.41,	-0.19,	-1.12,	2.14,	2.87,	24.86,	24.72,	
118446,	500.3423,	500.0000,	117905,	118445,	499.5911,	499.5000,	0,	0,	-61.7977,	4572.0000,	-26348.00,	0,	3745,	4.41,	-0.03,	0.05,	1.00,	43.21,	-0.60,	-1.27,	1.89,	3.11,	24.91,	24.72,	
119095,	499.5170,	499.5000,	118554,	119094,	499.8852,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26297.00,	0,	3745,	4.31,	-0.05,	0.05,	0.99,	43.27,	-0.50,	-2.27,	2.61,	2.64,	25.00,	24.72,	
119744,	501.9928,	502.0000,	119202,	119742,	499.7410,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26450.00,	0,	3745,	4.34,	-0.04,	0.04,	1.00,	43.01,	-0.28,	-0.79,	2.08,	2.46,	24.86,	24.72,	
120392,	499.9377,	500.0000,	119852,	120391,	500.6226,	500.5000,	0,	0,	-61.7977,	4572.0000,	-26323.00,	0,	3745,	4.31,	-0.04,	0.05,	1.00,	43.34,	-0.78,	-2.37,	2.05,	2.66,	24.91,	24.72,	
121041,	499.9539,	500.0000,	120501,	121040,	500.3545,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26324.00,	0,	3745,	4.44,	-0.04,	0.05,	0.99,	43.31,	-0.63,	-1.70,	2.48,	2.62,	24.81,	24.72,	
121690,	500.8763,	501.0000,	121149,	121689,	500.1976,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26381.00,	0,	3745,	4.43,	-0.04,	0.06,	1.00,	43.26,	-0.30,	-1.24,	2.11,	3.15,	24.91,	24.72,	
122339,	499.6303,	499.5000,	121798,	122338,	500.4633,	500.5000,	0,	0,	-61.7977,	4572.0000,	-26304.00,	0,	3745,	4.32,	-0.04,	0.06,	1.00,	43.39,	-0.89,	-2.66,	2.09,	3.68,	24.81,	24.72,	
122988,	499.0639,	499.0000,	122446,	122986,	500.1372,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26269.00,	0,	3745,	4.39,	-0.04,	0.05,	1.00,	43.14,	-0.24,	-0.98,	2.51,	2.96,	24.91,	24.72,	
123636,	498.9183,	499.0000,	123096,	123635,	499.7170,	500.0000,	0,	0,	-61.7977,	4572.0000,	-26260.00,	0,	3745,	4.44,	-0.03,	0.04,	1.00,	43.54,	-0.41,	-2.14,	1.88,	2.48,	24.91,	24.72,	
124285,	497.7694,	498.0000,	123745,	124284,	499.4043,	499.5000,	0,	0,	-61.7977,	4572.0000,	-26189.00,	0,	3745,	4.37,	-0.05,	0.05,	0.99,	43.38,	-0.37,	-1.60,	2.62,	2.83,	24.91,	24.72,	
124935,	501.0381,	501.0000,	124394,	124933,	498.7642,	499.0000,	0,	0,	-61.7977,	4572.0000,	-26391.00,	0,	3745,	4.41,	-0.03,	0.04,	1.00,	43.43,	-0.34,	-0.96,	1.98,	2.46,	24.91,	24.72,	
