tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValueFiltered,realValue,correctedValueFiltered,bSync,bHold,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
38475,38775,39375,215859.8,93560,122299.8,122149.8,122099.8,38775,39075,39375,195681.5,29800,165881.5,166053.4,166110.8,39075,39375,39375,71074.25,-54091,125165.3,124916.6,124833.8,0,8568.506,8568.5,False,False,3410.9,2.74871,3.005206,9.277216,1,True,True,False
39484,39784,40384,215918.8,93560,122358.8,122214.5,122112.2,39784,40084,40384,196111.3,29800,166311.3,166103.6,166096.5,40084,40384,40384,70856.75,-54091,124947.8,124945.1,124854.4,0,8568.896,8569.0,False,False,3411.4,2.749113,3.005646,9.278576,1,True,True,False
40493,40793,41393,216218.3,93560,122658.3,122354.1,122137.6,40793,41093,41393,196035.3,29800,166235.3,166134.7,166098.3,41093,41393,41393,70875.75,-54091,124966.8,124978.4,124876.9,0,8569.928,8570.0,False,False,3410.9,2.74871,3.005206,9.277216,1,True,True,False
41502,41802,42402,216301.0,93560,122741.0,122514.4,122191.4,41802,42102,42402,196035.8,29800,166235.8,166165.9,166107.3,42102,42402,42402,70798.75,-54091,124889.8,124992.4,124902.1,0,8569.928,8570.0,False,True,3410.6,2.748469,3.004942,9.276401,1,True,True,False
42512,42812,43412,216482.3,93560,122922.3,122670.1,122271.7,42812,43112,43412,196071.8,29800,166271.8,166263.5,166121.9,43112,43412,43412,70790.5,-54091,124881.5,124921.4,124924.6,0,8569.928,8570.0,False,True,3410.9,2.74871,3.005206,9.277216,1,True,True,False
43521,43821,44421,216642.5,93560,123082.5,122851.0,122370.7,43821,44121,44421,196064.0,29800,166264.0,166251.7,166157.1,44121,44421,44421,70817.25,-54091,124908.3,124911.6,124923.8,0,8569.928,8570.0,False,True,3410.7,2.748549,3.00503,9.276673,1,True,True,False
44530,44830,45430,216666.5,93560,123106.5,122963.1,122490.1,44830,45130,45430,196105.0,29800,166305.0,166269.1,166180.6,45130,45430,45430,70796.0,-54091,124887.0,124891.6,124920.8,0,8569.928,8570.0,False,True,3411.2,2.748952,3.00547,9.278033,1,True,True,False
45539,45839,46439,216852.5,93560,123292.5,123100.9,122607.6,45839,46139,46439,196137.8,29800,166337.8,166294.6,166202.6,46139,46439,46439,70788.75,-54091,124879.8,124889.1,124913.5,0,8569.928,8570.0,False,True,3411.6,2.749275,3.005823,9.27912,1,True,True,False
46548,46848,47448,216960.0,93560,123400.0,123220.4,122730.2,46848,47148,47448,196154.5,29800,166354.5,166315.3,166225.5,47148,47448,47448,70792.75,-54091,124883.8,124889.7,124907.5,0,8569.928,8570.0,False,True,3410.4,2.748307,3.004765,9.275856,1,True,True,False
47557,47857,48457,216965.8,93560,123405.8,123301.2,122852.0,47857,48157,48457,196154.8,29800,166354.8,166338.0,166247.8,48157,48457,48457,70752.75,-54091,124843.8,124873.6,124903.0,0,8569.928,8570.0,False,True,3411.3,2.749033,3.005558,9.278305,1,True,True,False
48567,48867,49467,217051.3,93560,123491.3,123397.4,122963.7,48867,49167,49467,196176.5,29800,166376.5,166355.9,166270.2,49167,49467,49467,70802.0,-54091,124893.0,124875.1,124895.7,0,8569.928,8570.0,False,True,3411.9,2.749516,3.006087,9.279936,1,True,True,False
49577,49877,50477,217129.5,93560,123569.5,123466.6,123071.5,49877,50177,50477,196156.3,29800,166356.3,166360.5,166291.5,50177,50477,50477,70763.25,-54091,124854.3,124868.7,124890.6,0,8569.928,8570.0,False,True,3411.5,2.749194,3.005734,9.278849,1,True,True,False
50586,50886,51486,217152.3,93560,123592.3,123514.7,123169.7,50886,51186,51486,196156.5,29800,166356.5,166361.0,166308.7,51186,51486,51486,70768.5,-54091,124859.5,124862.6,124885.1,0,8569.928,8570.0,False,True,3411.9,2.749516,3.006087,9.279936,1,True,True,False
51595,51895,52495,217298.5,93560,123738.5,123597.9,123255.4,51895,52195,52495,196171.3,29800,166371.3,166365.1,166321.7,52195,52495,52495,70730.0,-54091,124821.0,124856.9,124879.5,0,8569.928,8570.0,False,True,3412.3,2.749839,3.006439,9.281025,1,True,True,False
52606,52906,53506,217280.0,93560,123720.0,123655.1,123340.5,52906,53206,53506,196199.3,29800,166399.3,166370.8,166332.5,53206,53506,53506,70719.75,-54091,124810.8,124836.4,124873.9,0,8569.928,8570.0,False,True,3411.5,2.749194,3.005734,9.278849,1,True,True,False
