tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValueFiltered,realValue,correctedValueFiltered,bSync,bHold,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
120323,120623,121223,304171.5,92821,211350.5,211350.5,211350.5,120623,120923,121223,188548.8,28692,159856.8,159856.8,159856.8,120923,121223,121223,38388.0,-53314,91702.0,91702.0,91702.0,0,9472.492,9472.5,True,True,3413.1,2.750484,3.007144,9.2832,1,True,True,False
121332,121632,122232,304254.0,92821,211433.0,211371.1,211350.5,121632,121932,122232,188636.0,28692,159944.0,159878.6,159856.8,121932,122232,122232,38515.75,-53314,91829.75,91733.94,91702.0,0,9472.492,9472.5,False,True,3412.6,2.750081,3.006704,9.28184,1,True,True,False
122343,122643,123243,304328.3,92821,211507.3,211410.3,211355.6,122643,122943,123243,188653.8,28692,159961.8,159904.8,159862.2,122943,123243,123243,38454.5,-53314,91768.5,91750.56,91709.94,0,9472.492,9472.5,False,True,3413.0,2.750403,3.007056,9.282928,1,True,True,False
123353,123653,124253,304291.0,92821,211470.0,211440.2,211369.2,123653,123953,124253,188708.5,28692,160016.5,159944.8,159872.8,123953,124253,124253,38604.0,-53314,91918.0,91804.56,91720.04,0,9472.492,9472.5,False,True,3412.2,2.749758,3.006351,9.280753,1,True,True,False
124362,124662,125262,304418.8,92821,211597.8,211502.0,211386.9,124662,124962,125262,188729.8,28692,160037.8,159990.0,159890.7,124962,125262,125262,38535.0,-53314,91849.0,91841.31,91741.05,0,9472.492,9472.5,False,True,3412.6,2.750081,3.006704,9.28184,1,True,True,False
125373,125673,126273,304355.5,92821,211534.5,211527.4,211415.5,125673,125973,126273,188814.0,28692,160122.0,160034.5,159915.3,125973,126273,126273,38570.5,-53314,91884.5,91855.0,91765.97,0,9472.492,9472.5,False,True,3413.3,2.750645,3.00732,9.283745,1,True,True,False
126382,126682,127282,304404.3,92821,211583.3,211546.4,211443.3,126682,126982,127282,188819.5,28692,160127.5,160075.9,159945.0,126982,127282,127282,38566.75,-53314,91880.75,91883.06,91788.09,0,9472.492,9472.5,False,True,3412.3,2.749839,3.006439,9.281025,1,True,True,False
127392,127692,128292,304468.3,92821,211647.3,211590.7,211468.9,127692,127992,128292,188778.5,28692,160086.5,160093.4,159977.5,127992,128292,128292,38555.0,-53314,91869.0,91870.81,91811.7,0,9472.492,9472.5,False,True,3412.9,2.750322,3.006968,9.282656,1,True,True,False
128403,128703,129303,304411.3,92821,211590.3,211588.8,211499.2,128703,129003,129303,188815.3,28692,160123.3,160114.8,160006.3,129003,129303,129303,38537.75,-53314,91851.75,91871.5,91826.39,0,9472.492,9472.5,False,True,3413.8,2.751048,3.007761,9.285105,1,True,True,False
129415,129715,130315,304463.8,92821,211642.8,211615.9,211521.5,129715,130015,130315,188867.0,28692,160175.0,160128.1,160033.3,130015,130315,130315,38537.0,-53314,91851.0,91863.13,91837.6,0,9472.492,9472.5,False,True,3412.1,2.749678,3.006263,9.28048,1,True,True,False
130424,130724,131324,304512.5,92821,211691.5,211642.9,211544.9,130724,131024,131324,188904.3,28692,160212.3,160149.3,160056.8,131024,131324,131324,38555.25,-53314,91869.25,91860.25,91843.95,0,9472.492,9472.5,False,True,3413.5,2.750806,3.007497,9.284288,1,True,True,False
131434,131734,132334,304467.3,92821,211646.3,211642.7,211569.3,131734,132034,132334,188891.8,28692,160199.8,160177.6,160079.8,132034,132334,132334,38488.5,-53314,91802.5,91843.63,91848.0,0,9472.492,9472.5,False,True,3411.3,2.749033,3.005558,9.278305,1,True,True,False
132446,132746,133346,304571.8,92821,211750.8,211682.8,211587.5,132746,133046,133346,188935.8,28692,160243.8,160207.7,160104.1,133046,133346,133346,38594.25,-53314,91908.25,91857.75,91846.91,0,9472.492,9472.5,False,True,3411.7,2.749355,3.005911,9.279393,1,True,True,False
133456,133756,134356,304563.0,92821,211742.0,211707.6,211611.2,133756,134056,134356,188970.5,28692,160278.5,160233.6,160129.9,134056,134356,134356,38571.75,-53314,91885.75,91866.44,91849.61,0,9472.492,9472.5,False,True,3412.7,2.750161,3.006792,9.282113,1,True,True,False
134466,134766,135366,304517.0,92821,211696.0,211708.8,211635.2,134766,135066,135366,188982.5,28692,160290.5,160253.1,160155.6,135066,135366,135366,38589.75,-53314,91903.75,91875.06,91853.8,0,9472.492,9472.5,False,True,3413.0,2.750403,3.007056,9.282928,1,True,True,False
