tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValueFiltered,realValue,correctedValueFiltered,bSync,bHold,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
117849,118149,118749,242525.5,94804,147721.5,147851.8,147895.3,118149,118449,118749,99298.75,30718,68580.75,68673.19,68704.0,118449,118749,118749,31194.0,-54882,86076.0,86081.63,86083.5,0,6497.736,6498,False,True,3413.3,2.750645,3.00732,9.283745,1,True,True,False
118858,119158,119758,242501.8,94804,147697.8,147802.4,147884.5,119158,119458,119758,99327.75,30718,68609.75,68649.63,68696.34,119458,119758,119758,31180.0,-54882,86062.0,86076.25,86083.03,0,6497.736,6498,False,True,3412.5,2.75,3.006616,9.281569,1,True,True,False
119869,120169,120769,242391.3,94804,147587.3,147725.4,147864.1,120169,120469,120769,99340.25,30718,68622.25,68629.19,68684.73,120469,120769,120769,31166.75,-54882,86048.75,86067.56,86081.34,0,6497.736,6498,False,True,3411.8,2.749436,3.005999,9.279665,1,True,True,False
120879,121179,121779,242296.0,94804,147492.0,147624.6,147829.6,121179,121479,121779,99311.0,30718,68593.0,68601.44,68670.93,121479,121779,121779,31147.75,-54882,86029.75,86054.13,86077.92,0,6497.736,6498,False,True,3411.7,2.749355,3.005911,9.279393,1,True,True,False
121888,122188,122788,242263.5,94804,147459.5,147559.1,147778.7,122188,122488,122788,99299.5,30718,68581.5,68601.63,68653.66,122488,122788,122788,31178.0,-54882,86060.0,86050.13,86072.01,0,6497.736,6498,False,True,3413.2,2.750564,3.007232,9.283473,1,True,True,False
122899,123199,123799,242194.0,94804,147390.0,147482.2,147724.1,123199,123499,123799,99278.5,30718,68560.5,68589.31,68640.73,123499,123799,123799,31201.5,-54882,86083.5,86055.5,86066.57,0,6497.736,6498,False,True,3414.8,2.751853,3.008642,9.287825,1,True,True,False
123908,124208,124808,242174.8,94804,147370.8,147428.1,147664.0,124208,124508,124808,99257.0,30718,68539.0,68568.5,68627.95,124508,124808,124808,31156.5,-54882,86038.5,86052.94,86063.82,0,6497.736,6498,False,True,3413.3,2.750645,3.00732,9.283745,1,True,True,False
124917,125217,125817,242147.8,94804,147343.8,147391.0,147605.4,125217,125517,125817,99279.0,30718,68561.0,68560.5,68613.18,125517,125817,125817,31116.25,-54882,85998.25,86045.06,86061.12,0,6497.736,6498,False,True,3413.1,2.750484,3.007144,9.2832,1,True,True,False
125930,126230,126830,242025.8,94804,147221.8,147331.6,147552.1,126230,126530,126830,99254.5,30718,68536.5,68549.25,68600.09,126530,126830,126830,31146.25,-54882,86028.25,86037.13,86057.13,0,6497.736,6498,False,True,3411.2,2.748952,3.00547,9.278033,1,True,True,False
126940,127240,127840,242063.3,94804,147259.3,147298.9,147497.3,127240,127540,127840,99268.75,30718,68550.75,68546.81,68587.45,127540,127840,127840,31151.5,-54882,86033.5,86024.63,86052.16,0,6497.736,6498,False,True,3412.4,2.749919,3.006527,9.281296,1,True,True,False
127950,128250,128850,242025.8,94804,147221.8,147261.6,147448.0,128250,128550,128850,99268.75,30718,68550.75,68549.75,68577.35,128550,128850,128850,31171.25,-54882,86053.25,86028.31,86045.31,0,6497.736,6498,False,True,3413.4,2.750725,3.007409,9.284017,1,True,True,False
128960,129260,129860,241954.8,94804,147150.8,147213.4,147401.7,129260,129560,129860,99255.75,30718,68537.75,68543.94,68570.49,129560,129860,129860,31178.25,-54882,86060.25,86043.81,86041.09,0,6497.736,6498,False,True,3413.5,2.750806,3.007497,9.284288,1,True,True,False
129971,130271,130871,241988.3,94804,147184.3,147204.0,147354.9,130271,130571,130871,99255.75,30718,68537.75,68544.25,68563.89,130571,130871,130871,31179.0,-54882,86061.0,86052.0,86041.77,0,6497.736,6498,False,True,3412.5,2.75,3.006616,9.281569,1,True,True,False
130980,131280,131880,241937.3,94804,147133.3,147172.5,147317.4,131280,131580,131880,99258.0,30718,68540.0,68541.56,68559.01,131580,131880,131880,31132.0,-54882,86014.0,86047.13,86044.31,0,6497.736,6498,False,True,3412.2,2.749758,3.006351,9.280753,1,True,True,False
131989,132289,132889,241909.3,94804,147105.3,147143.4,147281.4,132289,132589,132889,99246.75,30718,68528.75,68536.06,68554.67,132589,132889,132889,31160.0,-54882,86042.0,86044.31,86045.02,0,6497.736,6498,False,True,3414.3,2.751451,3.008202,9.286465,1,True,True,False
