tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValueFiltered,realValue,correctedValueFiltered,bSync,bHold,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
41564,41864,42464,321255.8,92954,228301.8,228244.0,228224.8,41864,42164,42464,185844.5,28881,156963.5,156897.1,156875.0,42164,42464,42464,67127.5,-53317,120444.5,120570.3,120612.3,0,10490.88,10491,False,False,3411.0,2.748791,3.005294,9.277489,1,True,True,False
42573,42873,43473,321324.8,92954,228370.8,228280.5,228229.5,42873,43173,43473,185905.5,28881,157024.5,156934.5,156880.5,43173,43473,43473,67287.75,-53317,120604.8,120568.4,120601.8,0,10490.87,10491,False,False,3411.5,2.749194,3.005734,9.278849,1,True,True,False
43584,43884,44484,321463.5,92954,228509.5,228351.7,228242.2,43884,44184,44484,185954.5,28881,157073.5,156984.1,156893.9,44184,44484,44484,67368.5,-53317,120685.5,120586.8,120593.5,0,10491.24,10491,False,False,3413.1,2.750484,3.007144,9.2832,1,True,True,False
44595,44895,45495,321453.8,92954,228499.8,228420.4,228269.4,44895,45195,45495,185933.8,28881,157052.8,157028.6,156916.3,45195,45495,45495,67318.75,-53317,120635.8,120592.6,120591.9,0,10491.24,10491,False,True,3412.0,2.749597,3.006175,9.280209,1,True,True,False
45604,45904,46504,321544.8,92954,228590.8,228492.7,228307.0,45904,46204,46504,186006.0,28881,157125.0,157068.9,156944.2,46204,46504,46504,67324.5,-53317,120641.5,120641.9,120592.0,0,10491.24,10491,False,True,3410.6,2.748469,3.004942,9.276401,1,True,True,False
46612,46912,47512,321612.8,92954,228658.8,228564.7,228353.1,46912,47212,47512,186013.8,28881,157132.8,157096.0,156975.2,47212,47512,47512,67397.25,-53317,120714.3,120669.3,120604.4,0,10491.24,10491,False,True,3410.5,2.748388,3.004853,9.276129,1,True,True,False
47620,47920,48520,321591.3,92954,228637.3,228596.6,228405.7,47920,48220,48520,186081.8,28881,157200.8,157127.8,157005.3,48220,48520,48520,67378.5,-53317,120695.5,120671.8,120620.5,0,10491.24,10491,False,True,3411.4,2.749113,3.005646,9.278576,1,True,True,False
48628,48928,49528,321638.8,92954,228684.8,228642.9,228453.1,48928,49228,49528,186107.5,28881,157226.5,157171.3,157035.7,49228,49528,49528,67288.75,-53317,120605.8,120664.3,120633.3,0,10491.24,10491,False,True,3411.5,2.749194,3.005734,9.278849,1,True,True,False
49636,49936,50536,321717.0,92954,228763.0,228685.9,228500.3,49936,50236,50536,186068.3,28881,157187.3,157186.8,157069.4,50236,50536,50536,67333.0,-53317,120650.0,120666.4,120641.0,0,10491.24,10491,False,True,3412.7,2.750161,3.006792,9.282113,1,True,True,False
50644,50944,51544,321642.3,92954,228688.3,228693.3,228546.4,50944,51244,51544,186113.8,28881,157232.8,157211.8,157098.6,51244,51544,51544,67521.5,-53317,120838.5,120697.4,120647.3,0,10491.24,10491,False,True,3410.6,2.748469,3.004942,9.276401,1,True,True,False
51654,51954,52554,321711.5,92954,228757.5,228723.4,228582.9,51954,52254,52554,186103.0,28881,157222.0,157217.1,157126.7,52254,52554,52554,67226.0,-53317,120543.0,120659.3,120659.8,0,10491.24,10491,False,True,3411.4,2.749113,3.005646,9.278576,1,True,True,False
52663,52963,53563,321782.3,92954,228828.3,228759.3,228617.8,52963,53263,53563,186043.5,28881,157162.5,157201.1,157149.2,53263,53563,53563,67503.25,-53317,120820.3,120712.9,120659.6,0,10491.24,10491,False,True,3411.5,2.749194,3.005734,9.278849,1,True,True,False
53672,53972,54572,321711.3,92954,228757.3,228757.8,228653.0,53972,54272,54572,185903.0,28881,157022.0,157159.8,157162.1,54272,54572,54572,67177.25,-53317,120494.3,120674.0,120672.9,0,10491.24,10491,False,True,3411.9,2.749516,3.006087,9.279936,1,True,True,False
54683,54983,55583,317855.8,92954,224901.8,224901.8,224901.8,54983,55283,55583,184490.3,28881,155609.3,155609.3,155609.3,55283,55583,55583,67323.25,-53317,120640.3,120640.3,120640.3,0,10491.24,10491,True,True,3410.3,2.748227,3.004677,9.275585,1,True,True,False
55693,55993,56593,318314.3,92954,225360.3,225360.3,225360.3,55993,56293,56593,184580.3,28881,155699.3,155699.3,155699.3,56293,56593,56593,67298.25,-53317,120615.3,120615.3,120615.3,0,10491.24,10491,True,True,3412.6,2.750081,3.006704,9.28184,1,True,True,False
