tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValueFiltered,realValue,correctedValueFiltered,bSync,bHold,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
26516,26816,27416,104796.5,96666,8130.5,8101.625,8092.0,26816,27116,27416,55351.5,32230,23121.5,23104.81,23099.25,27116,27416,27416,-35514.75,-56445,20930.25,20970.75,20984.25,0,1082.369,1082.0,False,False,3408.0,2.746374,3.002651,9.269329,1,True,True,False
27525,27825,28425,104768.3,96666,8102.25,8104.188,8094.392,27825,28125,28425,55412.25,32230,23182.25,23125.56,23100.63,28125,28425,28425,-35512.25,-56445,20932.75,20957.88,20980.89,0,1082.377,1082.0,False,False,3407.7,2.746132,3.002387,9.268514,1,True,True,False
28535,28835,29435,104801.3,96666,8135.25,8115.0,8096.827,28835,29135,29435,55401.25,32230,23171.25,23143.56,23106.83,29135,29435,29435,-35529.5,-56445,20915.5,20940.69,20975.17,0,1082.438,1082.5,False,False,3408.0,2.746374,3.002651,9.269329,1,True,True,False
29545,29845,30445,104786.3,96666,8120.25,8122.063,8101.343,29845,30145,30445,55371.0,32230,23141.0,23154.0,23115.96,30145,30445,30445,-35490.5,-56445,20954.5,20933.25,20966.6,0,1082.438,1082.5,False,True,3408.5,2.746777,3.003091,9.270689,1,True,True,False
30553,30853,31453,104758.3,96666,8092.25,8112.5,8106.493,30853,31153,31453,55412.25,32230,23182.25,23169.19,23125.41,31153,31453,31453,-35511.0,-56445,20934.0,20934.19,20958.31,0,1082.438,1082.5,False,True,3408.4,2.746696,3.003003,9.270416,1,True,True,False
31562,31862,32462,104823.5,96666,8157.5,8126.313,8107.986,31862,32162,32462,55401.0,32230,23171.0,23166.38,23136.29,32162,32462,32462,-35521.25,-56445,20923.75,20931.94,20952.32,0,1082.438,1082.5,False,True,3408.2,2.746535,3.002827,9.269874,1,True,True,False
32572,32872,33472,104784.8,96666,8118.75,8122.188,8112.541,32872,33172,33472,55361.75,32230,23131.75,23156.5,23143.77,33172,33472,33472,-35498.25,-56445,20946.75,20939.75,20947.25,0,1082.438,1082.5,False,True,3407.9,2.746293,3.002563,9.269056,1,True,True,False
33581,33881,34481,104796.3,96666,8130.25,8124.688,8114.938,33881,34181,34481,55371.0,32230,23141.0,23156.5,23146.93,34181,34481,34481,-35512.0,-56445,20933.0,20934.38,20945.39,0,1082.438,1082.5,False,True,3408.1,2.746454,3.002739,9.269601,1,True,True,False
34589,34889,35489,104829.5,96666,8163.5,8142.5,8117.361,34889,35189,35489,55384.5,32230,23154.5,23149.56,23149.31,35189,35489,35489,-35512.5,-56445,20932.5,20934.0,20942.65,0,1082.438,1082.5,False,True,3408.4,2.746696,3.003003,9.270416,1,True,True,False
35598,35898,36498,104772.0,96666,8106.0,8129.625,8123.609,35898,36198,36498,55366.5,32230,23136.5,23140.94,23149.37,36198,36498,36498,-35503.0,-56445,20942.0,20938.56,20940.5,0,1082.438,1082.5,False,True,3408.1,2.746454,3.002739,9.269601,1,True,True,False
36607,36907,37507,104773.8,96666,8107.75,8126.875,8125.104,36907,37207,37507,55379.5,32230,23149.5,23145.38,23147.28,37207,37507,37507,-35487.5,-56445,20957.5,20941.25,20940.02,0,1082.438,1082.5,False,True,3408.1,2.746454,3.002739,9.269601,1,True,True,False
37616,37916,38516,104783.8,96666,8117.75,8123.75,8125.544,37916,38216,38516,55374.5,32230,23144.5,23146.25,23146.8,38216,38516,38516,-35491.75,-56445,20953.25,20946.31,20940.33,0,1082.438,1082.5,False,True,3408.1,2.746454,3.002739,9.269601,1,True,True,False
38625,38925,39525,104769.5,96666,8103.5,8108.75,8125.099,38925,39225,39525,55356.25,32230,23126.25,23139.19,23146.67,39225,39525,39525,-35489.25,-56445,20955.75,20952.13,20941.81,0,1082.438,1082.5,False,True,3409.1,2.74726,3.00362,9.272321,1,True,True,False
39635,39935,40535,104797.3,96666,8131.25,8115.063,8121.036,39935,40235,40535,55376.75,32230,23146.75,23141.75,23144.81,40235,40535,40535,-35488.5,-56445,20956.5,20955.75,20944.38,0,1082.438,1082.5,False,True,3408.5,2.746777,3.003091,9.270689,1,True,True,False
40644,40944,41544,104770.0,96666,8104.0,8114.125,8119.551,40944,41244,41544,55370.0,32230,23140.0,23139.38,23144.05,41244,41544,41544,-35496.25,-56445,20948.75,20953.56,20947.2,0,1082.438,1082.5,False,True,3408.2,2.746535,3.002827,9.269874,1,True,True,False
